C
C     One-electron Compton profiles and ionization energies for
C  the elements Z=1-92.
C
C |--- Atomic number, Z.
C | |--- Shell (nlj). j is indicated with a plus sign if j=l+1/2,
C | |    and with a minus sign if j=l-1/2.
C | |   |--- Shell occupation number, Zi.
C | |   | |--- One-electron Compton profile at p=0, in atomic
C | |   | |    units. Taken from F. Biggs, L. B. Mendelsohn and
C | |   | |    J. B. Mann, At. Data and Nucl. Data Tables 16
C | |   | |    (1975) 201.
C | |   | |            |--- Ionization energy (eV).
C | |   | |            |
  1 1s+ 1 8.49E-1 000014
  2 1s+ 2 5.35E-1 000025
  3 1s+ 2 3.29E-1 000055
  3 2s+ 1 1.94E+0 000005
  4 1s+ 2 2.37E-1 000112
  4 2s+ 2 1.34E+0 000009
  5 1s+ 2 1.86E-1 000191
  5 2s+ 2 1.00E+0 000008
  5 2p- 1 6.15E-1 000008
  6 1s+ 2 1.53E-1 000285
  6 2s+ 2 8.04E-1 000011
  6 2p- 2 4.88E-1 000011
  7 1s+ 2 1.30E-1 000410
  7 2s+ 2 6.72E-1 000015
  7 2p- 2 4.07E-1 000014
  7 2p+ 1 4.07E-1 000014
  8 1s+ 2 1.13E-1 000543
  8 2s+ 2 5.79E-1 000024
  8 2p- 2 3.50E-1 000014
  8 2p+ 2 3.50E-1 000014
  9 1s+ 2 1.00E-1 000697
  9 2s+ 2 5.08E-1 000031
  9 2p- 2 3.07E-1 000017
  9 2p+ 3 3.07E-1 000017
 10 1s+ 2 9.00E-2 000870
 10 2s+ 2 4.53E-1 000048
 10 2p- 2 2.74E-1 000022
 10 2p+ 4 2.74E-1 000022
 11 1s+ 2 8.15E-2 001072
 11 2s+ 2 3.90E-1 000063
 11 2p- 2 2.25E-1 000031
 11 2p+ 4 2.25E-1 000031
 11 3s+ 1 2.07E+0 000005
 12 1s+ 2 7.45E-2 001303
 12 2s+ 2 3.42E-1 000089
 12 2p- 2 1.92E-1 000049
 12 2p+ 4 1.92E-1 000049
 12 3s+ 2 1.59E+0 000008
 13 1s+ 2 6.86E-2 001558
 13 2s+ 2 3.05E-1 000118
 13 2p- 2 1.68E-1 000073
 13 2p+ 4 1.68E-1 000073
 13 3s+ 2 1.24E+0 000006
 13 3p- 1 9.19E-1 000006
 14 1s+ 2 6.35E-2 001839
 14 2s+ 2 2.75E-1 000149
 14 2p- 2 1.49E-1 000100
 14 2p+ 4 1.49E-1 000099
 14 3s+ 2 1.04E+0 000008
 14 3p- 2 7.44E-1 000008
 15 1s+ 2 5.92E-2 002149
 15 2s+ 2 2.51E-1 000189
 15 2p- 2 1.34E-1 000136
 15 2p+ 4 1.34E-1 000135
 15 3s+ 2 8.97E-1 000016
 15 3p- 2 6.31E-1 000010
 15 3p+ 1 6.31E-1 000010
 16 1s+ 2 5.53E-2 002472
 16 2s+ 2 2.30E-1 000229
 16 2p- 2 1.22E-1 000165
 16 2p+ 4 1.22E-1 000164
 16 3s+ 2 7.94E-1 000016
 16 3p- 2 5.51E-1 000010
 16 3p+ 2 5.51E-1 000010
 17 1s+ 2 5.20E-2 002823
 17 2s+ 2 2.13E-1 000270
 17 2p- 2 1.12E-1 000202
 17 2p+ 4 1.12E-1 000200
 17 3s+ 2 7.13E-1 000018
 17 3p- 2 4.90E-1 000013
 17 3p+ 3 4.90E-1 000013
 18 1s+ 2 4.90E-2 003206
 18 2s+ 2 1.98E-1 000326
 18 2p- 2 1.04E-1 000251
 18 2p+ 4 1.04E-1 000249
 18 3s+ 2 6.49E-1 000029
 18 3p- 2 4.42E-1 000016
 18 3p+ 4 4.42E-1 000016
 19 1s+ 2 4.64E-2 003608
 19 2s+ 2 1.85E-1 000379
 19 2p- 2 9.65E-2 000297
 19 2p+ 4 9.65E-2 000295
 19 3s+ 2 5.70E-1 000035
 19 3p- 2 3.76E-1 000018
 19 3p+ 4 3.76E-1 000018
 19 3d- 1 2.46E+0 000004
 20 1s+ 2 4.40E-2 004038
 20 2s+ 2 1.74E-1 000438
 20 2p- 2 9.02E-2 000350
 20 2p+ 4 9.02E-2 000347
 20 3s+ 2 5.08E-1 000044
 20 3p- 2 3.30E-1 000025
 20 3p+ 4 3.30E-1 000025
 20 3d- 2 1.95E+0 000006
 21 1s+ 2 4.18E-2 004489
 21 2s+ 2 1.64E-1 000498
 21 2p- 2 8.47E-2 000404
 21 2p+ 4 8.47E-2 000399
 21 3s+ 2 4.71E-1 000051
 21 3p- 2 3.04E-1 000028
 21 3p+ 4 3.04E-1 000028
 21 3d- 3 1.33E+0 000007
 22 1s+ 2 3.99E-2 004966
 22 2s+ 2 1.55E-1 000561
 22 2p- 2 7.98E-2 000461
 22 2p+ 4 7.98E-2 000455
 22 3s+ 2 4.41E-1 000058
 22 3p- 2 2.82E-1 000033
 22 3p+ 4 2.82E-1 000033
 22 3d- 4 1.02E+0 000007
 23 1s+ 2 3.81E-2 005466
 23 2s+ 2 1.47E-1 000627
 23 2p- 2 7.55E-2 000521
 23 2p+ 4 7.55E-2 000513
 23 3s+ 2 4.15E-1 000066
 23 3p- 2 2.64E-1 000037
 23 3p+ 4 2.64E-1 000037
 23 3d- 4 8.26E-1 000007
 23 3d+ 1 8.26E-1 000007
 24 1s+ 2 3.65E-2 005991
 24 2s+ 2 1.40E-1 000698
 24 2p- 2 7.16E-2 000585
 24 2p+ 4 7.16E-2 000576
 24 3s+ 2 3.98E-1 000075
 24 3p- 2 2.53E-1 000043
 24 3p+ 4 2.53E-1 000043
 24 3d- 4 5.26E-1 000007
 24 3d+ 2 5.26E-1 000007
 25 1s+ 2 3.50E-2 006538
 25 2s+ 2 1.33E-1 000769
 25 2p- 2 6.81E-2 000651
 25 2p+ 4 6.81E-2 000639
 25 3s+ 2 3.73E-1 000082
 25 3p- 2 2.35E-1 000047
 25 3p+ 4 2.35E-1 000047
 25 3d- 4 6.08E-1 000007
 25 3d+ 3 6.08E-1 000007
 26 1s+ 2 3.36E-2 007111
 26 2s+ 2 1.27E-1 000848
 26 2p- 2 6.50E-2 000721
 26 2p+ 4 6.50E-2 000708
 26 3s+ 2 3.55E-1 000092
 26 3p- 2 2.23E-1 000053
 26 3p+ 4 2.23E-1 000053
 26 3d- 4 5.38E-1 000008
 26 3d+ 4 5.38E-1 000008
 27 1s+ 2 3.23E-2 007711
 27 2s+ 2 1.22E-1 000927
 27 2p- 2 6.21E-2 000796
 27 2p+ 4 6.21E-2 000781
 27 3s+ 2 3.39E-1 000101
 27 3p- 2 2.12E-1 000059
 27 3p+ 4 2.12E-1 000059
 27 3d- 4 4.83E-1 000008
 27 3d+ 5 4.83E-1 000008
 28 1s+ 2 3.11E-2 008332
 28 2s+ 2 1.17E-1 001010
 28 2p- 2 5.95E-2 000871
 28 2p+ 4 5.95E-2 000854
 28 3s+ 2 3.25E-1 000111
 28 3p- 2 2.02E-1 000067
 28 3p+ 4 2.02E-1 000067
 28 3d- 4 4.37E-1 000008
 28 3d+ 6 4.37E-1 000008
 29 1s+ 2 3.01E-2 008980
 29 2s+ 2 1.12E-1 001099
 29 2p- 2 5.71E-2 000953
 29 2p+ 4 5.71E-2 000933
 29 3s+ 2 3.15E-1 000122
 29 3p- 2 1.96E-1 000077
 29 3p+ 4 1.96E-1 000075
 29 3d- 4 1.85E-1 000008
 29 3d+ 6 1.85E-1 000008
 29 4s+ 1 1.64E+0 000008
 30 1s+ 2 2.90E-2 009661
 30 2s+ 2 1.08E-1 001196
 30 2p- 2 5.49E-2 001045
 30 2p+ 4 5.49E-2 001022
 30 3s+ 2 2.99E-1 000140
 30 3p- 2 1.86E-1 000091
 30 3p+ 4 1.86E-1 000089
 30 3d- 4 1.62E-1 000009
 30 3d+ 6 1.62E-1 000009
 30 4s+ 2 1.41E+0 000009
 31 1s+ 2 2.81E-2 010367
 31 2s+ 2 1.04E-1 001298
 31 2p- 2 5.28E-2 001143
 31 2p+ 4 5.28E-2 001117
 31 3s+ 2 2.85E-1 000158
 31 3p- 2 1.76E-1 000107
 31 3p+ 4 1.76E-1 000103
 31 3d- 4 1.46E-1 000018
 31 3d+ 6 1.46E-1 000018
 31 4s+ 2 1.18E+0 000006
 31 4p- 1 9.15E-1 000006
 32 1s+ 2 2.72E-2 011104
 32 2s+ 2 1.01E-1 001413
 32 2p- 2 5.09E-2 001249
