  1
 1.0000E+03 1.1410E+01
 1.2500E+03 5.4062E+00
 1.5000E+03 2.9320E+00
 1.7500E+03 1.7445E+00
 2.0000E+03 1.1110E+00
 2.5000E+03 5.2143E-01
 3.0000E+03 2.8060E-01
 3.5000E+03 1.6604E-01
 4.0000E+03 1.0530E-01
 4.5000E+03 7.0394E-02
 5.0000E+03 4.9070E-02
 6.0000E+03 2.6270E-02
 7.0000E+03 1.5505E-02
 8.0000E+03 9.8160E-03
 9.0000E+03 6.5499E-03
 1.0000E+04 4.5580E-03
 1.2500E+04 2.1141E-03
 1.5000E+04 1.1280E-03
 1.7500E+04 6.6291E-04
 2.0000E+04 4.1820E-04
 2.5000E+04 1.9363E-04
 3.0000E+04 1.0320E-04
 3.5000E+04 6.0613E-05
 4.0000E+04 3.8230E-05
 4.5000E+04 2.5465E-05
 5.0000E+04 1.7710E-05
 6.0000E+04 9.4550E-06
 7.0000E+04 5.5679E-06
 8.0000E+04 3.5230E-06
 9.0000E+04 2.3550E-06
 1.0000E+05 1.6440E-06
 1.2500E+05 7.7096E-07
 1.5000E+05 4.1760E-07
 1.7500E+05 2.5000E-07
 2.0000E+05 1.6110E-07
 2.5000E+05 7.8318E-08
 3.0000E+05 4.4140E-08
 3.5000E+05 2.7570E-08
 4.0000E+05 1.8580E-08
 4.5000E+05 1.3274E-08
 5.0000E+05 9.9270E-09
 6.0000E+05 6.1580E-09
 7.0000E+05 4.2278E-09
 8.0000E+05 3.1180E-09
 9.0000E+05 2.4237E-09
 1.0000E+06 1.9610E-09
 1.0220E+06 1.8800E-09 1.0000E-35
 1.2500E+06 1.3040E-09 7.8050E-06
 1.5000E+06 9.7320E-10 4.3850E-05
 1.7500E+06 7.6188E-10 1.0293E-04
 2.0000E+06 6.2010E-10 1.7580E-04
 2.0440E+06 6.0040E-10 1.8950E-04
 2.5000E+06 4.5045E-10 3.4543E-04
 3.0000E+06 3.5240E-10 5.4515E-04
 3.5000E+06 2.8883E-10 7.6203E-04
 4.0000E+06 2.4440E-10 9.8490E-04
 4.5000E+06 2.1166E-10 1.2086E-03
 5.0000E+06 1.8660E-10 1.4303E-03
 6.0000E+06 1.5080E-10 1.8592E-03
 7.0000E+06 1.2640E-10 2.2598E-03
 8.0000E+06 1.0880E-10 2.6343E-03
 9.0000E+06 9.5460E-11 2.9840E-03
 1.0000E+07 8.5030E-11 3.3080E-03
 1.1000E+07 7.6650E-11 3.6100E-03
 1.2000E+07 6.9770E-11 3.8910E-03
 1.3000E+07 6.4010E-11 4.1550E-03
 1.4000E+07 5.9140E-11 4.4040E-03
 1.5000E+07 5.4950E-11 4.6390E-03
 1.6000E+07 5.1310E-11 4.8630E-03
 1.8000E+07 4.5310E-11 5.2760E-03
 2.0000E+07 4.0570E-11 5.6510E-03
 2.2000E+07 3.6720E-11 5.9960E-03
 2.4000E+07 3.3540E-11 6.3140E-03
 2.6000E+07 3.0870E-11 6.6090E-03
 2.8000E+07 2.8590E-11 6.8840E-03
 3.0000E+07 2.6620E-11 7.1410E-03
 3.5000E+07 2.2714E-11 7.7196E-03
 4.0000E+07 1.9810E-11 8.2250E-03
 4.5000E+07 1.7561E-11 8.6731E-03
 5.0000E+07 1.5770E-11 9.0750E-03
 6.0000E+07 1.3100E-11 9.7710E-03
 7.0000E+07 1.1204E-11 1.0359E-02
 8.0000E+07 9.7870E-12 1.0867E-02
 9.0000E+07 8.6881E-12 1.1313E-02
 1.0000E+08 7.8110E-12 1.1709E-02
 1.2500E+08 6.2370E-12 1.2535E-02
 1.5000E+08 5.1910E-12 1.3193E-02
 1.7500E+08 4.4454E-12 1.3734E-02
 2.0000E+08 3.8870E-12 1.4190E-02
 2.5000E+08 3.1064E-12 1.4921E-02
 3.0000E+08 2.5870E-12 1.5484E-02
 3.5000E+08 2.2167E-12 1.5933E-02
 4.0000E+08 1.9390E-12 1.6302E-02
 4.5000E+08 1.7229E-12 1.6611E-02
 5.0000E+08 1.5500E-12 1.6875E-02
 6.0000E+08 1.2910E-12 1.7302E-02
 7.0000E+08 1.1065E-12 1.7635E-02
 8.0000E+08 9.6820E-13 1.7903E-02
 9.0000E+08 8.6055E-13 1.8124E-02
 1.0000E+09 7.7440E-13 1.8309E-02
 1.5000E+09 5.1610E-13 1.8923E-02
 2.0000E+09 3.8700E-13 1.9273E-02
 3.0000E+09 2.5800E-13 1.9657E-02
 4.0000E+09 1.9340E-13 1.9883E-02
 5.0000E+09 1.5480E-13 2.0027E-02
 6.0000E+09 1.2900E-13 2.0128E-02
 8.0000E+09 9.6710E-14 2.0259E-02
 1.0000E+10 7.7370E-14 2.0345E-02
 1.5000E+10 5.1580E-14 2.0459E-02
 2.0000E+10 3.8680E-14 2.0519E-02
 3.0000E+10 2.5790E-14 2.0587E-02
 4.0000E+10 1.9340E-14 2.0631E-02
 5.0000E+10 1.5470E-14 2.0648E-02
 6.0000E+10 1.2890E-14 2.0672E-02
 8.0000E+10 9.6700E-15 2.0687E-02
 1.0000E+11 7.7360E-15 2.0701E-02
