  2
 1.0000E+03 4.0170E+02
 1.2500E+03 1.9555E+02
 1.5000E+03 1.0890E+02
 1.7500E+03 6.6521E+01
 2.0000E+03 4.3230E+01
 2.5000E+03 2.0659E+01
 3.0000E+03 1.1170E+01
 3.5000E+03 6.6270E+00
 4.0000E+03 4.2340E+00
 4.5000E+03 2.8685E+00
 5.0000E+03 2.0260E+00
 6.0000E+03 1.0990E+00
 7.0000E+03 6.4854E-01
 8.0000E+03 4.1100E-01
 9.0000E+03 2.7645E-01
 1.0000E+04 1.9410E-01
 1.2500E+04 9.0940E-02
 1.5000E+04 4.8750E-02
 1.7500E+04 2.8825E-02
 2.0000E+04 1.8290E-02
 2.5000E+04 8.5309E-03
 3.0000E+04 4.5680E-03
 3.5000E+04 2.6936E-03
 4.0000E+04 1.7050E-03
 4.5000E+04 1.1393E-03
 5.0000E+04 7.9450E-04
 6.0000E+04 4.2590E-04
 7.0000E+04 2.5157E-04
 8.0000E+04 1.5960E-04
 9.0000E+04 1.0696E-04
 1.0000E+05 7.4840E-05
 1.2500E+05 3.5254E-05
 1.5000E+05 1.9160E-05
 1.7500E+05 1.1502E-05
 2.0000E+05 7.4280E-06
 2.5000E+05 3.6237E-06
 3.0000E+05 2.0490E-06
 3.5000E+05 1.2837E-06
 4.0000E+05 8.6620E-07
 4.5000E+05 6.1865E-07
 5.0000E+05 4.6350E-07
 6.0000E+05 2.8760E-07
 7.0000E+05 1.9238E-07
 8.0000E+05 1.4490E-07
 9.0000E+05 1.1996E-07
 1.0000E+06 9.0280E-08
 1.0220E+06 8.2940E-08 1.0000E-35
 1.2500E+06 5.6620E-08 3.1270E-05
 1.5000E+06 4.1400E-08 1.7550E-04
 1.7500E+06 3.2112E-08 4.1164E-04
 2.0000E+06 2.6320E-08 7.0340E-04
 2.0440E+06 2.5490E-08 7.5840E-04
 2.5000E+06 1.9110E-08 1.3693E-03
 3.0000E+06 1.4920E-08 2.1007E-03
 3.5000E+06 1.2215E-08 2.8576E-03
 4.0000E+06 1.0330E-08 3.6105E-03
 4.5000E+06 8.9420E-09 4.3457E-03
 5.0000E+06 7.8790E-09 5.0615E-03
 6.0000E+06 6.3610E-09 6.4270E-03
 7.0000E+06 5.3300E-09 7.6810E-03
 8.0000E+06 4.5850E-09 8.8380E-03
 9.0000E+06 4.0220E-09 9.9060E-03
 1.0000E+07 3.5810E-09 1.0891E-02
 1.1000E+07 3.2280E-09 1.1802E-02
 1.2000E+07 2.9370E-09 1.2647E-02
 1.3000E+07 2.6950E-09 1.3440E-02
 1.4000E+07 2.4890E-09 1.4182E-02
 1.5000E+07 2.3120E-09 1.4882E-02
 1.6000E+07 2.1590E-09 1.5541E-02
 1.8000E+07 1.9060E-09 1.6768E-02
 2.0000E+07 1.7070E-09 1.7878E-02
 2.2000E+07 1.5450E-09 1.8899E-02
 2.4000E+07 1.4110E-09 1.9833E-02
 2.6000E+07 1.2980E-09 2.0703E-02
 2.8000E+07 1.2020E-09 2.1503E-02
 3.0000E+07 1.1190E-09 2.2255E-02
 3.5000E+07 9.5469E-10 2.3947E-02
 4.0000E+07 8.3270E-10 2.5417E-02
 4.5000E+07 7.3821E-10 2.6711E-02
 5.0000E+07 6.6290E-10 2.7864E-02
 6.0000E+07 5.5060E-10 2.9847E-02
 7.0000E+07 4.7087E-10 3.1496E-02
 8.0000E+07 4.1130E-10 3.2900E-02
 9.0000E+07 3.6508E-10 3.4121E-02
 1.0000E+08 3.2820E-10 3.5190E-02
 1.2500E+08 2.6205E-10 3.7362E-02
 1.5000E+08 2.1810E-10 3.9040E-02
 1.7500E+08 1.8676E-10 4.0389E-02
 2.0000E+08 1.6330E-10 4.1500E-02
 2.5000E+08 1.3052E-10 4.3230E-02
 3.0000E+08 1.0870E-10 4.4520E-02
 3.5000E+08 9.3117E-11 4.5522E-02
 4.0000E+08 8.1440E-11 4.6330E-02
 4.5000E+08 7.2370E-11 4.6998E-02
 5.0000E+08 6.5120E-11 4.7560E-02
 6.0000E+08 5.4250E-11 4.8450E-02
 7.0000E+08 4.6488E-11 4.9137E-02
 8.0000E+08 4.0670E-11 4.9680E-02
 9.0000E+08 3.6147E-11 5.0118E-02
 1.0000E+09 3.2530E-11 5.0480E-02
 1.5000E+09 2.1680E-11 5.1680E-02
 2.0000E+09 1.6260E-11 5.2340E-02
 3.0000E+09 1.0830E-11 5.3060E-02
 4.0000E+09 8.1260E-12 5.3490E-02
 5.0000E+09 6.5000E-12 5.3740E-02
 6.0000E+09 5.4170E-12 5.3920E-02
 8.0000E+09 4.0620E-12 5.4160E-02
 1.0000E+10 3.2500E-12 5.4310E-02
 1.5000E+10 2.1660E-12 5.4500E-02
 2.0000E+10 1.6250E-12 5.4620E-02
 3.0000E+10 1.0830E-12 5.4730E-02
 4.0000E+10 8.1240E-13 5.4800E-02
 5.0000E+10 6.4990E-13 5.4850E-02
 6.0000E+10 5.4160E-13 5.4870E-02
 8.0000E+10 4.0620E-13 5.4900E-02
 1.0000E+11 3.2490E-13 5.4920E-02
