  3
 1.0000E+03 2.6900E+03
 1.2500E+03 1.3484E+03
 1.5000E+03 7.6410E+02
 1.7500E+03 4.7052E+02
 2.0000E+03 3.0800E+02
 2.5000E+03 1.5062E+02
 3.0000E+03 8.3540E+01
 3.5000E+03 5.0627E+01
 4.0000E+03 3.2730E+01
 4.5000E+03 2.2229E+01
 5.0000E+03 1.5710E+01
 6.0000E+03 8.6040E+00
 7.0000E+03 5.1573E+00
 8.0000E+03 3.3050E+00
 9.0000E+03 2.2305E+00
 1.0000E+04 1.5680E+00
 1.2500E+04 7.4123E-01
 1.5000E+04 4.0090E-01
 1.7500E+04 2.3814E-01
 2.0000E+04 1.5160E-01
 2.5000E+04 7.1254E-02
 3.0000E+04 3.8410E-02
 3.5000E+04 2.2752E-02
 4.0000E+04 1.4450E-02
 4.5000E+04 9.6833E-03
 5.0000E+04 6.7700E-03
 6.0000E+04 3.6450E-03
 7.0000E+04 2.1593E-03
 8.0000E+04 1.3730E-03
 9.0000E+04 9.2204E-04
 1.0000E+05 6.4640E-04
 1.2500E+05 3.0568E-04
 1.5000E+05 1.6660E-04
 1.7500E+05 1.0020E-04
 2.0000E+05 6.4810E-05
 2.5000E+05 3.1692E-05
 3.0000E+05 1.7960E-05
 3.5000E+05 1.1275E-05
 4.0000E+05 7.6150E-06
 4.5000E+05 5.4380E-06
 5.0000E+05 4.0810E-06
 6.0000E+05 2.5330E-06
 7.0000E+05 1.6595E-06
 8.0000E+05 1.2760E-06
 9.0000E+05 1.1183E-06
 1.0000E+06 7.9390E-07
 1.0220E+06 7.0380E-07 1.0000E-35
 1.2500E+06 4.7880E-07 7.0520E-05
 1.5000E+06 3.4860E-07 3.9530E-04
 1.7500E+06 2.6911E-07 9.2636E-04
 2.0000E+06 2.2120E-07 1.5830E-03
 2.0440E+06 2.1410E-07 1.7070E-03
 2.5000E+06 1.6009E-07 3.0719E-03
 3.0000E+06 1.2500E-07 4.6660E-03
 3.5000E+06 1.0228E-07 6.2858E-03
 4.0000E+06 8.6430E-08 7.8772E-03
 4.5000E+06 7.4777E-08 9.4151E-03
 5.0000E+06 6.5860E-08 1.0899E-02
 6.0000E+06 5.3130E-08 1.3703E-02
 7.0000E+06 4.4500E-08 1.6259E-02
 8.0000E+06 3.8260E-08 1.8611E-02
 9.0000E+06 3.3550E-08 2.0762E-02
 1.0000E+07 2.9870E-08 2.2749E-02
 1.1000E+07 2.6910E-08 2.4573E-02
 1.2000E+07 2.4480E-08 2.6263E-02
 1.3000E+07 2.2460E-08 2.7849E-02
 1.4000E+07 2.0740E-08 2.9328E-02
 1.5000E+07 1.9270E-08 3.0718E-02
 1.6000E+07 1.7990E-08 3.2042E-02
 1.8000E+07 1.5880E-08 3.4471E-02
 2.0000E+07 1.4210E-08 3.6667E-02
 2.2000E+07 1.2860E-08 3.8678E-02
 2.4000E+07 1.1750E-08 4.0518E-02
 2.6000E+07 1.0810E-08 4.2224E-02
 2.8000E+07 1.0010E-08 4.3799E-02
 3.0000E+07 9.3190E-09 4.5277E-02
 3.5000E+07 7.9488E-09 4.8568E-02
 4.0000E+07 6.9310E-09 5.1390E-02
 4.5000E+07 6.1438E-09 5.3857E-02
 5.0000E+07 5.5170E-09 5.6050E-02
 6.0000E+07 4.5820E-09 5.9820E-02
 7.0000E+07 3.9181E-09 6.2965E-02
 8.0000E+07 3.4220E-09 6.5620E-02
 9.0000E+07 3.0371E-09 6.7884E-02
 1.0000E+08 2.7300E-09 6.9850E-02
 1.2500E+08 2.1796E-09 7.3849E-02
 1.5000E+08 1.8140E-09 7.6930E-02
 1.7500E+08 1.5532E-09 7.9391E-02
 2.0000E+08 1.3580E-09 8.1420E-02
 2.5000E+08 1.0853E-09 8.4616E-02
 3.0000E+08 9.0390E-10 8.7030E-02
 3.5000E+08 7.7445E-10 8.8922E-02
 4.0000E+08 6.7740E-10 9.0460E-02
 4.5000E+08 6.0194E-10 9.1747E-02
 5.0000E+08 5.4160E-10 9.2840E-02
 6.0000E+08 4.5120E-10 9.4590E-02
 7.0000E+08 3.8669E-10 9.5948E-02
 8.0000E+08 3.3830E-10 9.7040E-02
 9.0000E+08 3.0063E-10 9.7938E-02
 1.0000E+09 2.7050E-10 9.8690E-02
 1.5000E+09 1.8030E-10 1.0117E-01
 2.0000E+09 1.3520E-10 1.0260E-01
 3.0000E+09 9.0120E-11 1.0419E-01
 4.0000E+09 6.7580E-11 1.0508E-01
 5.0000E+09 5.4060E-11 1.0565E-01
 6.0000E+09 4.5050E-11 1.0606E-01
 8.0000E+09 3.3790E-11 1.0659E-01
 1.0000E+10 2.7030E-11 1.0693E-01
 1.5000E+10 1.8020E-11 1.0741E-01
 2.0000E+10 1.3510E-11 1.0768E-01
 3.0000E+10 9.0090E-12 1.0795E-01
 4.0000E+10 6.7570E-12 1.0810E-01
 5.0000E+10 5.4050E-12 1.0820E-01
 6.0000E+10 4.5040E-12 1.0827E-01
 8.0000E+10 3.3780E-12 1.0834E-01
 1.0000E+11 2.7030E-12 1.0839E-01
