  4
 1.0000E+03 9.0320E+03
 1.2500E+03 4.6413E+03
 1.5000E+03 2.6810E+03
 1.7500E+03 1.6759E+03
 2.0000E+03 1.1110E+03
 2.5000E+03 5.5501E+02
 3.0000E+03 3.1280E+02
 3.5000E+03 1.9180E+02
 4.0000E+03 1.2520E+02
 4.5000E+03 8.5779E+01
 5.0000E+03 6.1070E+01
 6.0000E+03 3.3810E+01
 7.0000E+03 2.0447E+01
 8.0000E+03 1.3200E+01
 9.0000E+03 8.9601E+00
 1.0000E+04 6.3290E+00
 1.2500E+04 3.0215E+00
 1.5000E+04 1.6470E+00
 1.7500E+04 9.8445E-01
 2.0000E+04 6.2960E-01
 2.5000E+04 2.9759E-01
 3.0000E+04 1.6110E-01
 3.5000E+04 9.5835E-02
 4.0000E+04 6.1060E-02
 4.5000E+04 4.0996E-02
 5.0000E+04 2.8720E-02
 6.0000E+04 1.5550E-02
 7.0000E+04 9.2450E-03
 8.0000E+04 5.8910E-03
 9.0000E+04 3.9626E-03
 1.0000E+05 2.7820E-03
 1.2500E+05 1.3197E-03
 1.5000E+05 7.2100E-04
 1.7500E+05 4.3452E-04
 2.0000E+05 2.8150E-04
 2.5000E+05 1.3801E-04
 3.0000E+05 7.8330E-05
 3.5000E+05 4.9219E-05
 4.0000E+05 3.3280E-05
 4.5000E+05 2.3800E-05
 5.0000E+05 1.7860E-05
 6.0000E+05 1.1090E-05
 7.0000E+05 7.3563E-06
 8.0000E+05 5.5910E-06
 9.0000E+05 4.7408E-06
 1.0000E+06 3.4760E-06
 1.0220E+06 3.1440E-06 1.0000E-35
 1.2500E+06 2.1370E-06 1.2600E-04
 1.5000E+06 1.5550E-06 7.0430E-04
 1.7500E+06 1.2015E-06 1.6500E-03
 2.0000E+06 9.8440E-07 2.8180E-03
 2.0440E+06 9.5280E-07 3.0380E-03
 2.5000E+06 7.1187E-07 5.4522E-03
 3.0000E+06 5.5500E-07 8.2434E-03
 3.5000E+06 4.5367E-07 1.1050E-02
 4.0000E+06 3.8310E-07 1.3789E-02
 4.5000E+06 3.3124E-07 1.6419E-02
 5.0000E+06 2.9160E-07 1.8943E-02
 6.0000E+06 2.3510E-07 2.3687E-02
 7.0000E+06 1.9680E-07 2.7999E-02
 8.0000E+06 1.6910E-07 3.1941E-02
 9.0000E+06 1.4820E-07 3.5555E-02
 1.0000E+07 1.3190E-07 3.8879E-02
 1.1000E+07 1.1890E-07 4.1921E-02
 1.2000E+07 1.0810E-07 4.4730E-02
 1.3000E+07 9.9160E-08 4.7359E-02
 1.4000E+07 9.1560E-08 4.9825E-02
 1.5000E+07 8.5050E-08 5.2134E-02
 1.6000E+07 7.9390E-08 5.4312E-02
 1.8000E+07 7.0070E-08 5.8335E-02
 2.0000E+07 6.2710E-08 6.1966E-02
 2.2000E+07 5.6740E-08 6.5270E-02
 2.4000E+07 5.1810E-08 6.8300E-02
 2.6000E+07 4.7670E-08 7.1090E-02
 2.8000E+07 4.4140E-08 7.3680E-02
 3.0000E+07 4.1100E-08 7.6080E-02
 3.5000E+07 3.5058E-08 8.1446E-02
 4.0000E+07 3.0560E-08 8.6070E-02
 4.5000E+07 2.7084E-08 9.0091E-02
 5.0000E+07 2.4320E-08 9.3640E-02
 6.0000E+07 2.0200E-08 9.9680E-02
 7.0000E+07 1.7270E-08 1.0468E-01
 8.0000E+07 1.5080E-08 1.0889E-01
 9.0000E+07 1.3383E-08 1.1250E-01
 1.0000E+08 1.2030E-08 1.1564E-01
 1.2500E+08 9.6049E-09 1.2203E-01
 1.5000E+08 7.9940E-09 1.2697E-01
 1.7500E+08 6.8453E-09 1.3095E-01
 2.0000E+08 5.9850E-09 1.3426E-01
 2.5000E+08 4.7827E-09 1.3949E-01
 3.0000E+08 3.9830E-09 1.4345E-01
 3.5000E+08 3.4127E-09 1.4653E-01
 4.0000E+08 2.9850E-09 1.4900E-01
 4.5000E+08 2.6520E-09 1.5103E-01
 5.0000E+08 2.3860E-09 1.5278E-01
 6.0000E+08 1.9880E-09 1.5567E-01
 7.0000E+08 1.7034E-09 1.5783E-01
 8.0000E+08 1.4900E-09 1.5953E-01
 9.0000E+08 1.3244E-09 1.6097E-01
 1.0000E+09 1.1920E-09 1.6220E-01
 1.5000E+09 7.9440E-10 1.6613E-01
 2.0000E+09 5.9570E-10 1.6831E-01
 3.0000E+09 3.9700E-10 1.7078E-01
 4.0000E+09 2.9780E-10 1.7208E-01
 5.0000E+09 2.3820E-10 1.7300E-01
 6.0000E+09 1.9850E-10 1.7363E-01
 8.0000E+09 1.4890E-10 1.7443E-01
 1.0000E+10 1.1910E-10 1.7493E-01
 1.5000E+10 7.9390E-11 1.7560E-01
 2.0000E+10 5.9540E-11 1.7605E-01
 3.0000E+10 3.9690E-11 1.7640E-01
 4.0000E+10 2.9770E-11 1.7670E-01
 5.0000E+10 2.3810E-11 1.7675E-01
 6.0000E+10 1.9850E-11 1.7689E-01
 8.0000E+10 1.4880E-11 1.7703E-01
 1.0000E+11 1.1910E-11 1.7706E-01
