  5
 1.0000E+03 2.2040E+04
 1.2500E+03 1.1524E+04
 1.5000E+03 6.7490E+03
 1.7500E+03 4.2664E+03
 2.0000E+03 2.8560E+03
 2.5000E+03 1.4510E+03
 3.0000E+03 8.2910E+02
 3.5000E+03 5.1403E+02
 4.0000E+03 3.3860E+02
 4.5000E+03 2.3374E+02
 5.0000E+03 1.6750E+02
 6.0000E+03 9.3750E+01
 7.0000E+03 5.7184E+01
 8.0000E+03 3.7170E+01
 9.0000E+03 2.5374E+01
 1.0000E+04 1.8010E+01
 1.2500E+04 8.6815E+00
 1.5000E+04 4.7660E+00
 1.7500E+04 2.8642E+00
 2.0000E+04 1.8400E+00
 2.5000E+04 8.7609E-01
 3.0000E+04 4.7680E-01
 3.5000E+04 2.8471E-01
 4.0000E+04 1.8200E-01
 4.5000E+04 1.2258E-01
 5.0000E+04 8.6060E-02
 6.0000E+04 4.6650E-02
 7.0000E+04 2.7781E-02
 8.0000E+04 1.7750E-02
 9.0000E+04 1.1978E-02
 1.0000E+05 8.4320E-03
 1.2500E+05 4.0140E-03
 1.5000E+05 2.1970E-03
 1.7500E+05 1.3263E-03
 2.0000E+05 8.6060E-04
 2.5000E+05 4.2293E-04
 3.0000E+05 2.4040E-04
 3.5000E+05 1.5118E-04
 4.0000E+05 1.0230E-04
 4.5000E+05 7.3229E-05
 5.0000E+05 5.4970E-05
 6.0000E+05 3.4170E-05
 7.0000E+05 2.2807E-05
 8.0000E+05 1.7220E-05
 9.0000E+05 1.4351E-05
 1.0000E+06 1.0710E-05
 1.0220E+06 9.7920E-06 1.0000E-35
 1.2500E+06 6.6530E-06 1.9810E-04
 1.5000E+06 4.8350E-06 1.1040E-03
 1.7500E+06 3.7388E-06 2.5824E-03
 2.0000E+06 3.0560E-06 4.4080E-03
 2.0440E+06 2.9570E-06 4.7520E-03
 2.5000E+06 2.2062E-06 8.5151E-03
 3.0000E+06 1.7190E-06 1.2832E-02
 3.5000E+06 1.4035E-06 1.7151E-02
 4.0000E+06 1.1840E-06 2.1344E-02
 4.5000E+06 1.0234E-06 2.5347E-02
 5.0000E+06 9.0070E-07 2.9181E-02
 6.0000E+06 7.2560E-07 3.6391E-02
 7.0000E+06 6.0700E-07 4.2899E-02
 8.0000E+06 5.2150E-07 4.8842E-02
 9.0000E+06 4.5700E-07 5.4279E-02
 1.0000E+07 4.0670E-07 5.9259E-02
 1.1000E+07 3.6620E-07 6.3818E-02
 1.2000E+07 3.3310E-07 6.8028E-02
 1.3000E+07 3.0540E-07 7.1959E-02
 1.4000E+07 2.8200E-07 7.5641E-02
 1.5000E+07 2.6190E-07 7.9090E-02
 1.6000E+07 2.4450E-07 8.2342E-02
 1.8000E+07 2.1570E-07 8.8330E-02
 2.0000E+07 1.9300E-07 9.3720E-02
 2.2000E+07 1.7460E-07 9.8630E-02
 2.4000E+07 1.5950E-07 1.0312E-01
 2.6000E+07 1.4670E-07 1.0725E-01
 2.8000E+07 1.3580E-07 1.1106E-01
 3.0000E+07 1.2640E-07 1.1462E-01
 3.5000E+07 1.0780E-07 1.2251E-01
 4.0000E+07 9.4000E-08 1.2925E-01
 4.5000E+07 8.3313E-08 1.3515E-01
 5.0000E+07 7.4800E-08 1.4038E-01
 6.0000E+07 6.2110E-08 1.4929E-01
 7.0000E+07 5.3106E-08 1.5658E-01
 8.0000E+07 4.6380E-08 1.6271E-01
 9.0000E+07 4.1163E-08 1.6800E-01
 1.0000E+08 3.7000E-08 1.7264E-01
 1.2500E+08 2.9537E-08 1.8211E-01
 1.5000E+08 2.4580E-08 1.8944E-01
 1.7500E+08 2.1047E-08 1.9534E-01
 2.0000E+08 1.8400E-08 2.0021E-01
 2.5000E+08 1.4700E-08 2.0779E-01
 3.0000E+08 1.2240E-08 2.1350E-01
 3.5000E+08 1.0488E-08 2.1800E-01
 4.0000E+08 9.1750E-09 2.2163E-01
 4.5000E+08 8.1533E-09 2.2463E-01
 5.0000E+08 7.3360E-09 2.2715E-01
 6.0000E+08 6.1110E-09 2.3122E-01
 7.0000E+08 5.2373E-09 2.3436E-01
 8.0000E+08 4.5820E-09 2.3684E-01
 9.0000E+08 4.0720E-09 2.3882E-01
 1.0000E+09 3.6640E-09 2.4047E-01
 1.5000E+09 2.4420E-09 2.4603E-01
 2.0000E+09 1.8310E-09 2.4914E-01
 3.0000E+09 1.2210E-09 2.5244E-01
 4.0000E+09 9.1530E-10 2.5433E-01
 5.0000E+09 7.3220E-10 2.5559E-01
 6.0000E+09 6.1020E-10 2.5635E-01
 8.0000E+09 4.5760E-10 2.5750E-01
 1.0000E+10 3.6610E-10 2.5822E-01
 1.5000E+10 2.4400E-10 2.5912E-01
 2.0000E+10 1.8300E-10 2.5970E-01
 3.0000E+10 1.2200E-10 2.6027E-01
 4.0000E+10 9.1510E-11 2.6058E-01
 5.0000E+10 7.3210E-11 2.6074E-01
 6.0000E+10 6.1010E-11 2.6088E-01
 8.0000E+10 4.5750E-11 2.6103E-01
 1.0000E+11 3.6600E-11 2.6116E-01
