  6
 1.0000E+03 4.4070E+04
 1.2500E+03 2.3482E+04
 1.5000E+03 1.3950E+04
 1.7500E+03 8.9132E+03
 2.0000E+03 6.0170E+03
 2.5000E+03 3.0969E+03
 3.0000E+03 1.7880E+03
 3.5000E+03 1.1186E+03
 4.0000E+03 7.4270E+02
 4.5000E+03 5.1621E+02
 5.0000E+03 3.7210E+02
 6.0000E+03 2.1030E+02
 7.0000E+03 1.2929E+02
 8.0000E+03 8.4590E+01
 9.0000E+03 5.8058E+01
 1.0000E+04 4.1400E+01
 1.2500E+04 2.0148E+01
 1.5000E+04 1.1140E+01
 1.7500E+04 6.7296E+00
 2.0000E+04 4.3410E+00
 2.5000E+04 2.0806E+00
 3.0000E+04 1.1380E+00
 3.5000E+04 6.8209E-01
 4.0000E+04 4.3740E-01
 4.5000E+04 2.9543E-01
 5.0000E+04 2.0790E-01
 6.0000E+04 1.1310E-01
 7.0000E+04 6.7582E-02
 8.0000E+04 4.3270E-02
 9.0000E+04 2.9211E-02
 1.0000E+05 2.0570E-02
 1.2500E+05 9.8252E-03
 1.5000E+05 5.3970E-03
 1.7500E+05 3.2648E-03
 2.0000E+05 2.1210E-03
 2.5000E+05 1.0442E-03
 3.0000E+05 5.9440E-04
 3.5000E+05 3.7431E-04
 4.0000E+05 2.5360E-04
 4.5000E+05 1.8169E-04
 5.0000E+05 1.3640E-04
 6.0000E+05 8.4820E-05
 7.0000E+05 5.6924E-05
 8.0000E+05 4.2770E-05
 9.0000E+05 3.5143E-05
 1.0000E+06 2.6590E-05
 1.0220E+06 2.4520E-05 1.0000E-35
 1.2500E+06 1.6650E-05 2.8700E-04
 1.5000E+06 1.2090E-05 1.5940E-03
 1.7500E+06 9.3491E-06 3.7244E-03
 2.0000E+06 7.6310E-06 6.3560E-03
 2.0440E+06 7.3840E-06 6.8520E-03
 2.5000E+06 5.5040E-06 1.2267E-02
 3.0000E+06 4.2820E-06 1.8442E-02
 3.5000E+06 3.4943E-06 2.4590E-02
 4.0000E+06 2.9470E-06 3.0539E-02
 4.5000E+06 2.5457E-06 3.6211E-02
 5.0000E+06 2.2390E-06 4.1630E-02
 6.0000E+06 1.8020E-06 5.1785E-02
 7.0000E+06 1.5070E-06 6.0949E-02
 8.0000E+06 1.2940E-06 6.9282E-02
 9.0000E+06 1.1340E-06 7.6903E-02
 1.0000E+07 1.0090E-06 8.3878E-02
 1.1000E+07 9.0810E-07 9.0256E-02
 1.2000E+07 8.2580E-07 9.6135E-02
 1.3000E+07 7.5710E-07 1.0163E-01
 1.4000E+07 6.9890E-07 1.0675E-01
 1.5000E+07 6.4900E-07 1.1152E-01
 1.6000E+07 6.0580E-07 1.1610E-01
 1.8000E+07 5.3450E-07 1.2438E-01
 2.0000E+07 4.7820E-07 1.3185E-01
 2.2000E+07 4.3260E-07 1.3873E-01
 2.4000E+07 3.9490E-07 1.4493E-01
 2.6000E+07 3.6330E-07 1.5065E-01
 2.8000E+07 3.3630E-07 1.5592E-01
 3.0000E+07 3.1310E-07 1.6083E-01
 3.5000E+07 2.6701E-07 1.7173E-01
 4.0000E+07 2.3270E-07 1.8104E-01
 4.5000E+07 2.0619E-07 1.8914E-01
 5.0000E+07 1.8510E-07 1.9630E-01
 6.0000E+07 1.5370E-07 2.0856E-01
 7.0000E+07 1.3144E-07 2.1863E-01
 8.0000E+07 1.1480E-07 2.2711E-01
 9.0000E+07 1.0188E-07 2.3442E-01
 1.0000E+08 9.1560E-08 2.4084E-01
 1.2500E+08 7.3076E-08 2.5395E-01
 1.5000E+08 6.0810E-08 2.6404E-01
 1.7500E+08 5.2072E-08 2.7205E-01
 2.0000E+08 4.5530E-08 2.7864E-01
 2.5000E+08 3.6387E-08 2.8900E-01
 3.0000E+08 3.0300E-08 2.9677E-01
 3.5000E+08 2.5955E-08 3.0278E-01
 4.0000E+08 2.2700E-08 3.0760E-01
 4.5000E+08 2.0171E-08 3.1156E-01
 5.0000E+08 1.8150E-08 3.1492E-01
 6.0000E+08 1.5120E-08 3.2034E-01
 7.0000E+08 1.2953E-08 3.2443E-01
 8.0000E+08 1.1330E-08 3.2764E-01
 9.0000E+08 1.0071E-08 3.3028E-01
 1.0000E+09 9.0650E-09 3.3248E-01
 1.5000E+09 6.0410E-09 3.3962E-01
 2.0000E+09 4.5300E-09 3.4361E-01
 3.0000E+09 3.0190E-09 3.4800E-01
 4.0000E+09 2.2640E-09 3.5034E-01
 5.0000E+09 1.8110E-09 3.5194E-01
 6.0000E+09 1.5090E-09 3.5292E-01
 8.0000E+09 1.1320E-09 3.5439E-01
 1.0000E+10 9.0560E-10 3.5523E-01
 1.5000E+10 6.0370E-10 3.5645E-01
 2.0000E+10 4.5280E-10 3.5714E-01
 3.0000E+10 3.0180E-10 3.5782E-01
 4.0000E+10 2.2640E-10 3.5824E-01
 5.0000E+10 1.8110E-10 3.5840E-01
 6.0000E+10 1.5090E-10 3.5865E-01
 8.0000E+10 1.1320E-10 3.5880E-01
 1.0000E+11 9.0550E-11 3.5893E-01
