  7
 1.0000E+03 7.6990E+04
 1.2500E+03 4.1750E+04
 1.5000E+03 2.5150E+04
 1.7500E+03 1.6250E+04
 2.0000E+03 1.1070E+04
 2.5000E+03 5.7753E+03
 3.0000E+03 3.3670E+03
 3.5000E+03 2.1224E+03
 4.0000E+03 1.4180E+03
 4.5000E+03 9.9111E+02
 5.0000E+03 7.1800E+02
 6.0000E+03 4.0920E+02
 7.0000E+03 2.5329E+02
 8.0000E+03 1.6670E+02
 9.0000E+03 1.1503E+02
 1.0000E+04 8.2410E+01
 1.2500E+04 4.0443E+01
 1.5000E+04 2.2500E+01
 1.7500E+04 1.3666E+01
 2.0000E+04 8.8560E+00
 2.5000E+04 4.2728E+00
 3.0000E+04 2.3480E+00
 3.5000E+04 1.4126E+00
 4.0000E+04 9.0870E-01
 4.5000E+04 6.1539E-01
 5.0000E+04 4.3400E-01
 6.0000E+04 2.3690E-01
 7.0000E+04 1.4198E-01
 8.0000E+04 9.1140E-02
 9.0000E+04 6.1648E-02
 1.0000E+05 4.3470E-02
 1.2500E+05 2.0796E-02
 1.5000E+05 1.1440E-02
 1.7500E+05 6.9365E-03
 2.0000E+05 4.5160E-03
 2.5000E+05 2.2284E-03
 3.0000E+05 1.2700E-03
 3.5000E+05 8.0051E-04
 4.0000E+05 5.4280E-04
 4.5000E+05 3.8914E-04
 5.0000E+05 2.9220E-04
 6.0000E+05 1.8190E-04
 7.0000E+05 1.2258E-04
 8.0000E+05 9.1770E-05
 9.0000E+05 7.4631E-05
 1.0000E+06 5.7040E-05
 1.0220E+06 5.2930E-05 1.0000E-35
 1.2500E+06 3.5930E-05 3.9310E-04
 1.5000E+06 2.6090E-05 2.1770E-03
 1.7500E+06 2.0158E-05 5.0806E-03
 2.0000E+06 1.6430E-05 8.6670E-03
 2.0440E+06 1.5900E-05 9.3430E-03
 2.5000E+06 1.1845E-05 1.6710E-02
 3.0000E+06 9.2000E-06 2.5072E-02
 3.5000E+06 7.5013E-06 3.3371E-02
 4.0000E+06 6.3230E-06 4.1383E-02
 4.5000E+06 5.4587E-06 4.9006E-02
 5.0000E+06 4.7990E-06 5.6278E-02
 6.0000E+06 3.8610E-06 6.9889E-02
 7.0000E+06 3.2270E-06 8.2129E-02
 8.0000E+06 2.7700E-06 9.3262E-02
 9.0000E+06 2.4260E-06 1.0343E-01
 1.0000E+07 2.1570E-06 1.1269E-01
 1.1000E+07 1.9420E-06 1.2122E-01
 1.2000E+07 1.7660E-06 1.2900E-01
 1.3000E+07 1.6190E-06 1.3633E-01
 1.4000E+07 1.4940E-06 1.4311E-01
 1.5000E+07 1.3870E-06 1.4955E-01
 1.6000E+07 1.2950E-06 1.5555E-01
 1.8000E+07 1.1420E-06 1.6654E-01
 2.0000E+07 1.0220E-06 1.7640E-01
 2.2000E+07 9.2410E-07 1.8546E-01
 2.4000E+07 8.4350E-07 1.9362E-01
 2.6000E+07 7.7590E-07 2.0120E-01
 2.8000E+07 7.1830E-07 2.0811E-01
 3.0000E+07 6.6860E-07 2.1455E-01
 3.5000E+07 5.7003E-07 2.2889E-01
 4.0000E+07 4.9680E-07 2.4121E-01
 4.5000E+07 4.4022E-07 2.5197E-01
 5.0000E+07 3.9520E-07 2.6150E-01
 6.0000E+07 3.2810E-07 2.7770E-01
 7.0000E+07 2.8053E-07 2.9094E-01
 8.0000E+07 2.4500E-07 3.0209E-01
 9.0000E+07 2.1741E-07 3.1176E-01
 1.0000E+08 1.9540E-07 3.2022E-01
 1.2500E+08 1.5598E-07 3.3734E-01
 1.5000E+08 1.2980E-07 3.5050E-01
 1.7500E+08 1.1113E-07 3.6103E-01
 2.0000E+08 9.7150E-08 3.6965E-01
 2.5000E+08 7.7634E-08 3.8295E-01
 3.0000E+08 6.4650E-08 3.9282E-01
 3.5000E+08 5.5384E-08 4.0050E-01
 4.0000E+08 4.8440E-08 4.0668E-01
 4.5000E+08 4.3044E-08 4.1176E-01
 5.0000E+08 3.8730E-08 4.1604E-01
 6.0000E+08 3.2260E-08 4.2282E-01
 7.0000E+08 2.7641E-08 4.2792E-01
 8.0000E+08 2.4180E-08 4.3194E-01
 9.0000E+08 2.1491E-08 4.3527E-01
 1.0000E+09 1.9340E-08 4.3804E-01
 1.5000E+09 1.2890E-08 4.4689E-01
 2.0000E+09 9.6660E-09 4.5190E-01
 3.0000E+09 6.4430E-09 4.5723E-01
 4.0000E+09 4.8310E-09 4.6025E-01
 5.0000E+09 3.8650E-09 4.6209E-01
 6.0000E+09 3.2210E-09 4.6340E-01
 8.0000E+09 2.4150E-09 4.6512E-01
 1.0000E+10 1.9320E-09 4.6618E-01
 1.5000E+10 1.2880E-09 4.6774E-01
 2.0000E+10 9.6610E-10 4.6855E-01
 3.0000E+10 6.4400E-10 4.6935E-01
 4.0000E+10 4.8300E-10 4.6988E-01
 5.0000E+10 3.8640E-10 4.7015E-01
 6.0000E+10 3.2200E-10 4.7030E-01
 8.0000E+10 2.4150E-10 4.7056E-01
 1.0000E+11 1.9320E-10 4.7070E-01
