  8
 1.0000E+03 1.2190E+05
 1.2500E+03 6.7318E+04
 1.5000E+03 4.1110E+04
 1.7500E+03 2.6834E+04
 2.0000E+03 1.8430E+04
 2.5000E+03 9.7437E+03
 3.0000E+03 5.7390E+03
 3.5000E+03 3.6464E+03
 4.0000E+03 2.4520E+03
 4.5000E+03 1.7231E+03
 5.0000E+03 1.2540E+03
 6.0000E+03 7.1990E+02
 7.0000E+03 4.4841E+02
 8.0000E+03 2.9670E+02
 9.0000E+03 2.0566E+02
 1.0000E+04 1.4790E+02
 1.2500E+04 7.3163E+01
 1.5000E+04 4.0960E+01
 1.7500E+04 2.5005E+01
 2.0000E+04 1.6270E+01
 2.5000E+04 7.8977E+00
 3.0000E+04 4.3600E+00
 3.5000E+04 2.6331E+00
 4.0000E+04 1.6990E+00
 4.5000E+04 1.1534E+00
 5.0000E+04 8.1510E-01
 6.0000E+04 4.4650E-01
 7.0000E+04 2.6831E-01
 8.0000E+04 1.7260E-01
 9.0000E+04 1.1698E-01
 1.0000E+05 8.2640E-02
 1.2500E+05 3.9670E-02
 1.5000E+05 2.1860E-02
 1.7500E+05 1.3260E-02
 2.0000E+05 8.6370E-03
 2.5000E+05 4.2733E-03
 3.0000E+05 2.4410E-03
 3.5000E+05 1.5401E-03
 4.0000E+05 1.0450E-03
 4.5000E+05 7.4989E-04
 5.0000E+05 5.6340E-04
 6.0000E+05 3.5090E-04
 7.0000E+05 2.3711E-04
 8.0000E+05 1.7710E-04
 9.0000E+05 1.4306E-04
 1.0000E+06 1.1010E-04
 1.0220E+06 1.0260E-04 1.0000E-35
 1.2500E+06 6.9660E-05 5.1590E-04
 1.5000E+06 5.0540E-05 2.8500E-03
 1.7500E+06 3.9072E-05 6.6523E-03
 2.0000E+06 3.1790E-05 1.1340E-02
 2.0440E+06 3.0750E-05 1.2220E-02
 2.5000E+06 2.2865E-05 2.1824E-02
 3.0000E+06 1.7760E-05 3.2733E-02
 3.5000E+06 1.4473E-05 4.3508E-02
 4.0000E+06 1.2190E-05 5.3878E-02
 4.5000E+06 1.0517E-05 6.3740E-02
 5.0000E+06 9.2420E-06 7.3136E-02
 6.0000E+06 7.4300E-06 9.0673E-02
 7.0000E+06 6.2070E-06 1.0644E-01
 8.0000E+06 5.3260E-06 1.2070E-01
 9.0000E+06 4.6630E-06 1.3381E-01
 1.0000E+07 4.1460E-06 1.4566E-01
 1.1000E+07 3.7320E-06 1.5654E-01
 1.2000E+07 3.3920E-06 1.6656E-01
 1.3000E+07 3.1090E-06 1.7592E-01
 1.4000E+07 2.8690E-06 1.8463E-01
 1.5000E+07 2.6640E-06 1.9278E-01
 1.6000E+07 2.4860E-06 2.0050E-01
 1.8000E+07 2.1930E-06 2.1460E-01
 2.0000E+07 1.9610E-06 2.2725E-01
 2.2000E+07 1.7740E-06 2.3879E-01
 2.4000E+07 1.6190E-06 2.4931E-01
 2.6000E+07 1.4890E-06 2.5894E-01
 2.8000E+07 1.3780E-06 2.6789E-01
 3.0000E+07 1.2830E-06 2.7616E-01
 3.5000E+07 1.0940E-06 2.9436E-01
 4.0000E+07 9.5310E-07 3.0998E-01
 4.5000E+07 8.4445E-07 3.2374E-01
 5.0000E+07 7.5810E-07 3.3589E-01
 6.0000E+07 6.2940E-07 3.5634E-01
 7.0000E+07 5.3803E-07 3.7326E-01
 8.0000E+07 4.6980E-07 3.8756E-01
 9.0000E+07 4.1690E-07 3.9982E-01
 1.0000E+08 3.7470E-07 4.1048E-01
 1.2500E+08 2.9901E-07 4.3215E-01
 1.5000E+08 2.4880E-07 4.4872E-01
 1.7500E+08 2.1307E-07 4.6180E-01
 2.0000E+08 1.8630E-07 4.7246E-01
 2.5000E+08 1.4882E-07 4.8898E-01
 3.0000E+08 1.2390E-07 5.0121E-01
 3.5000E+08 1.0616E-07 5.1063E-01
 4.0000E+08 9.2870E-08 5.1814E-01
 4.5000E+08 8.2526E-08 5.2430E-01
 5.0000E+08 7.4250E-08 5.2946E-01
 6.0000E+08 6.1850E-08 5.3766E-01
 7.0000E+08 5.3004E-08 5.4386E-01
 8.0000E+08 4.6370E-08 5.4875E-01
 9.0000E+08 4.1209E-08 5.5273E-01
 1.0000E+09 3.7080E-08 5.5604E-01
 1.5000E+09 2.4710E-08 5.6673E-01
 2.0000E+09 1.8530E-08 5.7261E-01
 3.0000E+09 1.2350E-08 5.7901E-01
 4.0000E+09 9.2620E-09 5.8247E-01
 5.0000E+09 7.4090E-09 5.8464E-01
 6.0000E+09 6.1740E-09 5.8626E-01
 8.0000E+09 4.6300E-09 5.8820E-01
 1.0000E+10 3.7040E-09 5.8948E-01
 1.5000E+10 2.4690E-09 5.9125E-01
 2.0000E+10 1.8520E-09 5.9227E-01
 3.0000E+10 1.2350E-09 5.9328E-01
 4.0000E+10 9.2600E-10 5.9382E-01
 5.0000E+10 7.4080E-10 5.9410E-01
 6.0000E+10 6.1730E-10 5.9435E-01
 8.0000E+10 4.6300E-10 5.9460E-01
 1.0000E+11 3.7040E-10 5.9485E-01
