  9
 1.0000E+03 1.7820E+05
 1.2500E+03 1.0055E+05
 1.5000E+03 6.2370E+04
 1.7500E+03 4.1157E+04
 2.0000E+03 2.8500E+04
 2.5000E+03 1.5257E+04
 3.0000E+03 9.0730E+03
 3.5000E+03 5.8098E+03
 4.0000E+03 3.9310E+03
 4.5000E+03 2.7760E+03
 5.0000E+03 2.0290E+03
 6.0000E+03 1.1740E+03
 7.0000E+03 7.3544E+02
 8.0000E+03 4.8880E+02
 9.0000E+03 3.4015E+02
 1.0000E+04 2.4550E+02
 1.2500E+04 1.2236E+02
 1.5000E+04 6.8900E+01
 1.7500E+04 4.2256E+01
 2.0000E+04 2.7600E+01
 2.5000E+04 1.3479E+01
 3.0000E+04 7.4760E+00
 3.5000E+04 4.5315E+00
 4.0000E+04 2.9330E+00
 4.5000E+04 1.9965E+00
 5.0000E+04 1.4140E+00
 6.0000E+04 7.7690E-01
 7.0000E+04 4.6802E-01
 8.0000E+04 3.0170E-01
 9.0000E+04 2.0483E-01
 1.0000E+05 1.4490E-01
 1.2500E+05 6.9776E-02
 1.5000E+05 3.8540E-02
 1.7500E+05 2.3415E-02
 2.0000E+05 1.5270E-02
 2.5000E+05 7.5685E-03
 3.0000E+05 4.3300E-03
 3.5000E+05 2.7357E-03
 4.0000E+05 1.8580E-03
 4.5000E+05 1.3337E-03
 5.0000E+05 1.0020E-03
 6.0000E+05 6.2450E-04
 7.0000E+05 4.2315E-04
 8.0000E+05 3.1530E-04
 9.0000E+05 2.5299E-04
 1.0000E+06 1.9600E-04
 1.0220E+06 1.8340E-04 1.0000E-35
 1.2500E+06 1.2440E-04 6.5060E-04
 1.5000E+06 9.0280E-05 3.6010E-03
 1.7500E+06 6.9774E-05 8.4032E-03
 2.0000E+06 5.6690E-05 1.4340E-02
 2.0440E+06 5.4830E-05 1.5460E-02
 2.5000E+06 4.0727E-05 2.7638E-02
 3.0000E+06 3.1600E-05 4.1373E-02
 3.5000E+06 2.5732E-05 5.4934E-02
 4.0000E+06 2.1660E-05 6.7993E-02
 4.5000E+06 1.8679E-05 8.0401E-02
 5.0000E+06 1.6410E-05 9.2194E-02
 6.0000E+06 1.3190E-05 1.1414E-01
 7.0000E+06 1.1010E-05 1.3392E-01
 8.0000E+06 9.4440E-06 1.5175E-01
 9.0000E+06 8.2660E-06 1.6802E-01
 1.0000E+07 7.3480E-06 1.8293E-01
 1.1000E+07 6.6120E-06 1.9656E-01
 1.2000E+07 6.0090E-06 2.0901E-01
 1.3000E+07 5.5070E-06 2.2060E-01
 1.4000E+07 5.0820E-06 2.3144E-01
 1.5000E+07 4.7170E-06 2.4162E-01
 1.6000E+07 4.4020E-06 2.5114E-01
 1.8000E+07 3.8820E-06 2.6875E-01
 2.0000E+07 3.4710E-06 2.8450E-01
 2.2000E+07 3.1390E-06 2.9881E-01
 2.4000E+07 2.8650E-06 3.1180E-01
 2.6000E+07 2.6350E-06 3.2378E-01
 2.8000E+07 2.4390E-06 3.3487E-01
 3.0000E+07 2.2700E-06 3.4517E-01
 3.5000E+07 1.9349E-06 3.6785E-01
 4.0000E+07 1.6860E-06 3.8724E-01
 4.5000E+07 1.4939E-06 4.0428E-01
 5.0000E+07 1.3410E-06 4.1937E-01
 6.0000E+07 1.1130E-06 4.4486E-01
 7.0000E+07 9.5133E-07 4.6573E-01
 8.0000E+07 8.3070E-07 4.8330E-01
 9.0000E+07 7.3720E-07 4.9843E-01
 1.0000E+08 6.6260E-07 5.1161E-01
 1.2500E+08 5.2881E-07 5.3812E-01
 1.5000E+08 4.4000E-07 5.5826E-01
 1.7500E+08 3.7676E-07 5.7417E-01
 2.0000E+08 3.2940E-07 5.8709E-01
 2.5000E+08 2.6316E-07 6.0690E-01
 3.0000E+08 2.1910E-07 6.2147E-01
 3.5000E+08 1.8771E-07 6.3270E-01
 4.0000E+08 1.6420E-07 6.4163E-01
 4.5000E+08 1.4591E-07 6.4892E-01
 5.0000E+08 1.3130E-07 6.5501E-01
 6.0000E+08 1.0940E-07 6.6472E-01
 7.0000E+08 9.3724E-08 6.7208E-01
 8.0000E+08 8.1970E-08 6.7784E-01
 9.0000E+08 7.2849E-08 6.8249E-01
 1.0000E+09 6.5560E-08 6.8632E-01
 1.5000E+09 4.3690E-08 6.9873E-01
 2.0000E+09 3.2760E-08 7.0558E-01
 3.0000E+09 2.1840E-08 7.1303E-01
 4.0000E+09 1.6370E-08 7.1704E-01
 5.0000E+09 1.3100E-08 7.1962E-01
 6.0000E+09 1.0920E-08 7.2137E-01
 8.0000E+09 8.1860E-09 7.2372E-01
 1.0000E+10 6.5490E-09 7.2521E-01
 1.5000E+10 4.3660E-09 7.2720E-01
 2.0000E+10 3.2740E-09 7.2833E-01
 3.0000E+10 2.1830E-09 7.2944E-01
 4.0000E+10 1.6370E-09 7.3009E-01
 5.0000E+10 1.3100E-09 7.3047E-01
 6.0000E+10 1.0910E-09 7.3072E-01
 8.0000E+10 8.1850E-10 7.3108E-01
 1.0000E+11 6.5480E-10 7.3132E-01
