 10
 1.0000E+03 2.4820E+05
 1.2500E+03 1.4216E+05
 1.5000E+03 8.9280E+04
 1.7500E+03 5.9541E+04
 2.0000E+03 4.1590E+04
 2.5000E+03 2.2548E+04
 3.0000E+03 1.3530E+04
 3.5000E+03 8.7256E+03
 4.0000E+03 5.9390E+03
 4.5000E+03 4.2156E+03
 5.0000E+03 3.0950E+03
 6.0000E+03 1.8040E+03
 7.0000E+03 1.1364E+03
 8.0000E+03 7.5860E+02
 9.0000E+03 5.2989E+02
 1.0000E+04 3.8370E+02
 1.2500E+04 1.9254E+02
 1.5000E+04 1.0900E+02
 1.7500E+04 6.7140E+01
 2.0000E+04 4.4010E+01
 2.5000E+04 2.1615E+01
 3.0000E+04 1.2040E+01
 3.5000E+04 7.3233E+00
 4.0000E+04 4.7530E+00
 4.5000E+04 3.2424E+00
 5.0000E+04 2.3010E+00
 6.0000E+04 1.2690E+00
 7.0000E+04 7.6658E-01
 8.0000E+04 4.9520E-01
 9.0000E+04 3.3678E-01
 1.0000E+05 2.3860E-01
 1.2500E+05 1.1521E-01
 1.5000E+05 6.3780E-02
 1.7500E+05 3.8832E-02
 2.0000E+05 2.5360E-02
 2.5000E+05 1.2580E-02
 3.0000E+05 7.2010E-03
 3.5000E+05 4.5558E-03
 4.0000E+05 3.0990E-03
 4.5000E+05 2.2272E-03
 5.0000E+05 1.6740E-03
 6.0000E+05 1.0430E-03
 7.0000E+05 7.0805E-04
 8.0000E+05 5.2710E-04
 9.0000E+05 4.2128E-04
 1.0000E+06 3.2770E-04
 1.0220E+06 3.0740E-04 1.0000E-35
 1.2500E+06 2.0860E-04 8.0900E-04
 1.5000E+06 1.5120E-04 4.4640E-03
 1.7500E+06 1.1679E-04 1.0411E-02
 2.0000E+06 9.4810E-05 1.7750E-02
 2.0440E+06 9.1690E-05 1.9130E-02
 2.5000E+06 6.8035E-05 3.4145E-02
 3.0000E+06 5.2740E-05 5.1084E-02
 3.5000E+06 4.2919E-05 6.7760E-02
 4.0000E+06 3.6110E-05 8.3787E-02
 4.5000E+06 3.1125E-05 9.9012E-02
 5.0000E+06 2.7330E-05 1.1348E-01
 6.0000E+06 2.1950E-05 1.4034E-01
 7.0000E+06 1.8320E-05 1.6440E-01
 8.0000E+06 1.5710E-05 1.8630E-01
 9.0000E+06 1.3740E-05 2.0624E-01
 1.0000E+07 1.2210E-05 2.2440E-01
 1.1000E+07 1.0990E-05 2.4087E-01
 1.2000E+07 9.9850E-06 2.5617E-01
 1.3000E+07 9.1490E-06 2.7029E-01
 1.4000E+07 8.4420E-06 2.8355E-01
 1.5000E+07 7.8360E-06 2.9585E-01
 1.6000E+07 7.3110E-06 3.0749E-01
 1.8000E+07 6.4460E-06 3.2891E-01
 2.0000E+07 5.7640E-06 3.4805E-01
 2.2000E+07 5.2120E-06 3.6543E-01
 2.4000E+07 4.7560E-06 3.8128E-01
 2.6000E+07 4.3740E-06 3.9582E-01
 2.8000E+07 4.0480E-06 4.0924E-01
 3.0000E+07 3.7680E-06 4.2168E-01
 3.5000E+07 3.2118E-06 4.4932E-01
 4.0000E+07 2.7980E-06 4.7299E-01
 4.5000E+07 2.4787E-06 4.9359E-01
 5.0000E+07 2.2250E-06 5.1174E-01
 6.0000E+07 1.8470E-06 5.4247E-01
 7.0000E+07 1.5785E-06 5.6783E-01
 8.0000E+07 1.3780E-06 5.8921E-01
 9.0000E+07 1.2228E-06 6.0748E-01
 1.0000E+08 1.0990E-06 6.2328E-01
 1.2500E+08 8.7714E-07 6.5496E-01
 1.5000E+08 7.2980E-07 6.7891E-01
 1.7500E+08 6.2480E-07 6.9774E-01
 2.0000E+08 5.4620E-07 7.1297E-01
 2.5000E+08 4.3642E-07 7.3621E-01
 3.0000E+08 3.6340E-07 7.5323E-01
 3.5000E+08 3.1132E-07 7.6629E-01
 4.0000E+08 2.7230E-07 7.7670E-01
 4.5000E+08 2.4197E-07 7.8521E-01
 5.0000E+08 2.1770E-07 7.9231E-01
 6.0000E+08 1.8130E-07 8.0351E-01
 7.0000E+08 1.5534E-07 8.1193E-01
 8.0000E+08 1.3590E-07 8.1854E-01
 9.0000E+08 1.2079E-07 8.2393E-01
 1.0000E+09 1.0870E-07 8.2840E-01
 1.5000E+09 7.2450E-08 8.4260E-01
 2.0000E+09 5.4330E-08 8.5040E-01
 3.0000E+09 3.6210E-08 8.5891E-01
 4.0000E+09 2.7150E-08 8.6354E-01
 5.0000E+09 2.1720E-08 8.6644E-01
 6.0000E+09 1.8100E-08 8.6850E-01
 8.0000E+09 1.3580E-08 8.7107E-01
 1.0000E+10 1.0860E-08 8.7277E-01
 1.5000E+10 7.2400E-09 8.7507E-01
 2.0000E+10 5.4300E-09 8.7631E-01
 3.0000E+10 3.6200E-09 8.7762E-01
 4.0000E+10 2.7150E-09 8.7837E-01
 5.0000E+10 2.1720E-09 8.7876E-01
 6.0000E+10 1.8100E-09 8.7911E-01
 8.0000E+10 1.3570E-09 8.7947E-01
 1.0000E+11 1.0860E-09 8.7971E-01
