 11
 1.0000E+03 2.4900E+04
 1.0354E+03 2.2672E+04
 1.0721E+03 2.0660E+04
 1.0721E+03 2.4560E+05
 1.2500E+03 1.8124E+05
 1.5000E+03 1.2190E+05
 1.7500E+03 8.2839E+04
 2.0000E+03 5.7990E+04
 2.5000E+03 3.1774E+04
 3.0000E+03 1.9300E+04
 3.5000E+03 1.2544E+04
 4.0000E+03 8.5860E+03
 4.5000E+03 6.1250E+03
 5.0000E+03 4.5160E+03
 6.0000E+03 2.6490E+03
 7.0000E+03 1.6784E+03
 8.0000E+03 1.1260E+03
 9.0000E+03 7.8954E+02
 1.0000E+04 5.7350E+02
 1.2500E+04 2.8963E+02
 1.5000E+04 1.6480E+02
 1.7500E+04 1.0193E+02
 2.0000E+04 6.7050E+01
 2.5000E+04 3.3121E+01
 3.0000E+04 1.8530E+01
 3.5000E+04 1.1308E+01
 4.0000E+04 7.3580E+00
 4.5000E+04 5.0303E+00
 5.0000E+04 3.5770E+00
 6.0000E+04 1.9800E+00
 7.0000E+04 1.1989E+00
 8.0000E+04 7.7590E-01
 9.0000E+04 5.2863E-01
 1.0000E+05 3.7510E-01
 1.2500E+05 1.8157E-01
 1.5000E+05 1.0070E-01
 1.7500E+05 6.1423E-02
 2.0000E+05 4.0180E-02
 2.5000E+05 1.9977E-02
 3.0000E+05 1.1450E-02
 3.5000E+05 7.2483E-03
 4.0000E+05 4.9330E-03
 4.5000E+05 3.5477E-03
 5.0000E+05 2.6680E-03
 6.0000E+05 1.6640E-03
 7.0000E+05 1.1313E-03
 8.0000E+05 8.4110E-04
 9.0000E+05 6.6994E-04
 1.0000E+06 5.2280E-04
 1.0220E+06 4.9140E-04 1.0000E-35
 1.2500E+06 3.3330E-04 9.8690E-04
 1.5000E+06 2.4160E-04 5.4250E-03
 1.7500E+06 1.8658E-04 1.2627E-02
 2.0000E+06 1.5130E-04 2.1530E-02
 2.0440E+06 1.4630E-04 2.3210E-02
 2.5000E+06 1.0845E-04 4.1420E-02
 3.0000E+06 8.4000E-05 6.1834E-02
 3.5000E+06 6.8301E-05 8.1924E-02
 4.0000E+06 5.7430E-05 1.0123E-01
 4.5000E+06 4.9487E-05 1.1954E-01
 5.0000E+06 4.3440E-05 1.3691E-01
 6.0000E+06 3.4860E-05 1.6915E-01
 7.0000E+06 2.9080E-05 1.9808E-01
 8.0000E+06 2.4930E-05 2.2435E-01
 9.0000E+06 2.1810E-05 2.4815E-01
 1.0000E+07 1.9370E-05 2.6996E-01
 1.1000E+07 1.7430E-05 2.8979E-01
 1.2000E+07 1.5830E-05 3.0803E-01
 1.3000E+07 1.4510E-05 3.2498E-01
 1.4000E+07 1.3380E-05 3.4076E-01
 1.5000E+07 1.2420E-05 3.5558E-01
 1.6000E+07 1.1590E-05 3.6943E-01
 1.8000E+07 1.0210E-05 3.9496E-01
 2.0000E+07 9.1320E-06 4.1789E-01
 2.2000E+07 8.2570E-06 4.3865E-01
 2.4000E+07 7.5350E-06 4.5756E-01
 2.6000E+07 6.9280E-06 4.7485E-01
 2.8000E+07 6.4120E-06 4.9091E-01
 3.0000E+07 5.9670E-06 5.0578E-01
 3.5000E+07 5.0847E-06 5.3873E-01
 4.0000E+07 4.4300E-06 5.6693E-01
 4.5000E+07 3.9248E-06 5.9150E-01
 5.0000E+07 3.5230E-06 6.1320E-01
 6.0000E+07 2.9240E-06 6.4995E-01
 7.0000E+07 2.4991E-06 6.8007E-01
 8.0000E+07 2.1820E-06 7.0529E-01
 9.0000E+07 1.9361E-06 7.2677E-01
 1.0000E+08 1.7400E-06 7.4532E-01
 1.2500E+08 1.3883E-06 7.8242E-01
 1.5000E+08 1.1550E-06 8.1043E-01
 1.7500E+08 9.8891E-07 8.3244E-01
 2.0000E+08 8.6460E-07 8.5026E-01
 2.5000E+08 6.9084E-07 8.7746E-01
 3.0000E+08 5.7520E-07 8.9740E-01
 3.5000E+08 4.9271E-07 9.1276E-01
 4.0000E+08 4.3090E-07 9.2500E-01
 4.5000E+08 3.8287E-07 9.3501E-01
 5.0000E+08 3.4450E-07 9.4336E-01
 6.0000E+08 2.8700E-07 9.5655E-01
 7.0000E+08 2.4590E-07 9.6653E-01
 8.0000E+08 2.1510E-07 9.7440E-01
 9.0000E+08 1.9120E-07 9.8079E-01
 1.0000E+09 1.7210E-07 9.8608E-01
 1.5000E+09 1.1470E-07 1.0031E+00
 2.0000E+09 8.5970E-08 1.0125E+00
 3.0000E+09 5.7300E-08 1.0227E+00
 4.0000E+09 4.2970E-08 1.0283E+00
 5.0000E+09 3.4380E-08 1.0319E+00
 6.0000E+09 2.8650E-08 1.0343E+00
 8.0000E+09 2.1480E-08 1.0375E+00
 1.0000E+10 1.7190E-08 1.0395E+00
 1.5000E+10 1.1460E-08 1.0424E+00
 2.0000E+10 8.5930E-09 1.0439E+00
 3.0000E+10 5.7280E-09 1.0455E+00
 4.0000E+10 4.2960E-09 1.0464E+00
 5.0000E+10 3.4370E-09 1.0469E+00
 6.0000E+10 2.8640E-09 1.0472E+00
 8.0000E+10 2.1480E-09 1.0477E+00
 1.0000E+11 1.7180E-09 1.0480E+00
