 12
 1.0000E+03 3.7140E+04
 1.2500E+03 2.0426E+04
 1.3050E+03 1.8200E+04
 1.3050E+03 2.1960E+05
 1.5000E+03 1.6150E+05
 1.7500E+03 1.1050E+05
 2.0000E+03 7.7890E+04
 2.5000E+03 4.3214E+04
 3.0000E+03 2.6510E+04
 3.5000E+03 1.7359E+04
 4.0000E+03 1.1950E+04
 4.5000E+03 8.5652E+03
 5.0000E+03 6.3410E+03
 6.0000E+03 3.7450E+03
 7.0000E+03 2.3849E+03
 8.0000E+03 1.6070E+03
 9.0000E+03 1.1314E+03
 1.0000E+04 8.2470E+02
 1.2500E+04 4.1915E+02
 1.5000E+04 2.3960E+02
 1.7500E+04 1.4878E+02
 2.0000E+04 9.8190E+01
 2.5000E+04 4.8749E+01
 3.0000E+04 2.7380E+01
 3.5000E+04 1.6764E+01
 4.0000E+04 1.0940E+01
 4.5000E+04 7.4979E+00
 5.0000E+04 5.3420E+00
 6.0000E+04 2.9650E+00
 7.0000E+04 1.8005E+00
 8.0000E+04 1.1680E+00
 9.0000E+04 7.9692E-01
 1.0000E+05 5.6610E-01
 1.2500E+05 2.7485E-01
 1.5000E+05 1.5280E-01
 1.7500E+05 9.3336E-02
 2.0000E+05 6.1120E-02
 2.5000E+05 3.0446E-02
 3.0000E+05 1.7470E-02
 3.5000E+05 1.1064E-02
 4.0000E+05 7.5340E-03
 4.5000E+05 5.4230E-03
 5.0000E+05 4.0820E-03
 6.0000E+05 2.5490E-03
 7.0000E+05 1.7340E-03
 8.0000E+05 1.2880E-03
 9.0000E+05 1.0242E-03
 1.0000E+06 8.0100E-04
 1.0220E+06 7.5380E-04 1.0000E-35
 1.2500E+06 5.1110E-04 1.1850E-03
 1.5000E+06 3.7040E-04 6.4870E-03
 1.7500E+06 2.8592E-04 1.5078E-02
 2.0000E+06 2.3160E-04 2.5690E-02
 2.0440E+06 2.2390E-04 2.7690E-02
 2.5000E+06 1.6582E-04 4.9356E-02
 3.0000E+06 1.2840E-04 7.3624E-02
 3.5000E+06 1.0433E-04 9.7488E-02
 4.0000E+06 8.7660E-05 1.2038E-01
 4.5000E+06 7.5499E-05 1.4201E-01
 5.0000E+06 6.6250E-05 1.6254E-01
 6.0000E+06 5.3130E-05 2.0075E-01
 7.0000E+06 4.4300E-05 2.3496E-01
 8.0000E+06 3.7960E-05 2.6590E-01
 9.0000E+06 3.3200E-05 2.9406E-01
 1.0000E+07 2.9490E-05 3.1973E-01
 1.1000E+07 2.6520E-05 3.4310E-01
 1.2000E+07 2.4090E-05 3.6458E-01
 1.3000E+07 2.2070E-05 3.8456E-01
 1.4000E+07 2.0360E-05 4.0317E-01
 1.5000E+07 1.8890E-05 4.2060E-01
 1.6000E+07 1.7620E-05 4.3697E-01
 1.8000E+07 1.5530E-05 4.6701E-01
 2.0000E+07 1.3890E-05 4.9393E-01
 2.2000E+07 1.2550E-05 5.1837E-01
 2.4000E+07 1.1450E-05 5.4064E-01
 2.6000E+07 1.0530E-05 5.6097E-01
 2.8000E+07 9.7460E-06 5.7988E-01
 3.0000E+07 9.0700E-06 5.9727E-01
 3.5000E+07 7.7289E-06 6.3601E-01
 4.0000E+07 6.7330E-06 6.6926E-01
 4.5000E+07 5.9643E-06 6.9803E-01
 5.0000E+07 5.3530E-06 7.2334E-01
 6.0000E+07 4.4420E-06 7.6632E-01
 7.0000E+07 3.7960E-06 8.0163E-01
 8.0000E+07 3.3140E-06 8.3115E-01
 9.0000E+07 2.9407E-06 8.5618E-01
 1.0000E+08 2.6430E-06 8.7773E-01
 1.2500E+08 2.1095E-06 9.2074E-01
 1.5000E+08 1.7550E-06 9.5314E-01
 1.7500E+08 1.5022E-06 9.7856E-01
 2.0000E+08 1.3130E-06 9.9916E-01
 2.5000E+08 1.0491E-06 1.0307E+00
 3.0000E+08 8.7360E-07 1.0540E+00
 3.5000E+08 7.4835E-07 1.0720E+00
 4.0000E+08 6.5450E-07 1.0862E+00
 4.5000E+08 5.8159E-07 1.0977E+00
 5.0000E+08 5.2330E-07 1.1075E+00
 6.0000E+08 4.3590E-07 1.1236E+00
 7.0000E+08 3.7348E-07 1.1355E+00
 8.0000E+08 3.2670E-07 1.1445E+00
 9.0000E+08 2.9036E-07 1.1516E+00
 1.0000E+09 2.6130E-07 1.1575E+00
 1.5000E+09 1.7410E-07 1.1785E+00
 2.0000E+09 1.3060E-07 1.1893E+00
 3.0000E+09 8.7030E-08 1.2012E+00
 4.0000E+09 6.5260E-08 1.2084E+00
 5.0000E+09 5.2210E-08 1.2121E+00
 6.0000E+09 4.3500E-08 1.2146E+00
 8.0000E+09 3.2630E-08 1.2193E+00
 1.0000E+10 2.6100E-08 1.2217E+00
 1.5000E+10 1.7400E-08 1.2243E+00
 2.0000E+10 1.3050E-08 1.2266E+00
 3.0000E+10 8.6990E-09 1.2279E+00
 4.0000E+10 6.5240E-09 1.2292E+00
 5.0000E+10 5.2200E-09 1.2303E+00
 6.0000E+10 4.3500E-09 1.2304E+00
 8.0000E+10 3.2620E-09 1.2305E+00
 1.0000E+11 2.6100E-09 1.2315E+00
