 13
 1.0000E+03 5.3000E+04
 1.2500E+03 2.9185E+04
 1.5000E+03 1.7930E+04
 1.5596E+03 1.6130E+04
 1.5596E+03 1.7720E+05
 1.7500E+03 1.3762E+05
 2.0000E+03 1.0130E+05
 2.5000E+03 5.7553E+04
 3.0000E+03 3.5240E+04
 3.5000E+03 2.3197E+04
 4.0000E+03 1.6090E+04
 4.5000E+03 1.1591E+04
 5.0000E+03 8.6120E+03
 6.0000E+03 5.1190E+03
 7.0000E+03 3.2778E+03
 8.0000E+03 2.2180E+03
 9.0000E+03 1.5665E+03
 1.0000E+04 1.1450E+03
 1.2500E+04 5.8586E+02
 1.5000E+04 3.3670E+02
 1.7500E+04 2.0985E+02
 2.0000E+04 1.3890E+02
 2.5000E+04 6.9306E+01
 3.0000E+04 3.9080E+01
 3.5000E+04 2.4000E+01
 4.0000E+04 1.5700E+01
 4.5000E+04 1.0782E+01
 5.0000E+04 7.6960E+00
 6.0000E+04 4.2850E+00
 7.0000E+04 2.6079E+00
 8.0000E+04 1.6950E+00
 9.0000E+04 1.1587E+00
 1.0000E+05 8.2450E-01
 1.2500E+05 4.0158E-01
 1.5000E+05 2.2370E-01
 1.7500E+05 1.3683E-01
 2.0000E+05 8.9700E-02
 2.5000E+05 4.4773E-02
 3.0000E+05 2.5730E-02
 3.5000E+05 1.6310E-02
 4.0000E+05 1.1110E-02
 4.5000E+05 7.9978E-03
 5.0000E+05 6.0210E-03
 6.0000E+05 3.7640E-03
 7.0000E+05 2.5645E-03
 8.0000E+05 1.9050E-03
 9.0000E+05 1.5126E-03
 1.0000E+06 1.1840E-03
 1.0220E+06 1.1150E-03 1.0000E-35
 1.2500E+06 7.5620E-04 1.4040E-03
 1.5000E+06 5.4760E-04 7.6520E-03
 1.7500E+06 4.2221E-04 1.7755E-02
 2.0000E+06 3.4200E-04 3.0230E-02
 2.0440E+06 3.3070E-04 3.2580E-02
 2.5000E+06 2.4479E-04 5.8023E-02
 3.0000E+06 1.8920E-04 8.6475E-02
 3.5000E+06 1.5367E-04 1.1439E-01
 4.0000E+06 1.2910E-04 1.4114E-01
 4.5000E+06 1.1113E-04 1.6641E-01
 5.0000E+06 9.7460E-05 1.9037E-01
 6.0000E+06 7.8120E-05 2.3495E-01
 7.0000E+06 6.5110E-05 2.7484E-01
 8.0000E+06 5.5770E-05 3.1095E-01
 9.0000E+06 4.8760E-05 3.4368E-01
 1.0000E+07 4.3300E-05 3.7360E-01
 1.1000E+07 3.8940E-05 4.0082E-01
 1.2000E+07 3.5370E-05 4.2583E-01
 1.3000E+07 3.2390E-05 4.4905E-01
 1.4000E+07 2.9880E-05 4.7068E-01
 1.5000E+07 2.7720E-05 4.9103E-01
 1.6000E+07 2.5860E-05 5.1001E-01
 1.8000E+07 2.2790E-05 5.4496E-01
 2.0000E+07 2.0370E-05 5.7627E-01
 2.2000E+07 1.8410E-05 6.0458E-01
 2.4000E+07 1.6800E-05 6.3041E-01
 2.6000E+07 1.5440E-05 6.5409E-01
 2.8000E+07 1.4290E-05 6.7593E-01
 3.0000E+07 1.3300E-05 6.9616E-01
 3.5000E+07 1.1332E-05 7.4127E-01
 4.0000E+07 9.8700E-06 7.7988E-01
 4.5000E+07 8.7422E-06 8.1321E-01
 5.0000E+07 7.8460E-06 8.4247E-01
 6.0000E+07 6.5110E-06 8.9208E-01
 7.0000E+07 5.5638E-06 9.3273E-01
 8.0000E+07 4.8570E-06 9.6669E-01
 9.0000E+07 4.3095E-06 9.9548E-01
 1.0000E+08 3.8730E-06 1.0202E+00
 1.2500E+08 3.0905E-06 1.0694E+00
 1.5000E+08 2.5710E-06 1.1066E+00
 1.7500E+08 2.2009E-06 1.1362E+00
 2.0000E+08 1.9240E-06 1.1603E+00
 2.5000E+08 1.5373E-06 1.1967E+00
 3.0000E+08 1.2800E-06 1.2233E+00
 3.5000E+08 1.0965E-06 1.2441E+00
 4.0000E+08 9.5900E-07 1.2607E+00
 4.5000E+08 8.5214E-07 1.2745E+00
 5.0000E+08 7.6670E-07 1.2858E+00
 6.0000E+08 6.3860E-07 1.3031E+00
 7.0000E+08 5.4721E-07 1.3165E+00
 8.0000E+08 4.7870E-07 1.3273E+00
 9.0000E+08 4.2542E-07 1.3361E+00
 1.0000E+09 3.8280E-07 1.3434E+00
 1.5000E+09 2.5510E-07 1.3667E+00
 2.0000E+09 1.9130E-07 1.3796E+00
 3.0000E+09 1.2750E-07 1.3937E+00
 4.0000E+09 9.5620E-08 1.4019E+00
 5.0000E+09 7.6490E-08 1.4067E+00
 6.0000E+09 6.3740E-08 1.4102E+00
 8.0000E+09 4.7800E-08 1.4139E+00
 1.0000E+10 3.8240E-08 1.4174E+00
 1.5000E+10 2.5490E-08 1.4210E+00
 2.0000E+10 1.9120E-08 1.4234E+00
 3.0000E+10 1.2750E-08 1.4248E+00
 4.0000E+10 9.5590E-09 1.4260E+00
 5.0000E+10 7.6470E-09 1.4271E+00
 6.0000E+10 6.3730E-09 1.4272E+00
 8.0000E+10 4.7790E-09 1.4283E+00
 1.0000E+11 3.8230E-09 1.4284E+00
