 15
 1.0000E+03 9.8240E+04
 1.2500E+03 5.4391E+04
 1.5000E+03 3.3550E+04
 1.7500E+03 2.2113E+04
 2.0000E+03 1.5410E+04
 2.1455E+03 1.2720E+04
 2.1455E+03 1.2710E+05
 2.5000E+03 8.9220E+04
 3.0000E+03 5.7410E+04
 3.5000E+03 3.8482E+04
 4.0000E+03 2.6880E+04
 4.5000E+03 1.9539E+04
 5.0000E+03 1.4650E+04
 6.0000E+03 8.8190E+03
 7.0000E+03 5.7028E+03
 8.0000E+03 3.8920E+03
 9.0000E+03 2.7693E+03
 1.0000E+04 2.0370E+03
 1.2500E+04 1.0544E+03
 1.5000E+04 6.1120E+02
 1.7500E+04 3.8376E+02
 2.0000E+04 2.5560E+02
 2.5000E+04 1.2874E+02
 3.0000E+04 7.3100E+01
 3.5000E+04 4.5147E+01
 4.0000E+04 2.9680E+01
 4.5000E+04 2.0475E+01
 5.0000E+04 1.4670E+01
 6.0000E+04 8.2130E+00
 7.0000E+04 5.0211E+00
 8.0000E+04 3.2760E+00
 9.0000E+04 2.2466E+00
 1.0000E+05 1.6030E+00
 1.2500E+05 7.8484E-01
 1.5000E+05 4.3890E-01
 1.7500E+05 2.6930E-01
 2.0000E+05 1.7700E-01
 2.5000E+05 8.8710E-02
 3.0000E+05 5.1130E-02
 3.5000E+05 3.2479E-02
 4.0000E+05 2.2160E-02
 4.5000E+05 1.5971E-02
 5.0000E+05 1.2030E-02
 6.0000E+05 7.5230E-03
 7.0000E+05 5.1365E-03
 8.0000E+05 3.8130E-03
 9.0000E+05 3.0167E-03
 1.0000E+06 2.3700E-03
 1.0220E+06 2.2370E-03 1.0000E-35
 1.2500E+06 1.5160E-03 1.9030E-03
 1.5000E+06 1.0970E-03 1.0290E-02
 1.7500E+06 8.4543E-04 2.3785E-02
 2.0000E+06 6.8370E-04 4.0440E-02
 2.0440E+06 6.6090E-04 4.3580E-02
 2.5000E+06 4.8821E-04 7.7512E-02
 3.0000E+06 3.7690E-04 1.1531E-01
 3.5000E+06 3.0577E-04 1.5229E-01
 4.0000E+06 2.5660E-04 1.8767E-01
 4.5000E+06 2.2068E-04 2.2107E-01
 5.0000E+06 1.9340E-04 2.5272E-01
 6.0000E+06 1.5490E-04 3.1146E-01
 7.0000E+06 1.2900E-04 3.6389E-01
 8.0000E+06 1.1040E-04 4.1145E-01
 9.0000E+06 9.6490E-05 4.5460E-01
 1.0000E+07 8.5650E-05 4.9383E-01
 1.1000E+07 7.6990E-05 5.2954E-01
 1.2000E+07 6.9900E-05 5.6233E-01
 1.3000E+07 6.4010E-05 5.9281E-01
 1.4000E+07 5.9020E-05 6.2119E-01
 1.5000E+07 5.4760E-05 6.4778E-01
 1.6000E+07 5.1060E-05 6.7268E-01
 1.8000E+07 4.4990E-05 7.1844E-01
 2.0000E+07 4.0200E-05 7.5943E-01
 2.2000E+07 3.6340E-05 7.9649E-01
 2.4000E+07 3.3140E-05 8.3024E-01
 2.6000E+07 3.0470E-05 8.6122E-01
 2.8000E+07 2.8190E-05 8.8974E-01
 3.0000E+07 2.6230E-05 9.1612E-01
 3.5000E+07 2.2344E-05 9.7499E-01
 4.0000E+07 1.9460E-05 1.0255E+00
 4.5000E+07 1.7238E-05 1.0692E+00
 5.0000E+07 1.5470E-05 1.1074E+00
 6.0000E+07 1.2830E-05 1.1715E+00
 7.0000E+07 1.0962E-05 1.2238E+00
 8.0000E+07 9.5700E-06 1.2674E+00
 9.0000E+07 8.4914E-06 1.3045E+00
 1.0000E+08 7.6310E-06 1.3363E+00
 1.2500E+08 6.0888E-06 1.4001E+00
 1.5000E+08 5.0650E-06 1.4482E+00
 1.7500E+08 4.3358E-06 1.4860E+00
 2.0000E+08 3.7900E-06 1.5166E+00
 2.5000E+08 3.0277E-06 1.5637E+00
 3.0000E+08 2.5210E-06 1.5987E+00
 3.5000E+08 2.1598E-06 1.6261E+00
 4.0000E+08 1.8890E-06 1.6477E+00
 4.5000E+08 1.6783E-06 1.6648E+00
 5.0000E+08 1.5100E-06 1.6791E+00
 6.0000E+08 1.2580E-06 1.7027E+00
 7.0000E+08 1.0778E-06 1.7205E+00
 8.0000E+08 9.4270E-07 1.7343E+00
 9.0000E+08 8.3777E-07 1.7454E+00
 1.0000E+09 7.5390E-07 1.7547E+00
 1.5000E+09 5.0240E-07 1.7854E+00
 2.0000E+09 3.7670E-07 1.8014E+00
 3.0000E+09 2.5110E-07 1.8197E+00
 4.0000E+09 1.8830E-07 1.8291E+00
 5.0000E+09 1.5060E-07 1.8359E+00
 6.0000E+09 1.2550E-07 1.8395E+00
 8.0000E+09 9.4130E-08 1.8453E+00
 1.0000E+10 7.5300E-08 1.8488E+00
 1.5000E+10 5.0200E-08 1.8545E+00
 2.0000E+10 3.7650E-08 1.8569E+00
 3.0000E+10 2.5100E-08 1.8592E+00
 4.0000E+10 1.8820E-08 1.8615E+00
 5.0000E+10 1.5060E-08 1.8626E+00
 6.0000E+10 1.2550E-08 1.8627E+00
 8.0000E+10 9.4110E-09 1.8638E+00
 1.0000E+11 7.5290E-09 1.8639E+00
