 16
 1.0000E+03 1.2920E+05
 1.2500E+03 7.1664E+04
 1.5000E+03 4.4270E+04
 1.7500E+03 2.9223E+04
 2.0000E+03 2.0380E+04
 2.4720E+03 1.1430E+04
 2.4720E+03 1.1010E+05
 2.5000E+03 1.0743E+05
 3.0000E+03 7.1170E+04
 3.5000E+03 4.8124E+04
 4.0000E+03 3.3660E+04
 4.5000E+03 2.4554E+04
 5.0000E+03 1.8490E+04
 6.0000E+03 1.1200E+04
 7.0000E+03 7.2772E+03
 8.0000E+03 4.9860E+03
 9.0000E+03 3.5590E+03
 1.0000E+04 2.6250E+03
 1.2500E+04 1.3666E+03
 1.5000E+04 7.9580E+02
 1.7500E+04 5.0140E+02
 2.0000E+04 3.3490E+02
 2.5000E+04 1.6945E+02
 3.0000E+04 9.6570E+01
 3.5000E+04 5.9825E+01
 4.0000E+04 3.9420E+01
 4.5000E+04 2.7237E+01
 5.0000E+04 1.9540E+01
 6.0000E+04 1.0970E+01
 7.0000E+04 6.7239E+00
 8.0000E+04 4.3960E+00
 9.0000E+04 3.0193E+00
 1.0000E+05 2.1570E+00
 1.2500E+05 1.0589E+00
 1.5000E+05 5.9340E-01
 1.7500E+05 3.6469E-01
 2.0000E+05 2.4000E-01
 2.5000E+05 1.2049E-01
 3.0000E+05 6.9540E-02
 3.5000E+05 4.4225E-02
 4.0000E+05 3.0200E-02
 4.5000E+05 2.1778E-02
 5.0000E+05 1.6410E-02
 6.0000E+05 1.0270E-02
 7.0000E+05 7.0168E-03
 8.0000E+05 5.2060E-03
 9.0000E+05 4.1132E-03
 1.0000E+06 3.2360E-03
 1.0220E+06 3.0570E-03 1.0000E-35
 1.2500E+06 2.0710E-03 2.1880E-03
 1.5000E+06 1.4990E-03 1.1770E-02
 1.7500E+06 1.1542E-03 2.7143E-02
 2.0000E+06 9.3260E-04 4.6140E-02
 2.0440E+06 9.0150E-04 4.9730E-02
 2.5000E+06 6.6560E-04 8.8430E-02
 3.0000E+06 5.1330E-04 1.3135E-01
 3.5000E+06 4.1605E-04 1.7331E-01
 4.0000E+06 3.4900E-04 2.1344E-01
 4.5000E+06 3.0015E-04 2.5131E-01
 5.0000E+06 2.6300E-04 2.8715E-01
 6.0000E+06 2.1040E-04 3.5367E-01
 7.0000E+06 1.7520E-04 4.1317E-01
 8.0000E+06 1.4990E-04 4.6690E-01
 9.0000E+06 1.3100E-04 5.1571E-01
 1.0000E+07 1.1620E-04 5.6010E-01
 1.1000E+07 1.0450E-04 6.0046E-01
 1.2000E+07 9.4830E-05 6.3758E-01
 1.3000E+07 8.6820E-05 6.7209E-01
 1.4000E+07 8.0050E-05 7.0410E-01
 1.5000E+07 7.4260E-05 7.3410E-01
 1.6000E+07 6.9250E-05 7.6231E-01
 1.8000E+07 6.1000E-05 8.1398E-01
 2.0000E+07 5.4500E-05 8.6016E-01
 2.2000E+07 4.9250E-05 9.0209E-01
 2.4000E+07 4.4930E-05 9.4021E-01
 2.6000E+07 4.1290E-05 9.7513E-01
 2.8000E+07 3.8210E-05 1.0073E+00
 3.0000E+07 3.5550E-05 1.0371E+00
 3.5000E+07 3.0280E-05 1.1037E+00
 4.0000E+07 2.6370E-05 1.1606E+00
 4.5000E+07 2.3350E-05 1.2095E+00
 5.0000E+07 2.0950E-05 1.2524E+00
 6.0000E+07 1.7380E-05 1.3249E+00
 7.0000E+07 1.4847E-05 1.3835E+00
 8.0000E+07 1.2960E-05 1.4322E+00
 9.0000E+07 1.1503E-05 1.4736E+00
 1.0000E+08 1.0340E-05 1.5094E+00
 1.2500E+08 8.2485E-06 1.5816E+00
 1.5000E+08 6.8590E-06 1.6360E+00
 1.7500E+08 5.8715E-06 1.6784E+00
 2.0000E+08 5.1330E-06 1.7128E+00
 2.5000E+08 4.1007E-06 1.7659E+00
 3.0000E+08 3.4140E-06 1.8053E+00
 3.5000E+08 2.9246E-06 1.8356E+00
 4.0000E+08 2.5580E-06 1.8596E+00
 4.5000E+08 2.2730E-06 1.8789E+00
 5.0000E+08 2.0450E-06 1.8953E+00
 6.0000E+08 1.7030E-06 1.9220E+00
 7.0000E+08 1.4595E-06 1.9417E+00
 8.0000E+08 1.2770E-06 1.9568E+00
 9.0000E+08 1.1348E-06 1.9691E+00
 1.0000E+09 1.0210E-06 1.9793E+00
 1.5000E+09 6.8030E-07 2.0131E+00
 2.0000E+09 5.1010E-07 2.0323E+00
 3.0000E+09 3.4000E-07 2.0517E+00
 4.0000E+09 2.5500E-07 2.0631E+00
 5.0000E+09 2.0400E-07 2.0699E+00
 6.0000E+09 1.7000E-07 2.0745E+00
 8.0000E+09 1.2750E-07 2.0813E+00
 1.0000E+10 1.0200E-07 2.0849E+00
 1.5000E+10 6.7980E-08 2.0906E+00
 2.0000E+10 5.0980E-08 2.0930E+00
 3.0000E+10 3.3990E-08 2.0964E+00
 4.0000E+10 2.5490E-08 2.0986E+00
 5.0000E+10 2.0390E-08 2.0998E+00
 6.0000E+10 1.6990E-08 2.0999E+00
 8.0000E+10 1.2740E-08 2.1010E+00
 1.0000E+11 1.0200E-08 2.1011E+00
