 19
 1.0000E+03 2.6320E+05
 1.2500E+03 1.4747E+05
 1.5000E+03 9.1860E+04
 1.7500E+03 6.0875E+04
 2.0000E+03 4.2620E+04
 2.5000E+03 2.3201E+04
 3.0000E+03 1.4120E+04
 3.5000E+03 9.2193E+03
 3.6074E+03 8.4800E+03
 3.6074E+03 7.7820E+04
 4.0000E+03 5.9960E+04
 4.5000E+03 4.4258E+04
 5.0000E+03 3.3580E+04
 6.0000E+03 2.0710E+04
 7.0000E+03 1.3655E+04
 8.0000E+03 9.4630E+03
 9.0000E+03 6.8206E+03
 1.0000E+04 5.0730E+03
 1.2500E+04 2.6848E+03
 1.5000E+04 1.5830E+03
 1.7500E+04 1.0076E+03
 2.0000E+04 6.7870E+02
 2.5000E+04 3.4785E+02
 3.0000E+04 2.0020E+02
 3.5000E+04 1.2504E+02
 4.0000E+04 8.2940E+01
 4.5000E+04 5.7622E+01
 5.0000E+04 4.1540E+01
 6.0000E+04 2.3520E+01
 7.0000E+04 1.4506E+01
 8.0000E+04 9.5310E+00
 9.0000E+04 6.5753E+00
 1.0000E+05 4.7160E+00
 1.2500E+05 2.3332E+00
 1.5000E+05 1.3150E+00
 1.7500E+05 8.1164E-01
 2.0000E+05 5.3600E-01
 2.5000E+05 2.7061E-01
 3.0000E+05 1.5680E-01
 3.5000E+05 9.9999E-02
 4.0000E+05 6.8440E-02
 4.5000E+05 4.9450E-02
 5.0000E+05 3.7310E-02
 6.0000E+05 2.3380E-02
 7.0000E+05 1.6008E-02
 8.0000E+05 1.1870E-02
 9.0000E+05 9.3500E-03
 1.0000E+06 7.3810E-03
 1.0220E+06 6.9870E-03 1.0000E-35
 1.2500E+06 4.7310E-03 3.1850E-03
 1.5000E+06 3.4190E-03 1.6890E-02
 1.7500E+06 2.6286E-03 3.8767E-02
 2.0000E+06 2.1210E-03 6.5770E-02
 2.0440E+06 2.0500E-03 7.0860E-02
 2.5000E+06 1.5104E-03 1.2550E-01
 3.0000E+06 1.1620E-03 1.8577E-01
 3.5000E+06 9.4026E-04 2.4461E-01
 4.0000E+06 7.8770E-04 3.0083E-01
 4.5000E+06 6.7662E-04 3.5380E-01
 5.0000E+06 5.9230E-04 4.0384E-01
 6.0000E+06 4.7320E-04 4.9648E-01
 7.0000E+06 3.9350E-04 5.7921E-01
 8.0000E+06 3.3640E-04 6.5394E-01
 9.0000E+06 2.9370E-04 7.2174E-01
 1.0000E+07 2.6050E-04 7.8339E-01
 1.1000E+07 2.3400E-04 8.3949E-01
 1.2000E+07 2.1230E-04 8.9093E-01
 1.3000E+07 1.9430E-04 9.3872E-01
 1.4000E+07 1.7910E-04 9.8310E-01
 1.5000E+07 1.6610E-04 1.0247E+00
 1.6000E+07 1.5480E-04 1.0639E+00
 1.8000E+07 1.3630E-04 1.1349E+00
 2.0000E+07 1.2180E-04 1.1995E+00
 2.2000E+07 1.1000E-04 1.2569E+00
 2.4000E+07 1.0030E-04 1.3100E+00
 2.6000E+07 9.2210E-05 1.3578E+00
 2.8000E+07 8.5290E-05 1.4025E+00
 3.0000E+07 7.9340E-05 1.4430E+00
 3.5000E+07 6.7558E-05 1.5337E+00
 4.0000E+07 5.8820E-05 1.6124E+00
 4.5000E+07 5.2083E-05 1.6802E+00
 5.0000E+07 4.6730E-05 1.7393E+00
 6.0000E+07 3.8760E-05 1.8378E+00
 7.0000E+07 3.3113E-05 1.9177E+00
 8.0000E+07 2.8900E-05 1.9846E+00
 9.0000E+07 2.5634E-05 2.0416E+00
 1.0000E+08 2.3030E-05 2.0909E+00
 1.2500E+08 1.8371E-05 2.1891E+00
 1.5000E+08 1.5280E-05 2.2632E+00
 1.7500E+08 1.3077E-05 2.3216E+00
 2.0000E+08 1.1430E-05 2.3691E+00
 2.5000E+08 9.1327E-06 2.4416E+00
 3.0000E+08 7.6050E-06 2.4951E+00
 3.5000E+08 6.5144E-06 2.5365E+00
 4.0000E+08 5.6970E-06 2.5691E+00
 4.5000E+08 5.0618E-06 2.5953E+00
 5.0000E+08 4.5540E-06 2.6174E+00
 6.0000E+08 3.7930E-06 2.6535E+00
 7.0000E+08 3.2499E-06 2.6802E+00
 8.0000E+08 2.8430E-06 2.7009E+00
 9.0000E+08 2.5269E-06 2.7178E+00
 1.0000E+09 2.2740E-06 2.7318E+00
 1.5000E+09 1.5150E-06 2.7773E+00
 2.0000E+09 1.1360E-06 2.8029E+00
 3.0000E+09 7.5720E-07 2.8297E+00
 4.0000E+09 5.6790E-07 2.8444E+00
 5.0000E+09 4.5420E-07 2.8534E+00
 6.0000E+09 3.7850E-07 2.8601E+00
 8.0000E+09 2.8390E-07 2.8691E+00
 1.0000E+10 2.2710E-07 2.8747E+00
 1.5000E+10 1.5140E-07 2.8816E+00
 2.0000E+10 1.1350E-07 2.8861E+00
 3.0000E+10 7.5690E-08 2.8906E+00
 4.0000E+10 5.6770E-08 2.8929E+00
 5.0000E+10 4.5410E-08 2.8941E+00
 6.0000E+10 3.7840E-08 2.8952E+00
 8.0000E+10 2.8380E-08 2.8963E+00
 1.0000E+11 2.2710E-08 2.8964E+00
