 21
 1.0000E+03 3.9070E+05
 1.2500E+03 2.2072E+05
 1.5000E+03 1.3840E+05
 1.7500E+03 9.2138E+04
 2.0000E+03 6.4760E+04
 2.5000E+03 3.5417E+04
 3.0000E+03 2.1630E+04
 3.5000E+03 1.4144E+04
 4.0000E+03 9.7900E+03
 4.4928E+03 7.0880E+03
 4.4928E+03 6.0680E+04
 4.5000E+03 6.0451E+04
 5.0000E+03 4.6940E+04
 6.0000E+03 2.9250E+04
 7.0000E+03 1.9410E+04
 8.0000E+03 1.3560E+04
 9.0000E+03 9.8373E+03
 1.0000E+04 7.3560E+03
 1.2500E+04 3.9364E+03
 1.5000E+04 2.3400E+03
 1.7500E+04 1.4982E+03
 2.0000E+04 1.0140E+03
 2.5000E+04 5.2412E+02
 3.0000E+04 3.0370E+02
 3.5000E+04 1.9066E+02
 4.0000E+04 1.2700E+02
 4.5000E+04 8.8546E+01
 5.0000E+04 6.4030E+01
 6.0000E+04 3.6430E+01
 7.0000E+04 2.2547E+01
 8.0000E+04 1.4860E+01
 9.0000E+04 1.0283E+01
 1.0000E+05 7.3950E+00
 1.2500E+05 3.6762E+00
 1.5000E+05 2.0790E+00
 1.7500E+05 1.2870E+00
 2.0000E+05 8.5210E-01
 2.5000E+05 4.3179E-01
 3.0000E+05 2.5080E-01
 3.5000E+05 1.6021E-01
 4.0000E+05 1.0980E-01
 4.5000E+05 7.9436E-02
 5.0000E+05 6.0000E-02
 6.0000E+05 3.7650E-02
 7.0000E+05 2.5799E-02
 8.0000E+05 1.9130E-02
 9.0000E+05 1.5061E-02
 1.0000E+06 1.1900E-02
 1.0220E+06 1.1270E-02 1.0000E-35
 1.2500E+06 7.6290E-03 3.9830E-03
 1.5000E+06 5.5110E-03 2.0830E-02
 1.7500E+06 4.2371E-03 4.7717E-02
 2.0000E+06 3.4130E-03 8.1070E-02
 2.0440E+06 3.2970E-03 8.7360E-02
 2.5000E+06 2.4236E-03 1.5439E-01
 3.0000E+06 1.8640E-03 2.2755E-01
 3.5000E+06 1.5068E-03 2.9903E-01
 4.0000E+06 1.2610E-03 3.6746E-01
 4.5000E+06 1.0825E-03 4.3183E-01
 5.0000E+06 9.4720E-04 4.9259E-01
 6.0000E+06 7.5610E-04 6.0498E-01
 7.0000E+06 6.2820E-04 7.0527E-01
 8.0000E+06 5.3680E-04 7.9584E-01
 9.0000E+06 4.6840E-04 8.7796E-01
 1.0000E+07 4.1530E-04 9.5252E-01
 1.1000E+07 3.7290E-04 1.0204E+00
 1.2000E+07 3.3830E-04 1.0825E+00
 1.3000E+07 3.0950E-04 1.1403E+00
 1.4000E+07 2.8530E-04 1.1939E+00
 1.5000E+07 2.6450E-04 1.2444E+00
 1.6000E+07 2.4650E-04 1.2918E+00
 1.8000E+07 2.1700E-04 1.3782E+00
 2.0000E+07 1.9380E-04 1.4552E+00
 2.2000E+07 1.7510E-04 1.5249E+00
 2.4000E+07 1.5960E-04 1.5883E+00
 2.6000E+07 1.4670E-04 1.6464E+00
 2.8000E+07 1.3560E-04 1.7003E+00
 3.0000E+07 1.2620E-04 1.7501E+00
 3.5000E+07 1.0747E-04 1.8600E+00
 4.0000E+07 9.3500E-05 1.9535E+00
 4.5000E+07 8.2768E-05 2.0343E+00
 5.0000E+07 7.4260E-05 2.1053E+00
 6.0000E+07 6.1590E-05 2.2243E+00
 7.0000E+07 5.2608E-05 2.3207E+00
 8.0000E+07 4.5910E-05 2.4011E+00
 9.0000E+07 4.0723E-05 2.4698E+00
 1.0000E+08 3.6590E-05 2.5291E+00
 1.2500E+08 2.9191E-05 2.6473E+00
 1.5000E+08 2.4280E-05 2.7366E+00
 1.7500E+08 2.0779E-05 2.8071E+00
 2.0000E+08 1.8160E-05 2.8643E+00
 2.5000E+08 1.4508E-05 2.9516E+00
 3.0000E+08 1.2080E-05 3.0151E+00
 3.5000E+08 1.0346E-05 3.0638E+00
 4.0000E+08 9.0470E-06 3.1028E+00
 4.5000E+08 8.0381E-06 3.1354E+00
 5.0000E+08 7.2320E-06 3.1625E+00
 6.0000E+08 6.0240E-06 3.2049E+00
 7.0000E+08 5.1615E-06 3.2373E+00
 8.0000E+08 4.5150E-06 3.2628E+00
 9.0000E+08 4.0127E-06 3.2832E+00
 1.0000E+09 3.6110E-06 3.3000E+00
 1.5000E+09 2.4060E-06 3.3550E+00
 2.0000E+09 1.8040E-06 3.3849E+00
 3.0000E+09 1.2020E-06 3.4170E+00
 4.0000E+09 9.0170E-07 3.4349E+00
 5.0000E+09 7.2130E-07 3.4470E+00
 6.0000E+09 6.0110E-07 3.4549E+00
 8.0000E+09 4.5080E-07 3.4650E+00
 1.0000E+10 3.6060E-07 3.4717E+00
 1.5000E+10 2.4040E-07 3.4806E+00
 2.0000E+10 1.8030E-07 3.4852E+00
 3.0000E+10 1.2020E-07 3.4907E+00
 4.0000E+10 9.0140E-08 3.4931E+00
 5.0000E+10 7.2110E-08 3.4953E+00
 6.0000E+10 6.0090E-08 3.4964E+00
 8.0000E+10 4.5070E-08 3.4975E+00
 1.0000E+11 3.6050E-08 3.4987E+00
