 23
 1.0000E+03 5.4910E+05
 1.2500E+03 3.1306E+05
 1.5000E+03 1.9780E+05
 1.7500E+03 1.3222E+05
 2.0000E+03 9.3280E+04
 2.5000E+03 5.1265E+04
 3.0000E+03 3.1430E+04
 3.5000E+03 2.0602E+04
 4.0000E+03 1.4290E+04
 4.5000E+03 1.0305E+04
 5.0000E+03 7.6930E+03
 5.4651E+03 6.0000E+03
 5.4651E+03 4.9500E+04
 6.0000E+03 3.9510E+04
 7.0000E+03 2.6624E+04
 8.0000E+03 1.8640E+04
 9.0000E+03 1.3580E+04
 1.0000E+04 1.0210E+04
 1.2500E+04 5.5222E+03
 1.5000E+04 3.3080E+03
 1.7500E+04 2.1312E+03
 2.0000E+04 1.4500E+03
 2.5000E+04 7.5573E+02
 3.0000E+04 4.4060E+02
 3.5000E+04 2.7788E+02
 4.0000E+04 1.8580E+02
 4.5000E+04 1.2998E+02
 5.0000E+04 9.4270E+01
 6.0000E+04 5.3900E+01
 7.0000E+04 3.3495E+01
 8.0000E+04 2.2150E+01
 9.0000E+04 1.5371E+01
 1.0000E+05 1.1080E+01
 1.2500E+05 5.5323E+00
 1.5000E+05 3.1390E+00
 1.7500E+05 1.9486E+00
 2.0000E+05 1.2930E+00
 2.5000E+05 6.5745E-01
 3.0000E+05 3.8290E-01
 3.5000E+05 2.4516E-01
 4.0000E+05 1.6830E-01
 4.5000E+05 1.2188E-01
 5.0000E+05 9.2110E-02
 6.0000E+05 5.7870E-02
 7.0000E+05 3.9722E-02
 8.0000E+05 2.9430E-02
 9.0000E+05 2.3103E-02
 1.0000E+06 1.8300E-02
 1.0220E+06 1.7360E-02 1.0000E-35
 1.2500E+06 1.1750E-02 4.9020E-03
 1.5000E+06 8.4790E-03 2.5350E-02
 1.7500E+06 6.5087E-03 5.7834E-02
 2.0000E+06 5.2410E-03 9.8040E-02
 2.0440E+06 5.0640E-03 1.0560E-01
 2.5000E+06 3.7209E-03 1.8604E-01
 3.0000E+06 2.8560E-03 2.7373E-01
 3.5000E+06 2.3068E-03 3.5929E-01
 4.0000E+06 1.9290E-03 4.4109E-01
 4.5000E+06 1.6539E-03 5.1793E-01
 5.0000E+06 1.4460E-03 5.9035E-01
 6.0000E+06 1.1540E-03 7.2419E-01
 7.0000E+06 9.5770E-04 8.4362E-01
 8.0000E+06 8.1800E-04 9.5133E-01
 9.0000E+06 7.1340E-04 1.0493E+00
 1.0000E+07 6.3230E-04 1.1378E+00
 1.1000E+07 5.6750E-04 1.2182E+00
 1.2000E+07 5.1480E-04 1.2924E+00
 1.3000E+07 4.7090E-04 1.3614E+00
 1.4000E+07 4.3390E-04 1.4253E+00
 1.5000E+07 4.0220E-04 1.4850E+00
 1.6000E+07 3.7480E-04 1.5406E+00
 1.8000E+07 3.2990E-04 1.6434E+00
 2.0000E+07 2.9450E-04 1.7348E+00
 2.2000E+07 2.6600E-04 1.8178E+00
 2.4000E+07 2.4250E-04 1.8935E+00
 2.6000E+07 2.2280E-04 1.9630E+00
 2.8000E+07 2.0600E-04 2.0262E+00
 3.0000E+07 1.9160E-04 2.0852E+00
 3.5000E+07 1.6313E-04 2.2151E+00
 4.0000E+07 1.4200E-04 2.3256E+00
 4.5000E+07 1.2567E-04 2.4218E+00
 5.0000E+07 1.1270E-04 2.5062E+00
 6.0000E+07 9.3460E-05 2.6469E+00
 7.0000E+07 7.9827E-05 2.7612E+00
 8.0000E+07 6.9660E-05 2.8566E+00
 9.0000E+07 6.1792E-05 2.9380E+00
 1.0000E+08 5.5520E-05 3.0082E+00
 1.2500E+08 4.4276E-05 3.1478E+00
 1.5000E+08 3.6820E-05 3.2528E+00
 1.7500E+08 3.1517E-05 3.3354E+00
 2.0000E+08 2.7550E-05 3.4022E+00
 2.5000E+08 2.2008E-05 3.5039E+00
 3.0000E+08 1.8320E-05 3.5788E+00
 3.5000E+08 1.5689E-05 3.6369E+00
 4.0000E+08 1.3720E-05 3.6829E+00
 4.5000E+08 1.2192E-05 3.7200E+00
 5.0000E+08 1.0970E-05 3.7509E+00
 6.0000E+08 9.1360E-06 3.8005E+00
 7.0000E+08 7.8281E-06 3.8376E+00
 8.0000E+08 6.8480E-06 3.8666E+00
 9.0000E+08 6.0857E-06 3.8903E+00
 1.0000E+09 5.4760E-06 3.9101E+00
 1.5000E+09 3.6490E-06 3.9733E+00
 2.0000E+09 2.7360E-06 4.0072E+00
 3.0000E+09 1.8240E-06 4.0455E+00
 4.0000E+09 1.3670E-06 4.0655E+00
 5.0000E+09 1.0940E-06 4.0787E+00
 6.0000E+09 9.1150E-07 4.0875E+00
 8.0000E+09 6.8360E-07 4.0986E+00
 1.0000E+10 5.4690E-07 4.1063E+00
 1.5000E+10 3.6460E-07 4.1163E+00
 2.0000E+10 2.7340E-07 4.1219E+00
 3.0000E+10 1.8230E-07 4.1285E+00
 4.0000E+10 1.3670E-07 4.1308E+00
 5.0000E+10 1.0940E-07 4.1330E+00
 6.0000E+10 9.1130E-08 4.1341E+00
 8.0000E+10 6.8350E-08 4.1363E+00
 1.0000E+11 5.4680E-08 4.1374E+00
