 27
 1.0000E+03 9.5810E+05
 1.2500E+03 5.6021E+05
 1.5000E+03 3.6130E+05
 1.7500E+03 2.4405E+05
 2.0000E+03 1.7370E+05
 2.5000E+03 9.6437E+04
 3.0000E+03 5.9630E+04
 3.5000E+03 3.9304E+04
 4.0000E+03 2.7400E+04
 4.5000E+03 1.9825E+04
 5.0000E+03 1.4850E+04
 6.0000E+03 8.9530E+03
 7.0000E+03 5.8142E+03
 7.7089E+03 4.4380E+03
 7.7089E+03 3.4620E+04
 8.0000E+03 3.1620E+04
 9.0000E+03 2.3518E+04
 1.0000E+04 1.7890E+04
 1.2500E+04 9.8557E+03
 1.5000E+04 5.9820E+03
 1.7500E+04 3.8988E+03
 2.0000E+04 2.6790E+03
 2.5000E+04 1.4173E+03
 3.0000E+04 8.3550E+02
 3.5000E+04 5.3172E+02
 4.0000E+04 3.5830E+02
 4.5000E+04 2.5237E+02
 5.0000E+04 1.8410E+02
 6.0000E+04 1.0620E+02
 7.0000E+04 6.6490E+01
 8.0000E+04 4.4240E+01
 9.0000E+04 3.0850E+01
 1.0000E+05 2.2330E+01
 1.2500E+05 1.1249E+01
 1.5000E+05 6.4270E+00
 1.7500E+05 4.0110E+00
 2.0000E+05 2.6730E+00
 2.5000E+05 1.3683E+00
 3.0000E+05 8.0090E-01
 3.5000E+05 5.1472E-01
 4.0000E+05 3.5440E-01
 4.5000E+05 2.5727E-01
 5.0000E+05 1.9480E-01
 6.0000E+05 1.2270E-01
 7.0000E+05 8.4365E-02
 8.0000E+05 6.2520E-02
 9.0000E+05 4.9039E-02
 1.0000E+06 3.8900E-02
 1.0220E+06 3.6930E-02 1.0000E-35
 1.2500E+06 2.4970E-02 7.1300E-03
 1.5000E+06 1.8000E-02 3.6130E-02
 1.7500E+06 1.3778E-02 8.1403E-02
 2.0000E+06 1.1090E-02 1.3690E-01
 2.0440E+06 1.0720E-02 1.4730E-01
 2.5000E+06 7.8707E-03 2.5840E-01
 3.0000E+06 6.0160E-03 3.7989E-01
 3.5000E+06 4.8477E-03 4.9729E-01
 4.0000E+06 4.0490E-03 6.0875E-01
 4.5000E+06 3.4683E-03 7.1349E-01
 5.0000E+06 3.0290E-03 8.1226E-01
 6.0000E+06 2.4120E-03 9.9430E-01
 7.0000E+06 2.0000E-03 1.1563E+00
 8.0000E+06 1.7060E-03 1.3029E+00
 9.0000E+06 1.4870E-03 1.4353E+00
 1.0000E+07 1.3170E-03 1.5555E+00
 1.1000E+07 1.1810E-03 1.6654E+00
 1.2000E+07 1.0710E-03 1.7652E+00
 1.3000E+07 9.7910E-04 1.8577E+00
 1.4000E+07 9.0170E-04 1.9451E+00
 1.5000E+07 8.3570E-04 2.0252E+00
 1.6000E+07 7.7850E-04 2.1013E+00
 1.8000E+07 6.8480E-04 2.2409E+00
 2.0000E+07 6.1120E-04 2.3650E+00
 2.2000E+07 5.5180E-04 2.4777E+00
 2.4000E+07 5.0290E-04 2.5801E+00
 2.6000E+07 4.6190E-04 2.6741E+00
 2.8000E+07 4.2710E-04 2.7598E+00
 3.0000E+07 3.9710E-04 2.8393E+00
 3.5000E+07 3.3783E-04 3.0143E+00
 4.0000E+07 2.9400E-04 3.1628E+00
 4.5000E+07 2.6022E-04 3.2916E+00
 5.0000E+07 2.3340E-04 3.4049E+00
 6.0000E+07 1.9350E-04 3.5958E+00
 7.0000E+07 1.6520E-04 3.7506E+00
 8.0000E+07 1.4410E-04 3.8793E+00
 9.0000E+07 1.2779E-04 3.9883E+00
 1.0000E+08 1.1480E-04 4.0822E+00
 1.2500E+08 9.1566E-05 4.2690E+00
 1.5000E+08 7.6160E-05 4.4088E+00
 1.7500E+08 6.5185E-05 4.5177E+00
 2.0000E+08 5.6970E-05 4.6054E+00
 2.5000E+08 4.5496E-05 4.7389E+00
 3.0000E+08 3.7870E-05 4.8364E+00
 3.5000E+08 3.2438E-05 4.9111E+00
 4.0000E+08 2.8370E-05 4.9703E+00
 4.5000E+08 2.5208E-05 5.0184E+00
 5.0000E+08 2.2680E-05 5.0587E+00
 6.0000E+08 1.8890E-05 5.1227E+00
 7.0000E+08 1.6187E-05 5.1702E+00
 8.0000E+08 1.4160E-05 5.2072E+00
 9.0000E+08 1.2582E-05 5.2371E+00
 1.0000E+09 1.1320E-05 5.2620E+00
 1.5000E+09 7.5420E-06 5.3425E+00
 2.0000E+09 5.6550E-06 5.3857E+00
 3.0000E+09 3.7690E-06 5.4331E+00
 4.0000E+09 2.8260E-06 5.4592E+00
 5.0000E+09 2.2610E-06 5.4754E+00
 6.0000E+09 1.8840E-06 5.4863E+00
 8.0000E+09 1.4130E-06 5.5015E+00
 1.0000E+10 1.1300E-06 5.5112E+00
 1.5000E+10 7.5350E-07 5.5233E+00
 2.0000E+10 5.6510E-07 5.5308E+00
 3.0000E+10 3.7670E-07 5.5374E+00
 4.0000E+10 2.8250E-07 5.5418E+00
 5.0000E+10 2.2600E-07 5.5440E+00
 6.0000E+10 1.8840E-07 5.5461E+00
 8.0000E+10 1.4130E-07 5.5483E+00
 1.0000E+11 1.1300E-07 5.5494E+00
