 28
 1.0000E+03 9.6000E+05
 1.0040E+03 9.5009E+05
 1.0081E+03 9.4060E+05
 1.0081E+03 1.0710E+06
 1.2500E+03 6.3872E+05
 1.5000E+03 4.1220E+05
 1.7500E+03 2.7923E+05
 2.0000E+03 1.9920E+05
 2.5000E+03 1.1095E+05
 3.0000E+03 6.8770E+04
 3.5000E+03 4.5378E+04
 4.0000E+03 3.1660E+04
 4.5000E+03 2.2936E+04
 5.0000E+03 1.7190E+04
 6.0000E+03 1.0380E+04
 7.0000E+03 6.7455E+03
 8.0000E+03 4.6430E+03
 8.3328E+03 4.1390E+03
 8.3328E+03 3.1920E+04
 9.0000E+03 2.6369E+04
 1.0000E+04 2.0220E+04
 1.2500E+04 1.1210E+04
 1.5000E+04 6.8070E+03
 1.7500E+04 4.4503E+03
 2.0000E+04 3.0690E+03
 2.5000E+04 1.6301E+03
 3.0000E+04 9.6320E+02
 3.5000E+04 6.1436E+02
 4.0000E+04 4.1480E+02
 4.5000E+04 2.9262E+02
 5.0000E+04 2.1370E+02
 6.0000E+04 1.2350E+02
 7.0000E+04 7.7487E+01
 8.0000E+04 5.1650E+01
 9.0000E+04 3.6056E+01
 1.0000E+05 2.6120E+01
 1.2500E+05 1.3187E+01
 1.5000E+05 7.5490E+00
 1.7500E+05 4.7175E+00
 2.0000E+05 3.1470E+00
 2.5000E+05 1.6135E+00
 3.0000E+05 9.4550E-01
 3.5000E+05 6.0817E-01
 4.0000E+05 4.1900E-01
 4.5000E+05 3.0430E-01
 5.0000E+05 2.3050E-01
 6.0000E+05 1.4530E-01
 7.0000E+05 9.9984E-02
 8.0000E+05 7.4100E-02
 9.0000E+05 5.8089E-02
 1.0000E+06 4.6100E-02
 1.0220E+06 4.3780E-02 1.0000E-35
 1.2500E+06 2.9600E-02 7.7770E-03
 1.5000E+06 2.1330E-02 3.9210E-02
 1.7500E+06 1.6355E-02 8.8201E-02
 2.0000E+06 1.3140E-02 1.4790E-01
 2.0440E+06 1.2690E-02 1.5900E-01
 2.5000E+06 9.2922E-03 2.7813E-01
 3.0000E+06 7.1150E-03 4.0933E-01
 3.5000E+06 5.7329E-03 5.3562E-01
 4.0000E+06 4.7850E-03 6.5511E-01
 4.5000E+06 4.0977E-03 7.6749E-01
 5.0000E+06 3.5780E-03 8.7339E-01
 6.0000E+06 2.8470E-03 1.0681E+00
 7.0000E+06 2.3600E-03 1.2420E+00
 8.0000E+06 2.0130E-03 1.3988E+00
 9.0000E+06 1.7540E-03 1.5413E+00
 1.0000E+07 1.5530E-03 1.6696E+00
 1.1000E+07 1.3930E-03 1.7877E+00
 1.2000E+07 1.2630E-03 1.8946E+00
 1.3000E+07 1.1540E-03 1.9943E+00
 1.4000E+07 1.0630E-03 2.0868E+00
 1.5000E+07 9.8510E-04 2.1740E+00
 1.6000E+07 9.1770E-04 2.2552E+00
 1.8000E+07 8.0720E-04 2.4040E+00
 2.0000E+07 7.2030E-04 2.5363E+00
 2.2000E+07 6.5020E-04 2.6572E+00
 2.4000E+07 5.9250E-04 2.7667E+00
 2.6000E+07 5.4420E-04 2.8668E+00
 2.8000E+07 5.0320E-04 2.9587E+00
 3.0000E+07 4.6790E-04 3.0433E+00
 3.5000E+07 3.9802E-04 3.2306E+00
 4.0000E+07 3.4630E-04 3.3903E+00
 4.5000E+07 3.0651E-04 3.5285E+00
 5.0000E+07 2.7490E-04 3.6498E+00
 6.0000E+07 2.2780E-04 3.8540E+00
 7.0000E+07 1.9450E-04 4.0195E+00
 8.0000E+07 1.6970E-04 4.1569E+00
 9.0000E+07 1.5050E-04 4.2737E+00
 1.0000E+08 1.3520E-04 4.3741E+00
 1.2500E+08 1.0783E-04 4.5735E+00
 1.5000E+08 8.9680E-05 4.7222E+00
 1.7500E+08 7.6753E-05 4.8378E+00
 2.0000E+08 6.7080E-05 4.9310E+00
 2.5000E+08 5.3579E-05 5.0730E+00
 3.0000E+08 4.4600E-05 5.1764E+00
 3.5000E+08 3.8196E-05 5.2551E+00
 4.0000E+08 3.3400E-05 5.3174E+00
 4.5000E+08 2.9676E-05 5.3684E+00
 5.0000E+08 2.6700E-05 5.4110E+00
 6.0000E+08 2.2240E-05 5.4781E+00
 7.0000E+08 1.9057E-05 5.5277E+00
 8.0000E+08 1.6670E-05 5.5667E+00
 9.0000E+08 1.4814E-05 5.5988E+00
 1.0000E+09 1.3330E-05 5.6255E+00
 1.5000E+09 8.8800E-06 5.7091E+00
 2.0000E+09 6.6580E-06 5.7553E+00
 3.0000E+09 4.4380E-06 5.8048E+00
 4.0000E+09 3.3280E-06 5.8319E+00
 5.0000E+09 2.6620E-06 5.8491E+00
 6.0000E+09 2.2180E-06 5.8610E+00
 8.0000E+09 1.6640E-06 5.8762E+00
 1.0000E+10 1.3310E-06 5.8860E+00
 1.5000E+10 8.8720E-07 5.8990E+00
 2.0000E+10 6.6540E-07 5.9066E+00
 3.0000E+10 4.4360E-07 5.9142E+00
 4.0000E+10 3.3270E-07 5.9185E+00
 5.0000E+10 2.6610E-07 5.9208E+00
 6.0000E+10 2.2180E-07 5.9219E+00
 8.0000E+10 1.6630E-07 5.9250E+00
 1.0000E+11 1.3310E-07 5.9262E+00
