 29
 1.0000E+03 1.1150E+06
 1.0469E+03 9.8437E+05
 1.0961E+03 8.6950E+05
 1.0961E+03 9.8560E+05
 1.2500E+03 7.2008E+05
 1.5000E+03 4.6570E+05
 1.7500E+03 3.1672E+05
 2.0000E+03 2.2680E+05
 2.5000E+03 1.2657E+05
 3.0000E+03 7.8600E+04
 3.5000E+03 5.1949E+04
 4.0000E+03 3.6290E+04
 4.5000E+03 2.6307E+04
 5.0000E+03 1.9730E+04
 6.0000E+03 1.1930E+04
 7.0000E+03 7.7537E+03
 8.0000E+03 5.3410E+03
 8.9789E+03 3.8590E+03
 8.9789E+03 2.9190E+04
 9.0000E+03 2.9031E+04
 1.0000E+04 2.2630E+04
 1.2500E+04 1.2711E+04
 1.5000E+04 7.7110E+03
 1.7500E+04 5.0486E+03
 2.0000E+04 3.4910E+03
 2.5000E+04 1.8616E+03
 3.0000E+04 1.1030E+03
 3.5000E+04 7.0519E+02
 4.0000E+04 4.7700E+02
 4.5000E+04 3.3695E+02
 5.0000E+04 2.4640E+02
 6.0000E+04 1.4280E+02
 7.0000E+04 8.9740E+01
 8.0000E+04 5.9890E+01
 9.0000E+04 4.1868E+01
 1.0000E+05 3.0370E+01
 1.2500E+05 1.5363E+01
 1.5000E+05 8.8060E+00
 1.7500E+05 5.5100E+00
 2.0000E+05 3.6800E+00
 2.5000E+05 1.8902E+00
 3.0000E+05 1.1090E+00
 3.5000E+05 7.1388E-01
 4.0000E+05 4.9210E-01
 4.5000E+05 3.5757E-01
 5.0000E+05 2.7100E-01
 6.0000E+05 1.7100E-01
 7.0000E+05 1.1770E-01
 8.0000E+05 8.7210E-02
 9.0000E+05 6.8351E-02
 1.0000E+06 5.4270E-02
 1.0220E+06 5.1550E-02 1.0000E-35
 1.2500E+06 3.4850E-02 8.4630E-03
 1.5000E+06 2.5110E-02 4.2460E-02
 1.7500E+06 1.9242E-02 9.5256E-02
 2.0000E+06 1.5450E-02 1.5940E-01
 2.0440E+06 1.4920E-02 1.7130E-01
 2.5000E+06 1.0920E-02 2.9910E-01
 3.0000E+06 8.3590E-03 4.3997E-01
 3.5000E+06 6.7334E-03 5.7527E-01
 4.0000E+06 5.6180E-03 7.0308E-01
 4.5000E+06 4.8090E-03 8.2330E-01
 5.0000E+06 4.1980E-03 9.3671E-01
 6.0000E+06 3.3400E-03 1.1456E+00
 7.0000E+06 2.7670E-03 1.3317E+00
 8.0000E+06 2.3600E-03 1.4986E+00
 9.0000E+06 2.0550E-03 1.6503E+00
 1.0000E+07 1.8200E-03 1.7888E+00
 1.1000E+07 1.6320E-03 1.9130E+00
 1.2000E+07 1.4790E-03 2.0281E+00
 1.3000E+07 1.3520E-03 2.1348E+00
 1.4000E+07 1.2450E-03 2.2344E+00
 1.5000E+07 1.1540E-03 2.3269E+00
 1.6000E+07 1.0750E-03 2.4131E+00
 1.8000E+07 9.4510E-04 2.5721E+00
 2.0000E+07 8.4330E-04 2.7136E+00
 2.2000E+07 7.6120E-04 2.8427E+00
 2.4000E+07 6.9360E-04 2.9593E+00
 2.6000E+07 6.3710E-04 3.0666E+00
 2.8000E+07 5.8900E-04 3.1646E+00
 3.0000E+07 5.4770E-04 3.2553E+00
 3.5000E+07 4.6592E-04 3.4554E+00
 4.0000E+07 4.0530E-04 3.6258E+00
 4.5000E+07 3.5862E-04 3.7738E+00
 5.0000E+07 3.2160E-04 3.9037E+00
 6.0000E+07 2.6660E-04 4.1211E+00
 7.0000E+07 2.2765E-04 4.2975E+00
 8.0000E+07 1.9860E-04 4.4445E+00
 9.0000E+07 1.7611E-04 4.5691E+00
 1.0000E+08 1.5820E-04 4.6760E+00
 1.2500E+08 1.2614E-04 4.8871E+00
 1.5000E+08 1.0490E-04 5.0445E+00
 1.7500E+08 8.9781E-05 5.1676E+00
 2.0000E+08 7.8470E-05 5.2666E+00
 2.5000E+08 6.2675E-05 5.4165E+00
 3.0000E+08 5.2170E-05 5.5252E+00
 3.5000E+08 4.4679E-05 5.6083E+00
 4.0000E+08 3.9070E-05 5.6743E+00
 4.5000E+08 3.4713E-05 5.7281E+00
 5.0000E+08 3.1230E-05 5.7729E+00
 6.0000E+08 2.6010E-05 5.8430E+00
 7.0000E+08 2.2290E-05 5.8954E+00
 8.0000E+08 1.9500E-05 5.9366E+00
 9.0000E+08 1.7327E-05 5.9704E+00
 1.0000E+09 1.5590E-05 5.9984E+00
 1.5000E+09 1.0390E-05 6.0859E+00
 2.0000E+09 7.7880E-06 6.1341E+00
 3.0000E+09 5.1910E-06 6.1865E+00
 4.0000E+09 3.8930E-06 6.2146E+00
 5.0000E+09 3.1140E-06 6.2318E+00
 6.0000E+09 2.5950E-06 6.2447E+00
 8.0000E+09 1.9460E-06 6.2608E+00
 1.0000E+10 1.5570E-06 6.2706E+00
 1.5000E+10 1.0380E-06 6.2846E+00
 2.0000E+10 7.7830E-07 6.2921E+00
 3.0000E+10 5.1880E-07 6.3007E+00
 4.0000E+10 3.8910E-07 6.3050E+00
 5.0000E+10 3.1130E-07 6.3073E+00
 6.0000E+10 2.5940E-07 6.3084E+00
 8.0000E+10 1.9460E-07 6.3115E+00
 1.0000E+11 1.5560E-07 6.3127E+00
