 30
 1.0000E+03 1.6810E+05
 1.0098E+03 1.6426E+05
 1.0197E+03 1.6060E+05
 1.0197E+03 3.8230E+05
 1.0312E+03 5.1935E+05
 1.0428E+03 7.0450E+05
 1.0428E+03 8.9400E+05
 1.1157E+03 8.4559E+05
 1.1936E+03 8.0000E+05
 1.1936E+03 9.1110E+05
 1.2500E+03 8.1450E+05
 1.5000E+03 5.2330E+05
 1.7500E+03 3.5775E+05
 2.0000E+03 2.5730E+05
 2.5000E+03 1.4417E+05
 3.0000E+03 8.9800E+04
 3.5000E+03 5.9449E+04
 4.0000E+03 4.1590E+04
 4.5000E+03 3.0182E+04
 5.0000E+03 2.2660E+04
 6.0000E+03 1.3720E+04
 7.0000E+03 8.9280E+03
 8.0000E+03 6.1550E+03
 9.0000E+03 4.4203E+03
 9.6586E+03 3.6240E+03
 9.6586E+03 2.7350E+04
 1.0000E+04 2.5130E+04
 1.2500E+04 1.4200E+04
 1.5000E+04 8.7020E+03
 1.7500E+04 5.7173E+03
 2.0000E+04 3.9570E+03
 2.5000E+04 2.1165E+03
 3.0000E+04 1.2580E+03
 3.5000E+04 8.0604E+02
 4.0000E+04 5.4610E+02
 4.5000E+04 3.8631E+02
 5.0000E+04 2.8290E+02
 6.0000E+04 1.6440E+02
 7.0000E+04 1.0347E+02
 8.0000E+04 6.9130E+01
 9.0000E+04 4.8381E+01
 1.0000E+05 3.5130E+01
 1.2500E+05 1.7803E+01
 1.5000E+05 1.0220E+01
 1.7500E+05 6.4047E+00
 2.0000E+05 4.2830E+00
 2.5000E+05 2.2033E+00
 3.0000E+05 1.2940E+00
 3.5000E+05 8.3383E-01
 4.0000E+05 5.7530E-01
 4.5000E+05 4.1828E-01
 5.0000E+05 3.1710E-01
 6.0000E+05 2.0010E-01
 7.0000E+05 1.3785E-01
 8.0000E+05 1.0220E-01
 9.0000E+05 8.0078E-02
 1.0000E+06 6.3580E-02
 1.0220E+06 6.0400E-02 1.0000E-35
 1.2500E+06 4.0830E-02 9.1790E-03
 1.5000E+06 2.9400E-02 4.5860E-02
 1.7500E+06 2.2520E-02 1.0255E-01
 2.0000E+06 1.8080E-02 1.7140E-01
 2.0440E+06 1.7460E-02 1.8420E-01
 2.5000E+06 1.2776E-02 3.2130E-01
 3.0000E+06 9.7730E-03 4.7181E-01
 3.5000E+06 7.8685E-03 6.1634E-01
 4.0000E+06 6.5630E-03 7.5294E-01
 4.5000E+06 5.6168E-03 8.8141E-01
 5.0000E+06 4.9020E-03 1.0023E+00
 6.0000E+06 3.8980E-03 1.2241E+00
 7.0000E+06 3.2290E-03 1.4224E+00
 8.0000E+06 2.7530E-03 1.6014E+00
 9.0000E+06 2.3970E-03 1.7633E+00
 1.0000E+07 2.1220E-03 1.9100E+00
 1.1000E+07 1.9030E-03 2.0433E+00
 1.2000E+07 1.7240E-03 2.1665E+00
 1.3000E+07 1.5760E-03 2.2794E+00
 1.4000E+07 1.4510E-03 2.3851E+00
 1.5000E+07 1.3450E-03 2.4837E+00
 1.6000E+07 1.2520E-03 2.5760E+00
 1.8000E+07 1.1010E-03 2.7462E+00
 2.0000E+07 9.8250E-04 2.8979E+00
 2.2000E+07 8.8680E-04 3.0351E+00
 2.4000E+07 8.0800E-04 3.1589E+00
 2.6000E+07 7.4210E-04 3.2734E+00
 2.8000E+07 6.8610E-04 3.3775E+00
 3.0000E+07 6.3790E-04 3.4743E+00
 3.5000E+07 5.4257E-04 3.6878E+00
 4.0000E+07 4.7200E-04 3.8693E+00
 4.5000E+07 4.1764E-04 4.0272E+00
 5.0000E+07 3.7450E-04 4.1656E+00
 6.0000E+07 3.1040E-04 4.3963E+00
 7.0000E+07 2.6501E-04 4.5839E+00
 8.0000E+07 2.3120E-04 4.7401E+00
 9.0000E+07 2.0504E-04 4.8719E+00
 1.0000E+08 1.8420E-04 4.9849E+00
 1.2500E+08 1.4685E-04 5.2094E+00
 1.5000E+08 1.2210E-04 5.3769E+00
 1.7500E+08 1.0450E-04 5.5069E+00
 2.0000E+08 9.1340E-05 5.6112E+00
 2.5000E+08 7.2957E-05 5.7698E+00
 3.0000E+08 6.0730E-05 5.8852E+00
 3.5000E+08 5.2012E-05 5.9731E+00
 4.0000E+08 4.5480E-05 6.0425E+00
 4.5000E+08 4.0404E-05 6.0989E+00
 5.0000E+08 3.6350E-05 6.1463E+00
 6.0000E+08 3.0280E-05 6.2215E+00
 7.0000E+08 2.5941E-05 6.2770E+00
 8.0000E+08 2.2690E-05 6.3203E+00
 9.0000E+08 2.0167E-05 6.3557E+00
 1.0000E+09 1.8150E-05 6.3852E+00
 1.5000E+09 1.2090E-05 6.4780E+00
 2.0000E+09 9.0660E-06 6.5293E+00
 3.0000E+09 6.0420E-06 6.5838E+00
 4.0000E+09 4.5310E-06 6.6139E+00
 5.0000E+09 3.6240E-06 6.6322E+00
 6.0000E+09 3.0200E-06 6.6451E+00
 8.0000E+09 2.2650E-06 6.6623E+00
 1.0000E+10 1.8120E-06 6.6731E+00
 1.5000E+10 1.2080E-06 6.6881E+00
 2.0000E+10 9.0590E-07 6.6958E+00
 3.0000E+10 6.0390E-07 6.7043E+00
 4.0000E+10 4.5290E-07 6.7087E+00
 5.0000E+10 3.6230E-07 6.7119E+00
 6.0000E+10 3.0190E-07 6.7141E+00
 8.0000E+10 2.2650E-07 6.7162E+00
 1.0000E+11 1.8120E-07 6.7173E+00
