 31
 1.0000E+03 1.9590E+05
 1.0561E+03 1.7217E+05
 1.1154E+03 1.5130E+05
 1.1154E+03 4.4160E+05
 1.1288E+03 5.3732E+05
 1.1423E+03 6.5330E+05
 1.1423E+03 8.4960E+05
 1.2500E+03 7.6721E+05
 1.2977E+03 7.3560E+05
 1.2977E+03 8.3360E+05
 1.5000E+03 5.8840E+05
 1.7500E+03 4.0323E+05
 2.0000E+03 2.9070E+05
 2.5000E+03 1.6341E+05
 3.0000E+03 1.0210E+05
 3.5000E+03 6.7671E+04
 4.0000E+03 4.7400E+04
 4.5000E+03 3.4434E+04
 5.0000E+03 2.5870E+04
 6.0000E+03 1.5690E+04
 7.0000E+03 1.0223E+04
 8.0000E+03 7.0560E+03
 9.0000E+03 5.0674E+03
 1.0000E+04 3.7690E+03
 1.0367E+04 3.4060E+03
 1.0367E+04 2.5450E+04
 1.2500E+04 1.5740E+04
 1.5000E+04 9.7630E+03
 1.7500E+04 6.4403E+03
 2.0000E+04 4.4600E+03
 2.5000E+04 2.3927E+03
 3.0000E+04 1.4270E+03
 3.5000E+04 9.1629E+02
 4.0000E+04 6.2180E+02
 4.5000E+04 4.4053E+02
 5.0000E+04 3.2300E+02
 6.0000E+04 1.8800E+02
 7.0000E+04 1.1855E+02
 8.0000E+04 7.9340E+01
 9.0000E+04 5.5597E+01
 1.0000E+05 4.0410E+01
 1.2500E+05 2.0522E+01
 1.5000E+05 1.1800E+01
 1.7500E+05 7.4040E+00
 2.0000E+05 4.9560E+00
 2.5000E+05 2.5529E+00
 3.0000E+05 1.5010E+00
 3.5000E+05 9.6823E-01
 4.0000E+05 6.6860E-01
 4.5000E+05 4.8641E-01
 5.0000E+05 3.6890E-01
 6.0000E+05 2.3290E-01
 7.0000E+05 1.6048E-01
 8.0000E+05 1.1900E-01
 9.0000E+05 9.3263E-02
 1.0000E+06 7.4070E-02
 1.0220E+06 7.0370E-02 1.0000E-35
 1.2500E+06 4.7560E-02 9.9350E-03
 1.5000E+06 3.4240E-02 4.9440E-02
 1.7500E+06 2.6242E-02 1.1038E-01
 2.0000E+06 2.1050E-02 1.8400E-01
 2.0440E+06 2.0320E-02 1.9760E-01
 2.5000E+06 1.4846E-02 3.4372E-01
 3.0000E+06 1.1360E-02 5.0485E-01
 3.5000E+06 9.1442E-03 6.5907E-01
 4.0000E+06 7.6240E-03 8.0450E-01
 4.5000E+06 6.5232E-03 9.4143E-01
 5.0000E+06 5.6920E-03 1.0702E+00
 6.0000E+06 4.5240E-03 1.3056E+00
 7.0000E+06 3.7460E-03 1.5170E+00
 8.0000E+06 3.1930E-03 1.7063E+00
 9.0000E+06 2.7800E-03 1.8793E+00
 1.0000E+07 2.4600E-03 2.0351E+00
 1.1000E+07 2.2060E-03 2.1776E+00
 1.2000E+07 1.9990E-03 2.3079E+00
 1.3000E+07 1.8270E-03 2.4280E+00
 1.4000E+07 1.6820E-03 2.5398E+00
 1.5000E+07 1.5580E-03 2.6445E+00
 1.6000E+07 1.4510E-03 2.7429E+00
 1.8000E+07 1.2760E-03 2.9244E+00
 2.0000E+07 1.1380E-03 3.0852E+00
 2.2000E+07 1.0270E-03 3.2316E+00
 2.4000E+07 9.3610E-04 3.3645E+00
 2.6000E+07 8.5960E-04 3.4851E+00
 2.8000E+07 7.9470E-04 3.5974E+00
 3.0000E+07 7.3880E-04 3.6993E+00
 3.5000E+07 6.2831E-04 3.9258E+00
 4.0000E+07 5.4660E-04 4.1198E+00
 4.5000E+07 4.8367E-04 4.2871E+00
 5.0000E+07 4.3370E-04 4.4334E+00
 6.0000E+07 3.5940E-04 4.6795E+00
 7.0000E+07 3.0684E-04 4.8786E+00
 8.0000E+07 2.6770E-04 5.0437E+00
 9.0000E+07 2.3742E-04 5.1836E+00
 1.0000E+08 2.1330E-04 5.3038E+00
 1.2500E+08 1.7008E-04 5.5415E+00
 1.5000E+08 1.4140E-04 5.7183E+00
 1.7500E+08 1.2097E-04 5.8557E+00
 2.0000E+08 1.0570E-04 5.9659E+00
 2.5000E+08 8.4432E-05 6.1332E+00
 3.0000E+08 7.0300E-05 6.2552E+00
 3.5000E+08 6.0212E-05 6.3488E+00
 4.0000E+08 5.2650E-05 6.4228E+00
 4.5000E+08 4.6774E-05 6.4829E+00
 5.0000E+08 4.2080E-05 6.5327E+00
 6.0000E+08 3.5050E-05 6.6111E+00
 7.0000E+08 3.0032E-05 6.6701E+00
 8.0000E+08 2.6270E-05 6.7161E+00
 9.0000E+08 2.3347E-05 6.7533E+00
 1.0000E+09 2.1010E-05 6.7841E+00
 1.5000E+09 1.4000E-05 6.8830E+00
 2.0000E+09 1.0490E-05 6.9364E+00
 3.0000E+09 6.9940E-06 6.9951E+00
 4.0000E+09 5.2450E-06 7.0263E+00
 5.0000E+09 4.1950E-06 7.0466E+00
 6.0000E+09 3.4960E-06 7.0605E+00
 8.0000E+09 2.6220E-06 7.0778E+00
 1.0000E+10 2.0970E-06 7.0896E+00
 1.5000E+10 1.3980E-06 7.1046E+00
 2.0000E+10 1.0490E-06 7.1133E+00
 3.0000E+10 6.9900E-07 7.1229E+00
 4.0000E+10 5.2430E-07 7.1273E+00
 5.0000E+10 4.1940E-07 7.1305E+00
 6.0000E+10 3.4950E-07 7.1326E+00
 8.0000E+10 2.6210E-07 7.1348E+00
 1.0000E+11 2.0970E-07 7.1359E+00
