 32
 1.0000E+03 2.2750E+05
 1.1030E+03 1.8030E+05
 1.2167E+03 1.4290E+05
 1.2167E+03 5.2520E+05
 1.2322E+03 5.6085E+05
 1.2478E+03 5.9880E+05
 1.2478E+03 8.0180E+05
 1.2500E+03 7.9971E+05
 1.4143E+03 6.6900E+05
 1.4143E+03 7.5740E+05
 1.5000E+03 6.5950E+05
 1.7500E+03 4.5231E+05
 2.0000E+03 3.2630E+05
 2.5000E+03 1.8416E+05
 3.0000E+03 1.1540E+05
 3.5000E+03 7.6666E+04
 4.0000E+03 5.3790E+04
 4.5000E+03 3.9120E+04
 5.0000E+03 2.9430E+04
 6.0000E+03 1.7860E+04
 7.0000E+03 1.1652E+04
 8.0000E+03 8.0480E+03
 9.0000E+03 5.7854E+03
 1.0000E+04 4.3060E+03
 1.1103E+04 3.2060E+03
 1.1103E+04 2.3710E+04
 1.2500E+04 1.7512E+04
 1.5000E+04 1.0900E+04
 1.7500E+04 7.2038E+03
 2.0000E+04 4.9960E+03
 2.5000E+04 2.6903E+03
 3.0000E+04 1.6100E+03
 3.5000E+04 1.0363E+03
 4.0000E+04 7.0450E+02
 4.5000E+04 4.9990E+02
 5.0000E+04 3.6700E+02
 6.0000E+04 2.1400E+02
 7.0000E+04 1.3519E+02
 8.0000E+04 9.0610E+01
 9.0000E+04 6.3560E+01
 1.0000E+05 4.6240E+01
 1.2500E+05 2.3539E+01
 1.5000E+05 1.3560E+01
 1.7500E+05 8.5177E+00
 2.0000E+05 5.7060E+00
 2.5000E+05 2.9438E+00
 3.0000E+05 1.7330E+00
 3.5000E+05 1.1189E+00
 4.0000E+05 7.7310E-01
 4.5000E+05 5.6271E-01
 5.0000E+05 4.2700E-01
 6.0000E+05 2.6990E-01
 7.0000E+05 1.8602E-01
 8.0000E+05 1.3790E-01
 9.0000E+05 1.0804E-01
 1.0000E+06 8.5850E-02
 1.0220E+06 8.1580E-02 1.0000E-35
 1.2500E+06 5.5120E-02 1.0730E-02
 1.5000E+06 3.9680E-02 5.3200E-02
 1.7500E+06 3.0381E-02 1.1848E-01
 2.0000E+06 2.4370E-02 1.9710E-01
 2.0440E+06 2.3530E-02 2.1160E-01
 2.5000E+06 1.7193E-02 3.6736E-01
 3.0000E+06 1.3140E-02 5.3909E-01
 3.5000E+06 1.0572E-02 7.0320E-01
 4.0000E+06 8.8130E-03 8.5787E-01
 4.5000E+06 7.5384E-03 1.0036E+00
 5.0000E+06 6.5760E-03 1.1405E+00
 6.0000E+06 5.2250E-03 1.3901E+00
 7.0000E+06 4.3250E-03 1.6137E+00
 8.0000E+06 3.6850E-03 1.8151E+00
 9.0000E+06 3.2080E-03 1.9983E+00
 1.0000E+07 2.8390E-03 2.1643E+00
 1.1000E+07 2.5450E-03 2.3159E+00
 1.2000E+07 2.3060E-03 2.4544E+00
 1.3000E+07 2.1070E-03 2.5835E+00
 1.4000E+07 1.9400E-03 2.7025E+00
 1.5000E+07 1.7970E-03 2.8133E+00
 1.6000E+07 1.6740E-03 2.9178E+00
 1.8000E+07 1.4710E-03 3.1085E+00
 2.0000E+07 1.3120E-03 3.2795E+00
 2.2000E+07 1.1840E-03 3.4340E+00
 2.4000E+07 1.0790E-03 3.5752E+00
 2.6000E+07 9.9090E-04 3.7039E+00
 2.8000E+07 9.1600E-04 3.8223E+00
 3.0000E+07 8.5160E-04 3.9313E+00
 3.5000E+07 7.2426E-04 4.1724E+00
 4.0000E+07 6.3000E-04 4.3773E+00
 4.5000E+07 5.5741E-04 4.5543E+00
 5.0000E+07 4.9980E-04 4.7093E+00
 6.0000E+07 4.1420E-04 4.9696E+00
 7.0000E+07 3.5364E-04 5.1804E+00
 8.0000E+07 3.0850E-04 5.3552E+00
 9.0000E+07 2.7354E-04 5.5029E+00
 1.0000E+08 2.4570E-04 5.6296E+00
 1.2500E+08 1.9591E-04 5.8804E+00
 1.5000E+08 1.6290E-04 6.0676E+00
 1.7500E+08 1.3939E-04 6.2134E+00
 2.0000E+08 1.2180E-04 6.3306E+00
 2.5000E+08 9.7277E-05 6.5079E+00
 3.0000E+08 8.0980E-05 6.6363E+00
 3.5000E+08 6.9356E-05 6.7342E+00
 4.0000E+08 6.0650E-05 6.8121E+00
 4.5000E+08 5.3888E-05 6.8761E+00
 5.0000E+08 4.8480E-05 6.9292E+00
 6.0000E+08 4.0370E-05 7.0117E+00
 7.0000E+08 3.4590E-05 7.0739E+00
 8.0000E+08 3.0260E-05 7.1228E+00
 9.0000E+08 2.6894E-05 7.1623E+00
 1.0000E+09 2.4200E-05 7.1949E+00
 1.5000E+09 1.6120E-05 7.2990E+00
 2.0000E+09 1.2090E-05 7.3565E+00
 3.0000E+09 8.0560E-06 7.4183E+00
 4.0000E+09 6.0410E-06 7.4515E+00
 5.0000E+09 4.8330E-06 7.4729E+00
 6.0000E+09 4.0270E-06 7.4869E+00
 8.0000E+09 3.0200E-06 7.5061E+00
 1.0000E+10 2.4160E-06 7.5179E+00
 1.5000E+10 1.6110E-06 7.5350E+00
 2.0000E+10 1.2080E-06 7.5437E+00
 3.0000E+10 8.0520E-07 7.5533E+00
 4.0000E+10 6.0390E-07 7.5587E+00
 5.0000E+10 4.8310E-07 7.5609E+00
 6.0000E+10 4.0260E-07 7.5631E+00
 8.0000E+10 3.0190E-07 7.5662E+00
 1.0000E+11 2.4160E-07 7.5673E+00
