 33
 1.0000E+03 2.6320E+05
 1.2500E+03 1.5481E+05
 1.3231E+03 1.3520E+05
 1.3231E+03 5.6320E+05
 1.3407E+03 5.5787E+05
 1.3586E+03 5.5250E+05
 1.3586E+03 7.5610E+05
 1.5000E+03 6.4950E+05
 1.5265E+03 6.2110E+05
 1.5265E+03 7.0270E+05
 1.7500E+03 5.0394E+05
 2.0000E+03 3.6410E+05
 2.5000E+03 2.0657E+05
 3.0000E+03 1.3000E+05
 3.5000E+03 8.6474E+04
 4.0000E+03 6.0760E+04
 4.5000E+03 4.4230E+04
 5.0000E+03 3.3300E+04
 6.0000E+03 2.0250E+04
 7.0000E+03 1.3223E+04
 8.0000E+03 9.1430E+03
 9.0000E+03 6.5768E+03
 1.0000E+04 4.8980E+03
 1.1867E+04 3.0230E+03
 1.1867E+04 2.2120E+04
 1.2500E+04 1.9382E+04
 1.5000E+04 1.2120E+04
 1.7500E+04 8.0302E+03
 2.0000E+04 5.5780E+03
 2.5000E+04 3.0140E+03
 3.0000E+04 1.8090E+03
 3.5000E+04 1.1668E+03
 4.0000E+04 7.9450E+02
 4.5000E+04 5.6453E+02
 5.0000E+04 4.1500E+02
 6.0000E+04 2.4260E+02
 7.0000E+04 1.5350E+02
 8.0000E+04 1.0300E+02
 9.0000E+04 7.2333E+01
 1.0000E+05 5.2680E+01
 1.2500E+05 2.6881E+01
 1.5000E+05 1.5510E+01
 1.7500E+05 9.7513E+00
 2.0000E+05 6.5370E+00
 2.5000E+05 3.3776E+00
 3.0000E+05 1.9910E+00
 3.5000E+05 1.2867E+00
 4.0000E+05 8.8970E-01
 4.5000E+05 6.4796E-01
 5.0000E+05 4.9190E-01
 6.0000E+05 3.1110E-01
 7.0000E+05 2.1458E-01
 8.0000E+05 1.5910E-01
 9.0000E+05 1.2460E-01
 1.0000E+06 9.9020E-02
 1.0220E+06 9.4110E-02 1.0000E-35
 1.2500E+06 6.3580E-02 1.1580E-02
 1.5000E+06 4.5750E-02 5.7130E-02
 1.7500E+06 3.4993E-02 1.2697E-01
 2.0000E+06 2.8080E-02 2.1080E-01
 2.0440E+06 2.7120E-02 2.2620E-01
 2.5000E+06 1.9824E-02 3.9176E-01
 3.0000E+06 1.5130E-02 5.7453E-01
 3.5000E+06 1.2167E-02 7.4884E-01
 4.0000E+06 1.0140E-02 9.1293E-01
 4.5000E+06 8.6706E-03 1.0676E+00
 5.0000E+06 7.5610E-03 1.2128E+00
 6.0000E+06 6.0050E-03 1.4766E+00
 7.0000E+06 4.9700E-03 1.7134E+00
 8.0000E+06 4.2340E-03 1.9270E+00
 9.0000E+06 3.6850E-03 2.1213E+00
 1.0000E+07 3.2600E-03 2.2974E+00
 1.1000E+07 2.9220E-03 2.4582E+00
 1.2000E+07 2.6470E-03 2.6058E+00
 1.3000E+07 2.4190E-03 2.7411E+00
 1.4000E+07 2.2270E-03 2.8672E+00
 1.5000E+07 2.0630E-03 2.9850E+00
 1.6000E+07 1.9210E-03 3.0957E+00
 1.8000E+07 1.6890E-03 3.2976E+00
 2.0000E+07 1.5060E-03 3.4778E+00
 2.2000E+07 1.3590E-03 3.6425E+00
 2.4000E+07 1.2380E-03 3.7918E+00
 2.6000E+07 1.1370E-03 3.9276E+00
 2.8000E+07 1.0510E-03 4.0531E+00
 3.0000E+07 9.7690E-04 4.1693E+00
 3.5000E+07 8.3068E-04 4.4244E+00
 4.0000E+07 7.2260E-04 4.6408E+00
 4.5000E+07 6.3931E-04 4.8286E+00
 5.0000E+07 5.7320E-04 4.9931E+00
 6.0000E+07 4.7500E-04 5.2677E+00
 7.0000E+07 4.0547E-04 5.4907E+00
 8.0000E+07 3.5370E-04 5.6758E+00
 9.0000E+07 3.1368E-04 5.8319E+00
 1.0000E+08 2.8180E-04 5.9655E+00
 1.2500E+08 2.2468E-04 6.2305E+00
 1.5000E+08 1.8680E-04 6.4280E+00
 1.7500E+08 1.5985E-04 6.5812E+00
 2.0000E+08 1.3970E-04 6.7042E+00
 2.5000E+08 1.1156E-04 6.8911E+00
 3.0000E+08 9.2850E-05 7.0273E+00
 3.5000E+08 7.9514E-05 7.1312E+00
 4.0000E+08 6.9530E-05 7.2134E+00
 4.5000E+08 6.1777E-05 7.2801E+00
 5.0000E+08 5.5580E-05 7.3356E+00
 6.0000E+08 4.6290E-05 7.4232E+00
 7.0000E+08 3.9659E-05 7.4890E+00
 8.0000E+08 3.4690E-05 7.5405E+00
 9.0000E+08 3.0828E-05 7.5822E+00
 1.0000E+09 2.7740E-05 7.6167E+00
 1.5000E+09 1.8480E-05 7.7269E+00
 2.0000E+09 1.3860E-05 7.7875E+00
 3.0000E+09 9.2360E-06 7.8523E+00
 4.0000E+09 6.9260E-06 7.8876E+00
 5.0000E+09 5.5410E-06 7.9090E+00
 6.0000E+09 4.6170E-06 7.9249E+00
 8.0000E+09 3.4620E-06 7.9452E+00
 1.0000E+10 2.7700E-06 7.9571E+00
 1.5000E+10 1.8460E-06 7.9752E+00
 2.0000E+10 1.3850E-06 7.9848E+00
 3.0000E+10 9.2320E-07 7.9944E+00
 4.0000E+10 6.9240E-07 7.9998E+00
 5.0000E+10 5.5390E-07 8.0031E+00
 6.0000E+10 4.6160E-07 8.0052E+00
 8.0000E+10 3.4620E-07 8.0084E+00
 1.0000E+11 2.7690E-07 8.0095E+00
