 34
 1.0000E+03 3.0310E+05
 1.2500E+03 1.7807E+05
 1.4358E+03 1.2800E+05
 1.4358E+03 5.6950E+05
 1.4559E+03 5.3974E+05
 1.4762E+03 5.1160E+05
 1.4762E+03 7.3280E+05
 1.5000E+03 6.9890E+05
 1.6539E+03 5.6870E+05
 1.6539E+03 6.4380E+05
 1.7500E+03 5.6119E+05
 2.0000E+03 4.0560E+05
 2.5000E+03 2.3095E+05
 3.0000E+03 1.4580E+05
 3.5000E+03 9.7158E+04
 4.0000E+03 6.8370E+04
 4.5000E+03 4.9827E+04
 5.0000E+03 3.7550E+04
 6.0000E+03 2.2870E+04
 7.0000E+03 1.4948E+04
 8.0000E+03 1.0340E+04
 9.0000E+03 7.4456E+03
 1.0000E+04 5.5490E+03
 1.2500E+04 2.9591E+03
 1.2658E+04 2.8570E+03
 1.2658E+04 2.0650E+04
 1.5000E+04 1.3390E+04
 1.7500E+04 8.9116E+03
 2.0000E+04 6.2100E+03
 2.5000E+04 3.3671E+03
 3.0000E+04 2.0250E+03
 3.5000E+04 1.3085E+03
 4.0000E+04 8.9240E+02
 4.5000E+04 6.3495E+02
 5.0000E+04 4.6730E+02
 6.0000E+04 2.7370E+02
 7.0000E+04 1.7349E+02
 8.0000E+04 1.1660E+02
 9.0000E+04 8.1982E+01
 1.0000E+05 5.9760E+01
 1.2500E+05 3.0534E+01
 1.5000E+05 1.7640E+01
 1.7500E+05 1.1109E+01
 2.0000E+05 7.4580E+00
 2.5000E+05 3.8609E+00
 3.0000E+05 2.2780E+00
 3.5000E+05 1.4729E+00
 4.0000E+05 1.0190E+00
 4.5000E+05 7.4269E-01
 5.0000E+05 5.6410E-01
 6.0000E+05 3.5680E-01
 7.0000E+05 2.4622E-01
 8.0000E+05 1.8260E-01
 9.0000E+05 1.4298E-01
 1.0000E+06 1.1370E-01
 1.0220E+06 1.0810E-01 1.0000E-35
 1.2500E+06 7.3000E-02 1.2460E-02
 1.5000E+06 5.2520E-02 6.1260E-02
 1.7500E+06 4.0183E-02 1.3576E-01
 2.0000E+06 3.2220E-02 2.2500E-01
 2.0440E+06 3.1110E-02 2.4140E-01
 2.5000E+06 2.2718E-02 4.1745E-01
 3.0000E+06 1.7340E-02 6.1137E-01
 3.5000E+06 1.3937E-02 7.9611E-01
 4.0000E+06 1.1610E-02 9.6990E-01
 4.5000E+06 9.9266E-03 1.1336E+00
 5.0000E+06 8.6560E-03 1.2872E+00
 6.0000E+06 6.8720E-03 1.5661E+00
 7.0000E+06 5.6860E-03 1.8171E+00
 8.0000E+06 4.8430E-03 2.0418E+00
 9.0000E+06 4.2140E-03 2.2473E+00
 1.0000E+07 3.7280E-03 2.4336E+00
 1.1000E+07 3.3410E-03 2.6045E+00
 1.2000E+07 3.0260E-03 2.7602E+00
 1.3000E+07 2.7650E-03 2.9036E+00
 1.4000E+07 2.5450E-03 3.0369E+00
 1.5000E+07 2.3570E-03 3.1618E+00
 1.6000E+07 2.1950E-03 3.2786E+00
 1.8000E+07 1.9290E-03 3.4917E+00
 2.0000E+07 1.7210E-03 3.6841E+00
 2.2000E+07 1.5530E-03 3.8570E+00
 2.4000E+07 1.4140E-03 4.0154E+00
 2.6000E+07 1.2990E-03 4.1594E+00
 2.8000E+07 1.2000E-03 4.2920E+00
 3.0000E+07 1.1160E-03 4.4143E+00
 3.5000E+07 9.4922E-04 4.6840E+00
 4.0000E+07 8.2520E-04 4.9133E+00
 4.5000E+07 7.2996E-04 5.1116E+00
 5.0000E+07 6.5450E-04 5.2850E+00
 6.0000E+07 5.4230E-04 5.5749E+00
 7.0000E+07 4.6290E-04 5.8095E+00
 8.0000E+07 4.0380E-04 6.0043E+00
 9.0000E+07 3.5810E-04 6.1691E+00
 1.0000E+08 3.2170E-04 6.3104E+00
 1.2500E+08 2.5647E-04 6.5897E+00
 1.5000E+08 2.1320E-04 6.7974E+00
 1.7500E+08 1.8241E-04 6.9591E+00
 2.0000E+08 1.5940E-04 7.0889E+00
 2.5000E+08 1.2733E-04 7.2854E+00
 3.0000E+08 1.0600E-04 7.4284E+00
 3.5000E+08 9.0775E-05 7.5379E+00
 4.0000E+08 7.9370E-05 7.6248E+00
 4.5000E+08 7.0514E-05 7.6955E+00
 5.0000E+08 6.3440E-05 7.7541E+00
 6.0000E+08 5.2840E-05 7.8458E+00
 7.0000E+08 4.5272E-05 7.9149E+00
 8.0000E+08 3.9600E-05 7.9693E+00
 9.0000E+08 3.5194E-05 8.0132E+00
 1.0000E+09 3.1670E-05 8.0496E+00
 1.5000E+09 2.1100E-05 8.1660E+00
 2.0000E+09 1.5820E-05 8.2286E+00
 3.0000E+09 1.0540E-05 8.2975E+00
 4.0000E+09 7.9060E-06 8.3348E+00
 5.0000E+09 6.3240E-06 8.3582E+00
 6.0000E+09 5.2700E-06 8.3742E+00
 8.0000E+09 3.9520E-06 8.3956E+00
 1.0000E+10 3.1620E-06 8.4084E+00
 1.5000E+10 2.1080E-06 8.4275E+00
 2.0000E+10 1.5810E-06 8.4372E+00
 3.0000E+10 1.0540E-06 8.4478E+00
 4.0000E+10 7.9030E-07 8.4532E+00
 5.0000E+10 6.3220E-07 8.4565E+00
 6.0000E+10 5.2690E-07 8.4586E+00
 8.0000E+10 3.9510E-07 8.4618E+00
 1.0000E+11 3.1610E-07 8.4639E+00
