 38
 1.0000E+03 5.0740E+05
 1.2500E+03 2.9983E+05
 1.5000E+03 1.9510E+05
 1.7500E+03 1.3383E+05
 1.9396E+03 1.0410E+05
 1.9396E+03 4.1580E+05
 2.0000E+03 3.7600E+05
 2.0068E+03 3.7340E+05
 2.0068E+03 5.1980E+05
 2.1090E+03 4.6323E+05
 2.2163E+03 4.1280E+05
 2.2163E+03 4.7080E+05
 2.5000E+03 3.4867E+05
 3.0000E+03 2.2130E+05
 3.5000E+03 1.4883E+05
 4.0000E+03 1.0560E+05
 4.5000E+03 7.7312E+04
 5.0000E+03 5.8520E+04
 6.0000E+03 3.5850E+04
 7.0000E+03 2.3544E+04
 8.0000E+03 1.6360E+04
 9.0000E+03 1.1811E+04
 1.0000E+04 8.8250E+03
 1.2500E+04 4.7204E+03
 1.5000E+04 2.8310E+03
 1.6105E+04 2.3150E+03
 1.6105E+04 1.5950E+04
 1.7500E+04 1.2912E+04
 2.0000E+04 9.1540E+03
 2.5000E+04 5.0393E+03
 3.0000E+04 3.0510E+03
 3.5000E+04 1.9874E+03
 4.0000E+04 1.3660E+03
 4.5000E+04 9.7775E+02
 5.0000E+04 7.2310E+02
 6.0000E+04 4.2700E+02
 7.0000E+04 2.7237E+02
 8.0000E+04 1.8400E+02
 9.0000E+04 1.2995E+02
 1.0000E+05 9.5100E+01
 1.2500E+05 4.8982E+01
 1.5000E+05 2.8470E+01
 1.7500E+05 1.8013E+01
 2.0000E+05 1.2140E+01
 2.5000E+05 6.3223E+00
 3.0000E+05 3.7480E+00
 3.5000E+05 2.4328E+00
 4.0000E+05 1.6880E+00
 4.5000E+05 1.2327E+00
 5.0000E+05 9.3770E-01
 6.0000E+05 5.9470E-01
 7.0000E+05 4.1099E-01
 8.0000E+05 3.0510E-01
 9.0000E+05 2.3909E-01
 1.0000E+06 1.9010E-01
 1.0220E+06 1.8070E-01 1.0000E-35
 1.2500E+06 1.2200E-01 1.6480E-02
 1.5000E+06 8.7680E-02 7.9710E-02
 1.7500E+06 6.7041E-02 1.7481E-01
 2.0000E+06 5.3680E-02 2.8780E-01
 2.0440E+06 5.1810E-02 3.0850E-01
 2.5000E+06 3.7753E-02 5.2950E-01
 3.0000E+06 2.8790E-02 7.7113E-01
 3.5000E+06 2.3107E-02 1.0003E+00
 4.0000E+06 1.9220E-02 1.2153E+00
 4.5000E+06 1.6413E-02 1.4172E+00
 5.0000E+06 1.4300E-02 1.6065E+00
 6.0000E+06 1.1340E-02 1.9501E+00
 7.0000E+06 9.3700E-03 2.2578E+00
 8.0000E+06 7.9740E-03 2.5342E+00
 9.0000E+06 6.9340E-03 2.7863E+00
 1.0000E+07 6.1300E-03 3.0162E+00
 1.1000E+07 5.4910E-03 3.2267E+00
 1.2000E+07 4.9720E-03 3.4199E+00
 1.3000E+07 4.5410E-03 3.5989E+00
 1.4000E+07 4.1780E-03 3.7626E+00
 1.5000E+07 3.8690E-03 3.9160E+00
 1.6000E+07 3.6020E-03 4.0592E+00
 1.8000E+07 3.1640E-03 4.3211E+00
 2.0000E+07 2.8210E-03 4.5562E+00
 2.2000E+07 2.5450E-03 4.7707E+00
 2.4000E+07 2.3180E-03 4.9647E+00
 2.6000E+07 2.1270E-03 5.1423E+00
 2.8000E+07 1.9660E-03 5.3054E+00
 3.0000E+07 1.8270E-03 5.4552E+00
 3.5000E+07 1.5532E-03 5.7859E+00
 4.0000E+07 1.3510E-03 6.0671E+00
 4.5000E+07 1.1949E-03 6.3096E+00
 5.0000E+07 1.0710E-03 6.5213E+00
 6.0000E+07 8.8720E-04 6.8753E+00
 7.0000E+07 7.5721E-04 7.1619E+00
 8.0000E+07 6.6040E-04 7.3995E+00
 9.0000E+07 5.8552E-04 7.5999E+00
 1.0000E+08 5.2590E-04 7.7717E+00
 1.2500E+08 4.1920E-04 8.1122E+00
 1.5000E+08 3.4850E-04 8.3658E+00
 1.7500E+08 2.9821E-04 8.5626E+00
 2.0000E+08 2.6060E-04 8.7207E+00
 2.5000E+08 2.0810E-04 8.9609E+00
 3.0000E+08 1.7320E-04 9.1359E+00
 3.5000E+08 1.4832E-04 9.2696E+00
 4.0000E+08 1.2970E-04 9.3752E+00
 4.5000E+08 1.1526E-04 9.4609E+00
 5.0000E+08 1.0370E-04 9.5324E+00
 6.0000E+08 8.6340E-05 9.6456E+00
 7.0000E+08 7.3965E-05 9.7305E+00
 8.0000E+08 6.4700E-05 9.7969E+00
 9.0000E+08 5.7499E-05 9.8505E+00
 1.0000E+09 5.1740E-05 9.8948E+00
 1.5000E+09 3.4470E-05 1.0037E+01
 2.0000E+09 2.5850E-05 1.0114E+01
 3.0000E+09 1.7230E-05 1.0198E+01
 4.0000E+09 1.2920E-05 1.0244E+01
 5.0000E+09 1.0330E-05 1.0272E+01
 6.0000E+09 8.6100E-06 1.0293E+01
 8.0000E+09 6.4570E-06 1.0316E+01
 1.0000E+10 5.1650E-06 1.0337E+01
 1.5000E+10 3.4430E-06 1.0359E+01
 2.0000E+10 2.5820E-06 1.0369E+01
 3.0000E+10 1.7220E-06 1.0380E+01
 4.0000E+10 1.2910E-06 1.0391E+01
 5.0000E+10 1.0330E-06 1.0391E+01
 6.0000E+10 8.6080E-07 1.0401E+01
 8.0000E+10 6.4560E-07 1.0401E+01
 1.0000E+11 5.1650E-07 1.0402E+01
