 39
 1.0000E+03 5.6950E+05
 1.2500E+03 3.3706E+05
 1.5000E+03 2.1960E+05
 1.7500E+03 1.5069E+05
 2.0000E+03 1.0870E+05
 2.0800E+03 9.8670E+04
 2.0800E+03 3.8680E+05
 2.1174E+03 3.6526E+05
 2.1555E+03 3.4490E+05
 2.1555E+03 4.8090E+05
 2.2614E+03 4.2887E+05
 2.3725E+03 3.8280E+05
 2.3725E+03 4.3640E+05
 2.5000E+03 3.8314E+05
 3.0000E+03 2.4350E+05
 3.5000E+03 1.6405E+05
 4.0000E+03 1.1650E+05
 4.5000E+03 8.5464E+04
 5.0000E+03 6.4770E+04
 6.0000E+03 3.9750E+04
 7.0000E+03 2.6136E+04
 8.0000E+03 1.8180E+04
 9.0000E+03 1.3138E+04
 1.0000E+04 9.8250E+03
 1.2500E+04 5.2615E+03
 1.5000E+04 3.1580E+03
 1.7038E+04 2.2020E+03
 1.7038E+04 1.5010E+04
 1.7500E+04 1.4028E+04
 2.0000E+04 9.9750E+03
 2.5000E+04 5.5168E+03
 3.0000E+04 3.3500E+03
 3.5000E+04 2.1870E+03
 4.0000E+04 1.5060E+03
 4.5000E+04 1.0798E+03
 5.0000E+04 7.9960E+02
 6.0000E+04 4.7300E+02
 7.0000E+04 3.0215E+02
 8.0000E+04 2.0440E+02
 9.0000E+04 1.4455E+02
 1.0000E+05 1.0590E+02
 1.2500E+05 5.4655E+01
 1.5000E+05 3.1810E+01
 1.7500E+05 2.0147E+01
 2.0000E+05 1.3590E+01
 2.5000E+05 7.0874E+00
 3.0000E+05 4.2060E+00
 3.5000E+05 2.7322E+00
 4.0000E+05 1.8970E+00
 4.5000E+05 1.3861E+00
 5.0000E+05 1.0550E+00
 6.0000E+05 6.6970E-01
 7.0000E+05 4.6307E-01
 8.0000E+05 3.4370E-01
 9.0000E+05 2.6918E-01
 1.0000E+06 2.1420E-01
 1.0220E+06 2.0370E-01 1.0000E-35
 1.2500E+06 1.3750E-01 1.7620E-02
 1.5000E+06 9.8780E-02 8.4840E-02
 1.7500E+06 7.5487E-02 1.8548E-01
 2.0000E+06 6.0440E-02 3.0490E-01
 2.0440E+06 5.8340E-02 3.2680E-01
 2.5000E+06 4.2504E-02 5.6010E-01
 3.0000E+06 3.2390E-02 8.1437E-01
 3.5000E+06 2.5995E-02 1.0553E+00
 4.0000E+06 2.1620E-02 1.2814E+00
 4.5000E+06 1.8453E-02 1.4939E+00
 5.0000E+06 1.6070E-02 1.6928E+00
 6.0000E+06 1.2740E-02 2.0526E+00
 7.0000E+06 1.0520E-02 2.3744E+00
 8.0000E+06 8.9540E-03 2.6650E+00
 9.0000E+06 7.7850E-03 2.9293E+00
 1.0000E+07 6.8820E-03 3.1703E+00
 1.1000E+07 6.1640E-03 3.3920E+00
 1.2000E+07 5.5800E-03 3.5944E+00
 1.3000E+07 5.0960E-03 3.7814E+00
 1.4000E+07 4.6890E-03 3.9532E+00
 1.5000E+07 4.3410E-03 4.1138E+00
 1.6000E+07 4.0410E-03 4.2641E+00
 1.8000E+07 3.5500E-03 4.5402E+00
 2.0000E+07 3.1650E-03 4.7885E+00
 2.2000E+07 2.8540E-03 5.0132E+00
 2.4000E+07 2.5990E-03 5.2173E+00
 2.6000E+07 2.3860E-03 5.4040E+00
 2.8000E+07 2.2050E-03 5.5743E+00
 3.0000E+07 2.0490E-03 5.7322E+00
 3.5000E+07 1.7411E-03 6.0796E+00
 4.0000E+07 1.5140E-03 6.3736E+00
 4.5000E+07 1.3395E-03 6.6272E+00
 5.0000E+07 1.2010E-03 6.8491E+00
 6.0000E+07 9.9470E-04 7.2204E+00
 7.0000E+07 8.4890E-04 7.5205E+00
 8.0000E+07 7.4040E-04 7.7690E+00
 9.0000E+07 6.5646E-04 7.9788E+00
 1.0000E+08 5.8960E-04 8.1586E+00
 1.2500E+08 4.6997E-04 8.5147E+00
 1.5000E+08 3.9070E-04 8.7802E+00
 1.7500E+08 3.3429E-04 8.9866E+00
 2.0000E+08 2.9210E-04 9.1524E+00
 2.5000E+08 2.3321E-04 9.4039E+00
 3.0000E+08 1.9410E-04 9.5870E+00
 3.5000E+08 1.6626E-04 9.7274E+00
 4.0000E+08 1.4540E-04 9.8386E+00
 4.5000E+08 1.2917E-04 9.9288E+00
 5.0000E+08 1.1620E-04 1.0004E+01
 6.0000E+08 9.6770E-05 1.0122E+01
 7.0000E+08 8.2908E-05 1.0212E+01
 8.0000E+08 7.2520E-05 1.0281E+01
 9.0000E+08 6.4446E-05 1.0336E+01
 1.0000E+09 5.7990E-05 1.0380E+01
 1.5000E+09 3.8640E-05 1.0527E+01
 2.0000E+09 2.8970E-05 1.0612E+01
 3.0000E+09 1.9310E-05 1.0706E+01
 4.0000E+09 1.4480E-05 1.0749E+01
 5.0000E+09 1.1580E-05 1.0781E+01
 6.0000E+09 9.6500E-06 1.0802E+01
 8.0000E+09 7.2370E-06 1.0824E+01
 1.0000E+10 5.7900E-06 1.0845E+01
 1.5000E+10 3.8590E-06 1.0866E+01
 2.0000E+10 2.8950E-06 1.0877E+01
 3.0000E+10 1.9300E-06 1.0898E+01
 4.0000E+10 1.4470E-06 1.0898E+01
 5.0000E+10 1.1580E-06 1.0909E+01
 6.0000E+10 9.6480E-07 1.0909E+01
 8.0000E+10 7.2360E-07 1.0909E+01
 1.0000E+11 5.7890E-07 1.0919E+01
