 40
 1.0000E+03 6.3670E+05
 1.2500E+03 3.7741E+05
 1.5000E+03 2.4620E+05
 1.7500E+03 1.6903E+05
 2.0000E+03 1.2210E+05
 2.2223E+03 9.3960E+04
 2.2223E+03 3.6140E+05
 2.2641E+03 3.4020E+05
 2.3067E+03 3.2030E+05
 2.3067E+03 4.4650E+05
 2.5000E+03 3.6745E+05
 2.5316E+03 3.5650E+05
 2.5316E+03 4.0680E+05
 3.0000E+03 2.6770E+05
 3.5000E+03 1.8044E+05
 4.0000E+03 1.2820E+05
 4.5000E+03 9.4173E+04
 5.0000E+03 7.1470E+04
 6.0000E+03 4.3950E+04
 7.0000E+03 2.8931E+04
 8.0000E+03 2.0140E+04
 9.0000E+03 1.4564E+04
 1.0000E+04 1.0900E+04
 1.2500E+04 5.8435E+03
 1.5000E+04 3.5120E+03
 1.7500E+04 2.2720E+03
 1.7998E+04 2.0990E+03
 1.7998E+04 1.4170E+04
 2.0000E+04 1.0810E+04
 2.5000E+04 6.0082E+03
 3.0000E+04 3.6690E+03
 3.5000E+04 2.4017E+03
 4.0000E+04 1.6560E+03
 4.5000E+04 1.1887E+03
 5.0000E+04 8.8130E+02
 6.0000E+04 5.2240E+02
 7.0000E+04 3.3426E+02
 8.0000E+04 2.2640E+02
 9.0000E+04 1.6025E+02
 1.0000E+05 1.1750E+02
 1.2500E+05 6.0756E+01
 1.5000E+05 3.5420E+01
 1.7500E+05 2.2465E+01
 2.0000E+05 1.5170E+01
 2.5000E+05 7.9238E+00
 3.0000E+05 4.7070E+00
 3.5000E+05 3.0598E+00
 4.0000E+05 2.1260E+00
 4.5000E+05 1.5547E+00
 5.0000E+05 1.1840E+00
 6.0000E+05 7.5170E-01
 7.0000E+05 5.1999E-01
 8.0000E+05 3.8610E-01
 9.0000E+05 3.0239E-01
 1.0000E+06 2.4060E-01
 1.0220E+06 2.2880E-01 1.0000E-35
 1.2500E+06 1.5440E-01 1.8800E-02
 1.5000E+06 1.1090E-01 9.0180E-02
 1.7500E+06 8.4749E-02 1.9665E-01
 2.0000E+06 6.7850E-02 3.2270E-01
 2.0440E+06 6.5490E-02 3.4580E-01
 2.5000E+06 4.7688E-02 5.9157E-01
 3.0000E+06 3.6320E-02 8.5901E-01
 3.5000E+06 2.9138E-02 1.1123E+00
 4.0000E+06 2.4230E-02 1.3496E+00
 4.5000E+06 2.0682E-02 1.5720E+00
 5.0000E+06 1.8010E-02 1.7801E+00
 6.0000E+06 1.4270E-02 2.1571E+00
 7.0000E+06 1.1780E-02 2.4951E+00
 8.0000E+06 1.0020E-02 2.7989E+00
 9.0000E+06 8.7130E-03 3.0753E+00
 1.0000E+07 7.7010E-03 3.3285E+00
 1.1000E+07 6.8970E-03 3.5603E+00
 1.2000E+07 6.2430E-03 3.7738E+00
 1.3000E+07 5.7010E-03 3.9700E+00
 1.4000E+07 5.2450E-03 4.1509E+00
 1.5000E+07 4.8560E-03 4.3196E+00
 1.6000E+07 4.5200E-03 4.4780E+00
 1.8000E+07 3.9700E-03 4.7662E+00
 2.0000E+07 3.5390E-03 5.0247E+00
 2.2000E+07 3.1920E-03 5.2606E+00
 2.4000E+07 2.9060E-03 5.4739E+00
 2.6000E+07 2.6680E-03 5.6697E+00
 2.8000E+07 2.4650E-03 5.8481E+00
 3.0000E+07 2.2910E-03 6.0132E+00
 3.5000E+07 1.9474E-03 6.3769E+00
 4.0000E+07 1.6930E-03 6.6850E+00
 4.5000E+07 1.4971E-03 6.9507E+00
 5.0000E+07 1.3420E-03 7.1829E+00
 6.0000E+07 1.1120E-03 7.5705E+00
 7.0000E+07 9.4891E-04 7.8841E+00
 8.0000E+07 8.2740E-04 8.1445E+00
 9.0000E+07 7.3357E-04 8.3646E+00
 1.0000E+08 6.5890E-04 8.5534E+00
 1.2500E+08 5.2522E-04 8.9260E+00
 1.5000E+08 4.3660E-04 9.2035E+00
 1.7500E+08 3.7355E-04 9.4199E+00
 2.0000E+08 3.2640E-04 9.5941E+00
 2.5000E+08 2.6062E-04 9.8579E+00
 3.0000E+08 2.1690E-04 1.0049E+01
 3.5000E+08 1.8573E-04 1.0195E+01
 4.0000E+08 1.6240E-04 1.0311E+01
 4.5000E+08 1.4428E-04 1.0407E+01
 5.0000E+08 1.2980E-04 1.0488E+01
 6.0000E+08 1.0810E-04 1.0614E+01
 7.0000E+08 9.2626E-05 1.0701E+01
 8.0000E+08 8.1030E-05 1.0772E+01
 9.0000E+08 7.2013E-05 1.0834E+01
 1.0000E+09 6.4800E-05 1.0887E+01
 1.5000E+09 4.3170E-05 1.1034E+01
 2.0000E+09 3.2370E-05 1.1129E+01
 3.0000E+09 2.1570E-05 1.1214E+01
 4.0000E+09 1.6180E-05 1.1266E+01
 5.0000E+09 1.2940E-05 1.1298E+01
 6.0000E+09 1.0780E-05 1.1319E+01
 8.0000E+09 8.0860E-06 1.1351E+01
 1.0000E+10 6.4690E-06 1.1362E+01
 1.5000E+10 4.3120E-06 1.1394E+01
 2.0000E+10 3.2340E-06 1.1404E+01
 3.0000E+10 2.1560E-06 1.1415E+01
 4.0000E+10 1.6170E-06 1.1426E+01
 5.0000E+10 1.2940E-06 1.1436E+01
 6.0000E+10 1.0780E-06 1.1436E+01
 8.0000E+10 8.0850E-07 1.1436E+01
 1.0000E+11 6.4680E-07 1.1437E+01
