 45
 1.0000E+03 1.0530E+06
 1.2500E+03 6.2944E+05
 1.5000E+03 4.1340E+05
 1.7500E+03 2.8488E+05
 2.0000E+03 2.0630E+05
 2.5000E+03 1.1813E+05
 3.0000E+03 7.4910E+04
 3.0038E+03 7.4660E+04
 3.0038E+03 2.5760E+05
 3.0741E+03 2.4204E+05
 3.1461E+03 2.2760E+05
 3.1461E+03 3.1460E+05
 3.2763E+03 2.8462E+05
 3.4119E+03 2.5750E+05
 3.4119E+03 2.9490E+05
 3.5000E+03 2.7697E+05
 4.0000E+03 1.9910E+05
 4.5000E+03 1.4686E+05
 5.0000E+03 1.1180E+05
 6.0000E+03 6.9420E+04
 7.0000E+03 4.5996E+04
 8.0000E+03 3.2200E+04
 9.0000E+03 2.3382E+04
 1.0000E+04 1.7560E+04
 1.2500E+04 9.4772E+03
 1.5000E+04 5.7250E+03
 1.7500E+04 3.7157E+03
 2.0000E+04 2.5550E+03
 2.3220E+04 1.6740E+03
 2.3220E+04 1.0790E+04
 2.5000E+04 8.9339E+03
 3.0000E+04 5.5670E+03
 3.5000E+04 3.6780E+03
 4.0000E+04 2.5500E+03
 4.5000E+04 1.8424E+03
 5.0000E+04 1.3750E+03
 6.0000E+04 8.2360E+02
 7.0000E+04 5.3109E+02
 8.0000E+04 3.6200E+02
 9.0000E+04 2.5764E+02
 1.0000E+05 1.8980E+02
 1.2500E+05 9.9049E+01
 1.5000E+05 5.8140E+01
 1.7500E+05 3.7075E+01
 2.0000E+05 2.5150E+01
 2.5000E+05 1.3235E+01
 3.0000E+05 7.9080E+00
 3.5000E+05 5.1639E+00
 4.0000E+05 3.6000E+00
 4.5000E+05 2.6390E+00
 5.0000E+05 2.0140E+00
 6.0000E+05 1.2840E+00
 7.0000E+05 8.9024E-01
 8.0000E+05 6.6130E-01
 9.0000E+05 5.1771E-01
 1.0000E+06 4.1240E-01
 1.0220E+06 3.9240E-01 1.0000E-35
 1.2500E+06 2.6470E-01 2.5590E-02
 1.5000E+06 1.8990E-01 1.2040E-01
 1.7500E+06 1.4507E-01 2.5884E-01
 2.0000E+06 1.1590E-01 4.2130E-01
 2.0440E+06 1.1180E-01 4.5110E-01
 2.5000E+06 8.1179E-02 7.6496E-01
 3.0000E+06 6.1790E-02 1.1018E+00
 3.5000E+06 4.9503E-02 1.4198E+00
 4.0000E+06 4.1100E-02 1.7174E+00
 4.5000E+06 3.5039E-02 1.9957E+00
 5.0000E+06 3.0480E-02 2.2547E+00
 6.0000E+06 2.4110E-02 2.7206E+00
 7.0000E+06 1.9890E-02 3.1385E+00
 8.0000E+06 1.6900E-02 3.5151E+00
 9.0000E+06 1.4680E-02 3.8573E+00
 1.0000E+07 1.2960E-02 4.1712E+00
 1.1000E+07 1.1600E-02 4.4598E+00
 1.2000E+07 1.0500E-02 4.7249E+00
 1.3000E+07 9.5830E-03 4.9707E+00
 1.4000E+07 8.8130E-03 5.1973E+00
 1.5000E+07 8.1560E-03 5.4065E+00
 1.6000E+07 7.5900E-03 5.6025E+00
 1.8000E+07 6.6630E-03 5.9617E+00
 2.0000E+07 5.9370E-03 6.2830E+00
 2.2000E+07 5.3530E-03 6.5757E+00
 2.4000E+07 4.8730E-03 6.8408E+00
 2.6000E+07 4.4720E-03 7.0833E+00
 2.8000E+07 4.1310E-03 7.3053E+00
 3.0000E+07 3.8390E-03 7.5099E+00
 3.5000E+07 3.2620E-03 7.9596E+00
 4.0000E+07 2.8350E-03 8.3402E+00
 4.5000E+07 2.5064E-03 8.6685E+00
 5.0000E+07 2.2460E-03 8.9558E+00
 6.0000E+07 1.8600E-03 9.4369E+00
 7.0000E+07 1.5871E-03 9.8257E+00
 8.0000E+07 1.3840E-03 1.0147E+01
 9.0000E+07 1.2270E-03 1.0417E+01
 1.0000E+08 1.1020E-03 1.0648E+01
 1.2500E+08 8.7812E-04 1.1109E+01
 1.5000E+08 7.2980E-04 1.1454E+01
 1.7500E+08 6.2438E-04 1.1724E+01
 2.0000E+08 5.4560E-04 1.1940E+01
 2.5000E+08 4.3567E-04 1.2265E+01
 3.0000E+08 3.6260E-04 1.2500E+01
 3.5000E+08 3.1050E-04 1.2678E+01
 4.0000E+08 2.7150E-04 1.2821E+01
 4.5000E+08 2.4121E-04 1.2942E+01
 5.0000E+08 2.1700E-04 1.3039E+01
 6.0000E+08 1.8070E-04 1.3185E+01
 7.0000E+08 1.5479E-04 1.3302E+01
 8.0000E+08 1.3540E-04 1.3394E+01
 9.0000E+08 1.2034E-04 1.3462E+01
 1.0000E+09 1.0830E-04 1.3519E+01
 1.5000E+09 7.2130E-05 1.3717E+01
 2.0000E+09 5.4080E-05 1.3822E+01
 3.0000E+09 3.6040E-05 1.3927E+01
 4.0000E+09 2.7030E-05 1.3989E+01
 5.0000E+09 2.1620E-05 1.4031E+01
 6.0000E+09 1.8020E-05 1.4063E+01
 8.0000E+09 1.3510E-05 1.4094E+01
 1.0000E+10 1.0810E-05 1.4115E+01
 1.5000E+10 7.2050E-06 1.4147E+01
 2.0000E+10 5.4030E-06 1.4158E+01
 3.0000E+10 3.6020E-06 1.4178E+01
 4.0000E+10 2.7020E-06 1.4189E+01
 5.0000E+10 2.1610E-06 1.4189E+01
 6.0000E+10 1.8010E-06 1.4199E+01
 8.0000E+10 1.3510E-06 1.4200E+01
 1.0000E+11 1.0810E-06 1.4210E+01
