 46
 1.0000E+03 1.1540E+06
 1.2500E+03 6.9101E+05
 1.5000E+03 4.5440E+05
 1.7500E+03 3.1337E+05
 2.0000E+03 2.2710E+05
 2.5000E+03 1.3009E+05
 3.0000E+03 8.2520E+04
 3.1733E+03 7.1550E+04
 3.1733E+03 2.3850E+05
 3.2509E+03 2.2579E+05
 3.3303E+03 2.1380E+05
 3.3303E+03 2.9310E+05
 3.5000E+03 2.6043E+05
 3.6043E+03 2.4280E+05
 3.6043E+03 2.7860E+05
 4.0000E+03 2.1590E+05
 4.5000E+03 1.5927E+05
 5.0000E+03 1.2140E+05
 6.0000E+03 7.5430E+04
 7.0000E+03 5.0059E+04
 8.0000E+03 3.5100E+04
 9.0000E+03 2.5506E+04
 1.0000E+04 1.9170E+04
 1.2500E+04 1.0358E+04
 1.5000E+04 6.2640E+03
 1.7500E+04 4.0676E+03
 2.0000E+04 2.7980E+03
 2.4350E+04 1.6040E+03
 2.4350E+04 1.0260E+04
 2.5000E+04 9.5930E+03
 3.0000E+04 5.9930E+03
 3.5000E+04 3.9706E+03
 4.0000E+04 2.7590E+03
 4.5000E+04 1.9966E+03
 5.0000E+04 1.4920E+03
 6.0000E+04 8.9550E+02
 7.0000E+04 5.7817E+02
 8.0000E+04 3.9450E+02
 9.0000E+04 2.8109E+02
 1.0000E+05 2.0730E+02
 1.2500E+05 1.0837E+02
 1.5000E+05 6.3700E+01
 1.7500E+05 4.0681E+01
 2.0000E+05 2.7630E+01
 2.5000E+05 1.4560E+01
 3.0000E+05 8.7060E+00
 3.5000E+05 5.6886E+00
 4.0000E+05 3.9690E+00
 4.5000E+05 2.9123E+00
 5.0000E+05 2.2240E+00
 6.0000E+05 1.4180E+00
 7.0000E+05 9.8359E-01
 8.0000E+05 7.3080E-01
 9.0000E+05 5.7197E-01
 1.0000E+06 4.5580E-01
 1.0220E+06 4.3380E-01 1.0000E-35
 1.2500E+06 2.9270E-01 2.7130E-02
 1.5000E+06 2.0990E-01 1.2720E-01
 1.7500E+06 1.6018E-01 2.7286E-01
 2.0000E+06 1.2800E-01 4.4330E-01
 2.0440E+06 1.2350E-01 4.7450E-01
 2.5000E+06 8.9711E-02 8.0284E-01
 3.0000E+06 6.8220E-02 1.1549E+00
 3.5000E+06 5.4630E-02 1.4865E+00
 4.0000E+06 4.5350E-02 1.7966E+00
 4.5000E+06 3.8656E-02 2.0864E+00
 5.0000E+06 3.3620E-02 2.3561E+00
 6.0000E+06 2.6580E-02 2.8411E+00
 7.0000E+06 2.1920E-02 3.2761E+00
 8.0000E+06 1.8630E-02 3.6679E+00
 9.0000E+06 1.6170E-02 4.0233E+00
 1.0000E+07 1.4280E-02 4.3494E+00
 1.1000E+07 1.2780E-02 4.6501E+00
 1.2000E+07 1.1560E-02 4.9263E+00
 1.3000E+07 1.0560E-02 5.1833E+00
 1.4000E+07 9.7070E-03 5.4189E+00
 1.5000E+07 8.9830E-03 5.6373E+00
 1.6000E+07 8.3590E-03 5.8413E+00
 1.8000E+07 7.3370E-03 6.2147E+00
 2.0000E+07 6.5370E-03 6.5493E+00
 2.2000E+07 5.8940E-03 6.8531E+00
 2.4000E+07 5.3650E-03 7.1293E+00
 2.6000E+07 4.9230E-03 7.3810E+00
 2.8000E+07 4.5480E-03 7.6111E+00
 3.0000E+07 4.2260E-03 7.8239E+00
 3.5000E+07 3.5900E-03 8.2922E+00
 4.0000E+07 3.1200E-03 8.6886E+00
 4.5000E+07 2.7585E-03 9.0306E+00
 5.0000E+07 2.4720E-03 9.3296E+00
 6.0000E+07 2.0470E-03 9.8299E+00
 7.0000E+07 1.7467E-03 1.0234E+01
 8.0000E+07 1.5230E-03 1.0568E+01
 9.0000E+07 1.3498E-03 1.0850E+01
 1.0000E+08 1.2120E-03 1.1093E+01
 1.2500E+08 9.6598E-04 1.1573E+01
 1.5000E+08 8.0310E-04 1.1929E+01
 1.7500E+08 6.8708E-04 1.2204E+01
 2.0000E+08 6.0030E-04 1.2425E+01
 2.5000E+08 4.7928E-04 1.2767E+01
 3.0000E+08 3.9890E-04 1.3015E+01
 3.5000E+08 3.4161E-04 1.3202E+01
 4.0000E+08 2.9870E-04 1.3347E+01
 4.5000E+08 2.6535E-04 1.3465E+01
 5.0000E+08 2.3870E-04 1.3565E+01
 6.0000E+08 1.9880E-04 1.3731E+01
 7.0000E+08 1.7034E-04 1.3850E+01
 8.0000E+08 1.4900E-04 1.3939E+01
 9.0000E+08 1.3238E-04 1.4013E+01
 1.0000E+09 1.1910E-04 1.4075E+01
 1.5000E+09 7.9360E-05 1.4273E+01
 2.0000E+09 5.9500E-05 1.4387E+01
 3.0000E+09 3.9660E-05 1.4502E+01
 4.0000E+09 2.9740E-05 1.4565E+01
 5.0000E+09 2.3790E-05 1.4607E+01
 6.0000E+09 1.9820E-05 1.4628E+01
 8.0000E+09 1.4860E-05 1.4670E+01
 1.0000E+10 1.1890E-05 1.4691E+01
 1.5000E+10 7.9270E-06 1.4722E+01
 2.0000E+10 5.9450E-06 1.4733E+01
 3.0000E+10 3.9630E-06 1.4754E+01
 4.0000E+10 2.9720E-06 1.4764E+01
 5.0000E+10 2.3780E-06 1.4775E+01
 6.0000E+10 1.9820E-06 1.4775E+01
 8.0000E+10 1.4860E-06 1.4775E+01
 1.0000E+11 1.1890E-06 1.4785E+01
