 48
 1.0000E+03 1.3710E+06
 1.2500E+03 8.2565E+05
 1.5000E+03 5.4570E+05
 1.7500E+03 3.7704E+05
 2.0000E+03 2.7370E+05
 2.5000E+03 1.5718E+05
 3.0000E+03 9.9900E+04
 3.5000E+03 6.7473E+04
 3.5375E+03 6.5680E+04
 3.5375E+03 2.1400E+05
 3.6310E+03 2.0068E+05
 3.7270E+03 1.8810E+05
 3.7270E+03 2.5830E+05
 4.0000E+03 2.1730E+05
 4.0180E+03 2.1490E+05
 4.0180E+03 2.4660E+05
 4.5000E+03 1.8564E+05
 5.0000E+03 1.4260E+05
 6.0000E+03 8.8710E+04
 7.0000E+03 5.9020E+04
 8.0000E+03 4.1470E+04
 9.0000E+03 3.0192E+04
 1.0000E+04 2.2730E+04
 1.2500E+04 1.2320E+04
 1.5000E+04 7.4690E+03
 1.7500E+04 4.8585E+03
 2.0000E+04 3.3480E+03
 2.5000E+04 1.7836E+03
 2.6711E+04 1.4800E+03
 2.6711E+04 9.2890E+03
 3.0000E+04 6.8850E+03
 3.5000E+04 4.5973E+03
 4.0000E+04 3.2170E+03
 4.5000E+04 2.3349E+03
 5.0000E+04 1.7470E+03
 6.0000E+04 1.0520E+03
 7.0000E+04 6.8147E+02
 8.0000E+04 4.6620E+02
 9.0000E+04 3.3280E+02
 1.0000E+05 2.4580E+02
 1.2500E+05 1.2895E+02
 1.5000E+05 7.6020E+01
 1.7500E+05 4.8654E+01
 2.0000E+05 3.3100E+01
 2.5000E+05 1.7487E+01
 3.0000E+05 1.0480E+01
 3.5000E+05 6.8630E+00
 4.0000E+05 4.7960E+00
 4.5000E+05 3.5219E+00
 5.0000E+05 2.6910E+00
 6.0000E+05 1.7180E+00
 7.0000E+05 1.1929E+00
 8.0000E+05 8.8700E-01
 9.0000E+05 6.9466E-01
 1.0000E+06 5.5350E-01
 1.0220E+06 5.2670E-01 1.0000E-35
 1.2500E+06 3.5530E-01 3.0380E-02
 1.5000E+06 2.5460E-01 1.4180E-01
 1.7500E+06 1.9408E-01 3.0249E-01
 2.0000E+06 1.5520E-01 4.8940E-01
 2.0440E+06 1.4980E-01 5.2360E-01
 2.5000E+06 1.0884E-01 8.8231E-01
 3.0000E+06 8.2590E-02 1.2649E+00
 3.5000E+06 6.6082E-02 1.6243E+00
 4.0000E+06 5.4840E-02 1.9599E+00
 4.5000E+06 4.6724E-02 2.2737E+00
 5.0000E+06 4.0620E-02 2.5657E+00
 6.0000E+06 3.2100E-02 3.0901E+00
 7.0000E+06 2.6460E-02 3.5585E+00
 8.0000E+06 2.2470E-02 3.9816E+00
 9.0000E+06 1.9510E-02 4.3653E+00
 1.0000E+07 1.7230E-02 4.7177E+00
 1.1000E+07 1.5410E-02 5.0416E+00
 1.2000E+07 1.3940E-02 5.3412E+00
 1.3000E+07 1.2720E-02 5.6184E+00
 1.4000E+07 1.1700E-02 5.8733E+00
 1.5000E+07 1.0820E-02 6.1098E+00
 1.6000E+07 1.0070E-02 6.3301E+00
 1.8000E+07 8.8380E-03 6.7339E+00
 2.0000E+07 7.8730E-03 7.0958E+00
 2.2000E+07 7.0970E-03 7.4240E+00
 2.4000E+07 6.4590E-03 7.7224E+00
 2.6000E+07 5.9270E-03 7.9944E+00
 2.8000E+07 5.4750E-03 8.2428E+00
 3.0000E+07 5.0870E-03 8.4727E+00
 3.5000E+07 4.3210E-03 8.9783E+00
 4.0000E+07 3.7550E-03 9.4064E+00
 4.5000E+07 3.3199E-03 9.7760E+00
 5.0000E+07 2.9750E-03 1.0098E+01
 6.0000E+07 2.4630E-03 1.0634E+01
 7.0000E+07 2.1013E-03 1.1072E+01
 8.0000E+07 1.8320E-03 1.1436E+01
 9.0000E+07 1.6237E-03 1.1742E+01
 1.0000E+08 1.4580E-03 1.2003E+01
 1.2500E+08 1.1619E-03 1.2515E+01
 1.5000E+08 9.6590E-04 1.2900E+01
 1.7500E+08 8.2636E-04 1.3203E+01
 2.0000E+08 7.2200E-04 1.3447E+01
 2.5000E+08 5.7641E-04 1.3807E+01
 3.0000E+08 4.7970E-04 1.4067E+01
 3.5000E+08 4.1079E-04 1.4269E+01
 4.0000E+08 3.5920E-04 1.4429E+01
 4.5000E+08 3.1913E-04 1.4559E+01
 5.0000E+08 2.8710E-04 1.4668E+01
 6.0000E+08 2.3910E-04 1.4844E+01
 7.0000E+08 2.0480E-04 1.4974E+01
 8.0000E+08 1.7910E-04 1.5073E+01
 9.0000E+08 1.5914E-04 1.5153E+01
 1.0000E+09 1.4320E-04 1.5218E+01
 1.5000E+09 9.5430E-05 1.5427E+01
 2.0000E+09 7.1550E-05 1.5552E+01
 3.0000E+09 4.7680E-05 1.5677E+01
 4.0000E+09 3.5760E-05 1.5740E+01
 5.0000E+09 2.8600E-05 1.5782E+01
 6.0000E+09 2.3830E-05 1.5813E+01
 8.0000E+09 1.7870E-05 1.5855E+01
 1.0000E+10 1.4300E-05 1.5876E+01
 1.5000E+10 9.5320E-06 1.5907E+01
 2.0000E+10 7.1480E-06 1.5928E+01
 3.0000E+10 4.7650E-06 1.5949E+01
 4.0000E+10 3.5740E-06 1.5960E+01
 5.0000E+10 2.8590E-06 1.5960E+01
 6.0000E+10 2.3830E-06 1.5970E+01
 8.0000E+10 1.7870E-06 1.5970E+01
 1.0000E+11 1.4300E-06 1.5981E+01
