 51
 1.0000E+03 1.7340E+06
 1.2500E+03 1.0559E+06
 1.5000E+03 7.0420E+05
 1.7500E+03 4.8850E+05
 2.0000E+03 3.5580E+05
 2.5000E+03 2.0518E+05
 3.0000E+03 1.3080E+05
 3.5000E+03 8.8411E+04
 4.0000E+03 6.2950E+04
 4.1322E+03 5.7910E+04
 4.1322E+03 1.7470E+05
 4.2545E+03 1.6515E+05
 4.3804E+03 1.5610E+05
 4.3804E+03 2.1120E+05
 4.5000E+03 1.9845E+05
 4.6983E+03 1.7970E+05
 4.6983E+03 2.0710E+05
 5.0000E+03 1.7790E+05
 6.0000E+03 1.1170E+05
 7.0000E+03 7.4536E+04
 8.0000E+03 5.2510E+04
 9.0000E+03 3.8323E+04
 1.0000E+04 2.8930E+04
 1.2500E+04 1.5744E+04
 1.5000E+04 9.5800E+03
 1.7500E+04 6.2477E+03
 2.0000E+04 4.3140E+03
 2.5000E+04 2.3034E+03
 3.0000E+04 1.3790E+03
 3.0491E+04 1.3170E+03
 3.0491E+04 8.0740E+03
 3.5000E+04 5.6539E+03
 4.0000E+04 3.9820E+03
 4.5000E+04 2.9007E+03
 5.0000E+04 2.1760E+03
 6.0000E+04 1.3180E+03
 7.0000E+04 8.5785E+02
 8.0000E+04 5.8910E+02
 9.0000E+04 4.2190E+02
 1.0000E+05 3.1250E+02
 1.2500E+05 1.6488E+02
 1.5000E+05 9.7600E+01
 1.7500E+05 6.2660E+01
 2.0000E+05 4.2740E+01
 2.5000E+05 2.2681E+01
 3.0000E+05 1.3640E+01
 3.5000E+05 8.9550E+00
 4.0000E+05 6.2710E+00
 4.5000E+05 4.6136E+00
 5.0000E+05 3.5300E+00
 6.0000E+05 2.2570E+00
 7.0000E+05 1.5693E+00
 8.0000E+05 1.1680E+00
 9.0000E+05 9.1487E-01
 1.0000E+06 7.2920E-01
 1.0220E+06 6.9400E-01 1.0000E-35
 1.2500E+06 4.6800E-01 3.5780E-02
 1.5000E+06 3.3520E-01 1.6600E-01
 1.7500E+06 2.5559E-01 3.5142E-01
 2.0000E+06 2.0410E-01 5.6480E-01
 2.0440E+06 1.9690E-01 6.0370E-01
 2.5000E+06 1.4280E-01 1.0092E+00
 3.0000E+06 1.0840E-01 1.4391E+00
 3.5000E+06 8.6674E-02 1.8429E+00
 4.0000E+06 7.1860E-02 2.2194E+00
 4.5000E+06 6.1188E-02 2.5700E+00
 5.0000E+06 5.3170E-02 2.8957E+00
 6.0000E+06 4.1980E-02 3.4816E+00
 7.0000E+06 3.4580E-02 4.0035E+00
 8.0000E+06 2.9350E-02 4.4741E+00
 9.0000E+06 2.5470E-02 4.9013E+00
 1.0000E+07 2.2480E-02 5.2931E+00
 1.1000E+07 2.0110E-02 5.6545E+00
 1.2000E+07 1.8180E-02 5.9884E+00
 1.3000E+07 1.6590E-02 6.3000E+00
 1.4000E+07 1.5250E-02 6.5862E+00
 1.5000E+07 1.4110E-02 6.8511E+00
 1.6000E+07 1.3120E-02 7.0967E+00
 1.8000E+07 1.1510E-02 7.5471E+00
 2.0000E+07 1.0250E-02 7.9495E+00
 2.2000E+07 9.2420E-03 8.3152E+00
 2.4000E+07 8.4100E-03 8.6471E+00
 2.6000E+07 7.7150E-03 8.9504E+00
 2.8000E+07 7.1260E-03 9.2282E+00
 3.0000E+07 6.6200E-03 9.4845E+00
 3.5000E+07 5.6219E-03 1.0045E+01
 4.0000E+07 4.8850E-03 1.0521E+01
 4.5000E+07 4.3181E-03 1.0937E+01
 5.0000E+07 3.8690E-03 1.1300E+01
 6.0000E+07 3.2030E-03 1.1896E+01
 7.0000E+07 2.7323E-03 1.2384E+01
 8.0000E+07 2.3820E-03 1.2790E+01
 9.0000E+07 2.1113E-03 1.3128E+01
 1.0000E+08 1.8960E-03 1.3417E+01
 1.2500E+08 1.5111E-03 1.3994E+01
 1.5000E+08 1.2560E-03 1.4425E+01
 1.7500E+08 1.0743E-03 1.4757E+01
 2.0000E+08 9.3840E-04 1.5023E+01
 2.5000E+08 7.4917E-04 1.5430E+01
 3.0000E+08 6.2350E-04 1.5725E+01
 3.5000E+08 5.3389E-04 1.5949E+01
 4.0000E+08 4.6680E-04 1.6128E+01
 4.5000E+08 4.1472E-04 1.6275E+01
 5.0000E+08 3.7310E-04 1.6397E+01
 6.0000E+08 3.1070E-04 1.6584E+01
 7.0000E+08 2.6615E-04 1.6728E+01
 8.0000E+08 2.3280E-04 1.6843E+01
 9.0000E+08 2.0691E-04 1.6934E+01
 1.0000E+09 1.8620E-04 1.7009E+01
 1.5000E+09 1.2400E-04 1.7247E+01
 2.0000E+09 9.2980E-05 1.7373E+01
 3.0000E+09 6.1960E-05 1.7518E+01
 4.0000E+09 4.6470E-05 1.7591E+01
 5.0000E+09 3.7170E-05 1.7643E+01
 6.0000E+09 3.0970E-05 1.7675E+01
 8.0000E+09 2.3230E-05 1.7716E+01
 1.0000E+10 1.8580E-05 1.7748E+01
 1.5000E+10 1.2390E-05 1.7779E+01
 2.0000E+10 9.2890E-06 1.7800E+01
 3.0000E+10 6.1930E-06 1.7821E+01
 4.0000E+10 4.6440E-06 1.7832E+01
 5.0000E+10 3.7150E-06 1.7842E+01
 6.0000E+10 3.0960E-06 1.7852E+01
 8.0000E+10 2.3220E-06 1.7852E+01
 1.0000E+11 1.8580E-06 1.7863E+01
