 52
 1.0000E+03 1.7850E+06
 1.0030E+03 1.7739E+06
 1.0060E+03 1.7630E+06
 1.0060E+03 1.8380E+06
 1.2500E+03 1.1397E+06
 1.5000E+03 7.6280E+05
 1.7500E+03 5.3009E+05
 2.0000E+03 3.8670E+05
 2.5000E+03 2.2332E+05
 3.0000E+03 1.4260E+05
 3.5000E+03 9.6426E+04
 4.0000E+03 6.8710E+04
 4.3414E+03 5.5650E+04
 4.3414E+03 1.6590E+05
 4.5000E+03 1.5452E+05
 4.6120E+03 1.4720E+05
 4.6120E+03 1.9910E+05
 4.7728E+03 1.8386E+05
 4.9392E+03 1.6980E+05
 4.9392E+03 1.9590E+05
 5.0000E+03 1.9000E+05
 6.0000E+03 1.2030E+05
 7.0000E+03 8.0284E+04
 8.0000E+03 5.6540E+04
 9.0000E+03 4.1334E+04
 1.0000E+04 3.1230E+04
 1.2500E+04 1.7026E+04
 1.5000E+04 1.0370E+04
 1.7500E+04 6.7700E+03
 2.0000E+04 4.6780E+03
 2.5000E+04 2.5007E+03
 3.0000E+04 1.4990E+03
 3.1814E+04 1.2690E+03
 3.1814E+04 7.7230E+03
 3.5000E+04 6.0338E+03
 4.0000E+04 4.2550E+03
 4.5000E+04 3.1056E+03
 5.0000E+04 2.3340E+03
 6.0000E+04 1.4170E+03
 7.0000E+04 9.2352E+02
 8.0000E+04 6.3480E+02
 9.0000E+04 4.5501E+02
 1.0000E+05 3.3730E+02
 1.2500E+05 1.7830E+02
 1.5000E+05 1.0570E+02
 1.7500E+05 6.7927E+01
 2.0000E+05 4.6370E+01
 2.5000E+05 2.4647E+01
 3.0000E+05 1.4840E+01
 3.5000E+05 9.7500E+00
 4.0000E+05 6.8310E+00
 4.5000E+05 5.0277E+00
 5.0000E+05 3.8490E+00
 6.0000E+05 2.4640E+00
 7.0000E+05 1.7132E+00
 8.0000E+05 1.2750E+00
 9.0000E+05 9.9915E-01
 1.0000E+06 7.9650E-01
 1.0220E+06 7.5800E-01 1.0000E-35
 1.2500E+06 5.1120E-01 3.7700E-02
 1.5000E+06 3.6600E-01 1.7460E-01
 1.7500E+06 2.7912E-01 3.6889E-01
 2.0000E+06 2.2280E-01 5.9160E-01
 2.0440E+06 2.1490E-01 6.3210E-01
 2.5000E+06 1.5572E-01 1.0538E+00
 3.0000E+06 1.1820E-01 1.5001E+00
 3.5000E+06 9.4502E-02 1.9190E+00
 4.0000E+06 7.8340E-02 2.3095E+00
 4.5000E+06 6.6697E-02 2.6733E+00
 5.0000E+06 5.7950E-02 3.0110E+00
 6.0000E+06 4.5740E-02 3.6171E+00
 7.0000E+06 3.7670E-02 4.1572E+00
 8.0000E+06 3.1970E-02 4.6439E+00
 9.0000E+06 2.7730E-02 5.0863E+00
 1.0000E+07 2.4470E-02 5.4922E+00
 1.1000E+07 2.1890E-02 5.8658E+00
 1.2000E+07 1.9790E-02 6.2118E+00
 1.3000E+07 1.8050E-02 6.5335E+00
 1.4000E+07 1.6600E-02 6.8299E+00
 1.5000E+07 1.5350E-02 7.1049E+00
 1.6000E+07 1.4280E-02 7.3596E+00
 1.8000E+07 1.2530E-02 7.8262E+00
 2.0000E+07 1.1160E-02 8.2438E+00
 2.2000E+07 1.0060E-02 8.6226E+00
 2.4000E+07 9.1500E-03 8.9667E+00
 2.6000E+07 8.3940E-03 9.2811E+00
 2.8000E+07 7.7530E-03 9.5680E+00
 3.0000E+07 7.2020E-03 9.8334E+00
 3.5000E+07 6.1151E-03 1.0418E+01
 4.0000E+07 5.3130E-03 1.0914E+01
 4.5000E+07 4.6966E-03 1.1342E+01
 5.0000E+07 4.2080E-03 1.1714E+01
 6.0000E+07 3.4830E-03 1.2330E+01
 7.0000E+07 2.9715E-03 1.2835E+01
 8.0000E+07 2.5910E-03 1.3254E+01
 9.0000E+07 2.2965E-03 1.3604E+01
 1.0000E+08 2.0620E-03 1.3902E+01
 1.2500E+08 1.6427E-03 1.4495E+01
 1.5000E+08 1.3650E-03 1.4941E+01
 1.7500E+08 1.1675E-03 1.5290E+01
 2.0000E+08 1.0200E-03 1.5569E+01
 2.5000E+08 8.1452E-04 1.5987E+01
 3.0000E+08 6.7800E-04 1.6291E+01
 3.5000E+08 5.8059E-04 1.6526E+01
 4.0000E+08 5.0760E-04 1.6714E+01
 4.5000E+08 4.5089E-04 1.6867E+01
 5.0000E+08 4.0560E-04 1.6993E+01
 6.0000E+08 3.3780E-04 1.7190E+01
 7.0000E+08 2.8938E-04 1.7334E+01
 8.0000E+08 2.5310E-04 1.7449E+01
 9.0000E+08 2.2493E-04 1.7546E+01
 1.0000E+09 2.0240E-04 1.7625E+01
 1.5000E+09 1.3480E-04 1.7864E+01
 2.0000E+09 1.0110E-04 1.8000E+01
 3.0000E+09 6.7370E-05 1.8145E+01
 4.0000E+09 5.0520E-05 1.8228E+01
 5.0000E+09 4.0410E-05 1.8280E+01
 6.0000E+09 3.3680E-05 1.8312E+01
 8.0000E+09 2.5250E-05 1.8354E+01
 1.0000E+10 2.0200E-05 1.8385E+01
 1.5000E+10 1.3470E-05 1.8427E+01
 2.0000E+10 1.0100E-05 1.8447E+01
 3.0000E+10 6.7330E-06 1.8468E+01
 4.0000E+10 5.0500E-06 1.8479E+01
 5.0000E+10 4.0400E-06 1.8489E+01
 6.0000E+10 3.3660E-06 1.8490E+01
 8.0000E+10 2.5250E-06 1.8500E+01
 1.0000E+11 2.0200E-06 1.8500E+01
