 53
 1.0000E+03 1.9150E+06
 1.0354E+03 1.7807E+06
 1.0721E+03 1.6560E+06
 1.0721E+03 1.7270E+06
 1.2500E+03 1.2314E+06
 1.5000E+03 8.2420E+05
 1.7500E+03 5.7370E+05
 2.0000E+03 4.1920E+05
 2.5000E+03 2.4242E+05
 3.0000E+03 1.5500E+05
 3.5000E+03 1.0492E+05
 4.0000E+03 7.4830E+04
 4.5000E+03 5.5262E+04
 4.5571E+03 5.3500E+04
 4.5571E+03 1.5800E+05
 4.7023E+03 1.4808E+05
 4.8521E+03 1.3880E+05
 4.8521E+03 1.8720E+05
 5.0000E+03 1.7660E+05
 5.1881E+03 1.6050E+05
 5.1881E+03 1.8520E+05
 6.0000E+03 1.2920E+05
 7.0000E+03 8.6271E+04
 8.0000E+03 6.0820E+04
 9.0000E+03 4.4502E+04
 1.0000E+04 3.3660E+04
 1.2500E+04 1.8380E+04
 1.5000E+04 1.1210E+04
 1.7500E+04 7.3241E+03
 2.0000E+04 5.0650E+03
 2.5000E+04 2.7101E+03
 3.0000E+04 1.6260E+03
 3.3169E+04 1.2240E+03
 3.3169E+04 7.3930E+03
 3.5000E+04 6.4272E+03
 4.0000E+04 4.5320E+03
 4.5000E+04 3.3184E+03
 5.0000E+04 2.5010E+03
 6.0000E+04 1.5190E+03
 7.0000E+04 9.9141E+02
 8.0000E+04 6.8280E+02
 9.0000E+04 4.9000E+02
 1.0000E+05 3.6350E+02
 1.2500E+05 1.9241E+02
 1.5000E+05 1.1420E+02
 1.7500E+05 7.3481E+01
 2.0000E+05 5.0220E+01
 2.5000E+05 2.6741E+01
 3.0000E+05 1.6120E+01
 3.5000E+05 1.0599E+01
 4.0000E+05 7.4290E+00
 4.5000E+05 5.4698E+00
 5.0000E+05 4.1890E+00
 6.0000E+05 2.6840E+00
 7.0000E+05 1.8675E+00
 8.0000E+05 1.3900E+00
 9.0000E+05 1.0889E+00
 1.0000E+06 8.6830E-01
 1.0220E+06 8.2650E-01 1.0000E-35
 1.2500E+06 5.5730E-01 3.9690E-02
 1.5000E+06 3.9890E-01 1.8360E-01
 1.7500E+06 3.0416E-01 3.8699E-01
 2.0000E+06 2.4280E-01 6.1930E-01
 2.0440E+06 2.3420E-01 6.6150E-01
 2.5000E+06 1.6974E-01 1.1000E+00
 3.0000E+06 1.2880E-01 1.5631E+00
 3.5000E+06 1.0291E-01 1.9973E+00
 4.0000E+06 8.5270E-02 2.4017E+00
 4.5000E+06 7.2580E-02 2.7781E+00
 5.0000E+06 6.3050E-02 3.1273E+00
 6.0000E+06 4.9750E-02 3.7546E+00
 7.0000E+06 4.0970E-02 4.3138E+00
 8.0000E+06 3.4760E-02 4.8167E+00
 9.0000E+06 3.0150E-02 5.2743E+00
 1.0000E+07 2.6600E-02 5.6934E+00
 1.1000E+07 2.3790E-02 6.0800E+00
 1.2000E+07 2.1510E-02 6.4383E+00
 1.3000E+07 1.9620E-02 6.7711E+00
 1.4000E+07 1.8030E-02 7.0775E+00
 1.5000E+07 1.6680E-02 7.3627E+00
 1.6000E+07 1.5520E-02 7.6265E+00
 1.8000E+07 1.3610E-02 8.1082E+00
 2.0000E+07 1.2120E-02 8.5410E+00
 2.2000E+07 1.0920E-02 8.9330E+00
 2.4000E+07 9.9400E-03 9.2892E+00
 2.6000E+07 9.1180E-03 9.6148E+00
 2.8000E+07 8.4210E-03 9.9118E+00
 3.0000E+07 7.8230E-03 1.0190E+01
 3.5000E+07 6.6420E-03 1.0793E+01
 4.0000E+07 5.7700E-03 1.1297E+01
 4.5000E+07 5.1003E-03 1.1739E+01
 5.0000E+07 4.5700E-03 1.2128E+01
 6.0000E+07 3.7830E-03 1.2774E+01
 7.0000E+07 3.2267E-03 1.3290E+01
 8.0000E+07 2.8130E-03 1.3719E+01
 9.0000E+07 2.4934E-03 1.4083E+01
 1.0000E+08 2.2390E-03 1.4396E+01
 1.2500E+08 1.7835E-03 1.5015E+01
 1.5000E+08 1.4820E-03 1.5476E+01
 1.7500E+08 1.2680E-03 1.5835E+01
 2.0000E+08 1.1080E-03 1.6124E+01
 2.5000E+08 8.8451E-04 1.6560E+01
 3.0000E+08 7.3600E-04 1.6877E+01
 3.5000E+08 6.3026E-04 1.7120E+01
 4.0000E+08 5.5110E-04 1.7311E+01
 4.5000E+08 4.8958E-04 1.7462E+01
 5.0000E+08 4.4040E-04 1.7590E+01
 6.0000E+08 3.6670E-04 1.7797E+01
 7.0000E+08 3.1417E-04 1.7949E+01
 8.0000E+08 2.7480E-04 1.8066E+01
 9.0000E+08 2.4418E-04 1.8162E+01
 1.0000E+09 2.1970E-04 1.8242E+01
 1.5000E+09 1.4640E-04 1.8501E+01
 2.0000E+09 1.0970E-04 1.8647E+01
 3.0000E+09 7.3140E-05 1.8792E+01
 4.0000E+09 5.4850E-05 1.8876E+01
 5.0000E+09 4.3870E-05 1.8928E+01
 6.0000E+09 3.6560E-05 1.8959E+01
 8.0000E+09 2.7420E-05 1.9011E+01
 1.0000E+10 2.1930E-05 1.9042E+01
 1.5000E+10 1.4620E-05 1.9084E+01
 2.0000E+10 1.0960E-05 1.9105E+01
 3.0000E+10 7.3090E-06 1.9126E+01
 4.0000E+10 5.4820E-06 1.9136E+01
 5.0000E+10 4.3860E-06 1.9147E+01
 6.0000E+10 3.6550E-06 1.9147E+01
 8.0000E+10 2.7410E-06 1.9157E+01
 1.0000E+11 2.1930E-06 1.9157E+01
