 56
 1.0000E+03 1.9460E+06
 1.0306E+03 1.8190E+06
 1.0622E+03 1.7010E+06
 1.0622E+03 1.9470E+06
 1.0988E+03 1.8121E+06
 1.1367E+03 1.6870E+06
 1.1367E+03 1.7850E+06
 1.2500E+03 1.4631E+06
 1.2928E+03 1.3640E+06
 1.2928E+03 1.4250E+06
 1.5000E+03 1.0240E+06
 1.7500E+03 7.1738E+05
 2.0000E+03 5.2700E+05
 2.5000E+03 3.0647E+05
 3.0000E+03 1.9680E+05
 3.5000E+03 1.3360E+05
 4.0000E+03 9.5500E+04
 4.5000E+03 7.0613E+04
 5.0000E+03 5.3890E+04
 5.2470E+03 4.7570E+04
 5.2470E+03 1.3790E+05
 5.4320E+03 1.2693E+05
 5.6236E+03 1.1680E+05
 5.6236E+03 1.5890E+05
 5.8033E+03 1.4707E+05
 5.9888E+03 1.3610E+05
 5.9888E+03 1.5710E+05
 6.0000E+03 1.5630E+05
 7.0000E+03 1.0563E+05
 8.0000E+03 7.5220E+04
 9.0000E+03 5.5126E+04
 1.0000E+04 4.1740E+04
 1.2500E+04 2.2901E+04
 1.5000E+04 1.4020E+04
 1.7500E+04 9.1853E+03
 2.0000E+04 6.3680E+03
 2.5000E+04 3.4192E+03
 3.0000E+04 2.0570E+03
 3.5000E+04 1.3322E+03
 3.7441E+04 1.1020E+03
 3.7441E+04 6.5040E+03
 4.0000E+04 5.4630E+03
 4.5000E+04 4.0114E+03
 5.0000E+04 3.0370E+03
 6.0000E+04 1.8540E+03
 7.0000E+04 1.2155E+03
 8.0000E+04 8.4060E+02
 9.0000E+04 6.0524E+02
 1.0000E+05 4.5020E+02
 1.2500E+05 2.3960E+02
 1.5000E+05 1.4280E+02
 1.7500E+05 9.2186E+01
 2.0000E+05 6.3170E+01
 2.5000E+05 3.3771E+01
 3.0000E+05 2.0420E+01
 3.5000E+05 1.3462E+01
 4.0000E+05 9.4590E+00
 4.5000E+05 6.9793E+00
 5.0000E+05 5.3520E+00
 6.0000E+05 3.4350E+00
 7.0000E+05 2.4009E+00
 8.0000E+05 1.7830E+00
 9.0000E+05 1.3851E+00
 1.0000E+06 1.1140E+00
 1.0220E+06 1.0660E+00 1.0000E-35
 1.2500E+06 7.1900E-01 4.6050E-02
 1.5000E+06 5.1440E-01 2.1280E-01
 1.7500E+06 3.9195E-01 4.4531E-01
 2.0000E+06 3.1270E-01 7.0780E-01
 2.0440E+06 3.0170E-01 7.5540E-01
 2.5000E+06 2.1863E-01 1.2476E+00
 3.0000E+06 1.6560E-01 1.7633E+00
 3.5000E+06 1.3221E-01 2.2437E+00
 4.0000E+06 1.0950E-01 2.6902E+00
 4.5000E+06 9.3148E-02 3.1057E+00
 5.0000E+06 8.0870E-02 3.4913E+00
 6.0000E+06 6.3760E-02 4.1831E+00
 7.0000E+06 5.2470E-02 4.7988E+00
 8.0000E+06 4.4490E-02 5.3523E+00
 9.0000E+06 3.8580E-02 5.8553E+00
 1.0000E+07 3.4030E-02 6.3168E+00
 1.1000E+07 3.0420E-02 6.7429E+00
 1.2000E+07 2.7500E-02 7.1375E+00
 1.3000E+07 2.5080E-02 7.5067E+00
 1.4000E+07 2.3040E-02 7.8465E+00
 1.5000E+07 2.1310E-02 8.1610E+00
 1.6000E+07 1.9820E-02 8.4531E+00
 1.8000E+07 1.7380E-02 8.9844E+00
 2.0000E+07 1.5480E-02 9.4607E+00
 2.2000E+07 1.3940E-02 9.8922E+00
 2.4000E+07 1.2690E-02 1.0287E+01
 2.6000E+07 1.1630E-02 1.0645E+01
 2.8000E+07 1.0740E-02 1.0972E+01
 3.0000E+07 9.9800E-03 1.1269E+01
 3.5000E+07 8.4737E-03 1.1935E+01
 4.0000E+07 7.3590E-03 1.2508E+01
 4.5000E+07 6.5040E-03 1.2996E+01
 5.0000E+07 5.8270E-03 1.3419E+01
 6.0000E+07 4.8220E-03 1.4126E+01
 7.0000E+07 4.1125E-03 1.4697E+01
 8.0000E+07 3.5850E-03 1.5172E+01
 9.0000E+07 3.1774E-03 1.5575E+01
 1.0000E+08 2.8530E-03 1.5921E+01
 1.2500E+08 2.2729E-03 1.6604E+01
 1.5000E+08 1.8890E-03 1.7112E+01
 1.7500E+08 1.6161E-03 1.7504E+01
 2.0000E+08 1.4120E-03 1.7821E+01
