 57
 1.0000E+03 2.0940E+06
 1.0599E+03 1.8376E+06
 1.1234E+03 1.6130E+06
 1.1234E+03 1.8490E+06
 1.1632E+03 1.7158E+06
 1.2044E+03 1.5920E+06
 1.2044E+03 1.6870E+06
 1.2500E+03 1.5591E+06
 1.3613E+03 1.3020E+06
 1.3613E+03 1.3600E+06
 1.5000E+03 1.0990E+06
 1.7500E+03 7.7055E+05
 2.0000E+03 5.6660E+05
 2.5000E+03 3.3004E+05
 3.0000E+03 2.1220E+05
 3.5000E+03 1.4416E+05
 4.0000E+03 1.0310E+05
 4.5000E+03 7.6308E+04
 5.0000E+03 5.8280E+04
 5.4827E+03 4.5910E+04
 5.4827E+03 1.3180E+05
 5.6830E+03 1.2082E+05
 5.8906E+03 1.1070E+05
 5.8906E+03 1.5000E+05
 6.0000E+03 1.4470E+05
 6.2663E+03 1.2940E+05
 6.2663E+03 1.4930E+05
 7.0000E+03 1.1288E+05
 8.0000E+03 8.0540E+04
 9.0000E+03 5.9011E+04
 1.0000E+04 4.4680E+04
 1.2500E+04 2.4557E+04
 1.5000E+04 1.5060E+04
 1.7500E+04 9.8735E+03
 2.0000E+04 6.8500E+03
 2.5000E+04 3.6825E+03
 3.0000E+04 2.2180E+03
 3.5000E+04 1.4370E+03
 3.8925E+04 1.0650E+03
 3.8925E+04 6.2450E+03
 4.0000E+04 5.8020E+03
 4.5000E+04 4.2515E+03
 5.0000E+04 3.2270E+03
 6.0000E+04 1.9770E+03
 7.0000E+04 1.2977E+03
 8.0000E+04 8.9810E+02
 9.0000E+04 6.4729E+02
 1.0000E+05 4.8200E+02
 1.2500E+05 2.5704E+02
 1.5000E+05 1.5340E+02
 1.7500E+05 9.9125E+01
 2.0000E+05 6.7980E+01
 2.5000E+05 3.6393E+01
 3.0000E+05 2.2030E+01
 3.5000E+05 1.4535E+01
 4.0000E+05 1.0220E+01
 4.5000E+05 7.5452E+00
 5.0000E+05 5.7890E+00
 6.0000E+05 3.7180E+00
 7.0000E+05 2.5989E+00
 8.0000E+05 1.9320E+00
 9.0000E+05 1.5036E+00
 1.0000E+06 1.2080E+00
 1.0220E+06 1.1550E+00 1.0000E-35
 1.2500E+06 7.7910E-01 4.8310E-02
 1.5000E+06 5.5720E-01 2.2320E-01
 1.7500E+06 4.2470E-01 4.6600E-01
 2.0000E+06 3.3870E-01 7.3910E-01
 2.0440E+06 3.2670E-01 7.8860E-01
 2.5000E+06 2.3654E-01 1.2995E+00
 3.0000E+06 1.7920E-01 1.8333E+00
 3.5000E+06 1.4302E-01 2.3296E+00
 4.0000E+06 1.1840E-01 2.7904E+00
 4.5000E+06 1.0072E-01 3.2193E+00
 5.0000E+06 8.7450E-02 3.6176E+00
 6.0000E+06 6.8930E-02 4.3316E+00
 7.0000E+06 5.6710E-02 4.9655E+00
 8.0000E+06 4.8080E-02 5.5361E+00
 9.0000E+06 4.1690E-02 6.0552E+00
 1.0000E+07 3.6760E-02 6.5309E+00
 1.1000E+07 3.2860E-02 6.9702E+00
 1.2000E+07 2.9700E-02 7.3779E+00
 1.3000E+07 2.7080E-02 7.7582E+00
 1.4000E+07 2.4890E-02 8.1092E+00
 1.5000E+07 2.3020E-02 8.4347E+00
 1.6000E+07 2.1410E-02 8.7360E+00
 1.8000E+07 1.8770E-02 9.2835E+00
 2.0000E+07 1.6710E-02 9.7740E+00
 2.2000E+07 1.5050E-02 1.0221E+01
 2.4000E+07 1.3700E-02 1.0629E+01
 2.6000E+07 1.2560E-02 1.0998E+01
 2.8000E+07 1.1600E-02 1.1335E+01
 3.0000E+07 1.0770E-02 1.1642E+01
 3.5000E+07 9.1406E-03 1.2326E+01
 4.0000E+07 7.9430E-03 1.2911E+01
 4.5000E+07 7.0207E-03 1.3414E+01
 5.0000E+07 6.2890E-03 1.3853E+01
 6.0000E+07 5.2040E-03 1.4590E+01
 7.0000E+07 4.4383E-03 1.5185E+01
 8.0000E+07 3.8690E-03 1.5676E+01
 9.0000E+07 3.4291E-03 1.6091E+01
 1.0000E+08 3.0790E-03 1.6445E+01
 1.2500E+08 2.4527E-03 1.7144E+01
 1.5000E+08 2.0380E-03 1.7667E+01
 1.7500E+08 1.7432E-03 1.8077E+01
