 59
 1.0000E+03 2.4740E+06
 1.1145E+03 1.9051E+06
 1.2422E+03 1.4670E+06
 1.2422E+03 1.6880E+06
 1.2500E+03 1.6652E+06
 1.3374E+03 1.4350E+06
 1.3374E+03 1.5220E+06
 1.5000E+03 1.1890E+06
 1.5110E+03 1.1700E+06
 1.5110E+03 1.2230E+06
 1.7500E+03 8.7538E+05
 2.0000E+03 6.4570E+05
 2.5000E+03 3.7731E+05
 3.0000E+03 2.4320E+05
 3.5000E+03 1.6549E+05
 4.0000E+03 1.1860E+05
 4.5000E+03 8.7801E+04
 5.0000E+03 6.7120E+04
 5.9643E+03 4.2540E+04
 5.9643E+03 1.1980E+05
 6.0000E+03 1.1920E+05
 6.4404E+03 9.9740E+04
 6.4404E+03 1.3590E+05
 6.6347E+03 1.2631E+05
 6.8348E+03 1.1730E+05
 6.8348E+03 1.3550E+05
 7.0000E+03 1.2766E+05
 8.0000E+03 9.1490E+04
 9.0000E+03 6.7146E+04
 1.0000E+04 5.0920E+04
 1.2500E+04 2.8079E+04
 1.5000E+04 1.7270E+04
 1.7500E+04 1.1340E+04
 2.0000E+04 7.8790E+03
 2.5000E+04 4.2459E+03
 3.0000E+04 2.5620E+03
 3.5000E+04 1.6624E+03
 4.0000E+04 1.1430E+03
 4.1991E+04 9.9640E+02
 4.1991E+04 5.7430E+03
 4.5000E+04 4.7818E+03
 5.0000E+04 3.6210E+03
 6.0000E+04 2.2380E+03
 7.0000E+04 1.4744E+03
 8.0000E+04 1.0210E+03
 9.0000E+04 7.3716E+02
 1.0000E+05 5.5010E+02
 1.2500E+05 2.9439E+02
 1.5000E+05 1.7610E+02
 1.7500E+05 1.1404E+02
 2.0000E+05 7.8360E+01
 2.5000E+05 4.2079E+01
 3.0000E+05 2.5530E+01
 3.5000E+05 1.6873E+01
 4.0000E+05 1.1880E+01
 4.5000E+05 8.7800E+00
 5.0000E+05 6.7420E+00
 6.0000E+05 4.3360E+00
 7.0000E+05 3.0345E+00
 8.0000E+05 2.2560E+00
 9.0000E+05 1.7543E+00
 1.0000E+06 1.4110E+00
 1.0220E+06 1.3500E+00 1.0000E-35
 1.2500E+06 9.1030E-01 5.3050E-02
 1.5000E+06 6.5080E-01 2.4510E-01
 1.7500E+06 4.9589E-01 5.0963E-01
 2.0000E+06 3.9540E-01 8.0460E-01
 2.0440E+06 3.8140E-01 8.5790E-01
 2.5000E+06 2.7597E-01 1.4060E+00
 3.0000E+06 2.0890E-01 1.9764E+00
 3.5000E+06 1.6671E-01 2.5059E+00
 4.0000E+06 1.3800E-01 2.9967E+00
 4.5000E+06 1.1732E-01 3.4525E+00
 5.0000E+06 1.0180E-01 3.8753E+00
 6.0000E+06 8.0210E-02 4.6336E+00
 7.0000E+06 6.5960E-02 5.3068E+00
 8.0000E+06 5.5910E-02 5.9118E+00
 9.0000E+06 4.8460E-02 6.4622E+00
 1.0000E+07 4.2720E-02 6.9682E+00
 1.1000E+07 3.8180E-02 7.4347E+00
 1.2000E+07 3.4500E-02 7.8667E+00
 1.3000E+07 3.1460E-02 8.2703E+00
 1.4000E+07 2.8900E-02 8.6435E+00
 1.5000E+07 2.6730E-02 8.9902E+00
 1.6000E+07 2.4850E-02 9.3117E+00
 1.8000E+07 2.1790E-02 9.8946E+00
 2.0000E+07 1.9400E-02 1.0416E+01
 2.2000E+07 1.7470E-02 1.0895E+01
 2.4000E+07 1.5890E-02 1.1325E+01
 2.6000E+07 1.4580E-02 1.1713E+01
 2.8000E+07 1.3460E-02 1.2071E+01
 3.0000E+07 1.2500E-02 1.2408E+01
 3.5000E+07 1.0609E-02 1.3142E+01
 4.0000E+07 9.2140E-03 1.3758E+01
 4.5000E+07 8.1425E-03 1.4293E+01
 5.0000E+07 7.2940E-03 1.4760E+01
 6.0000E+07 6.0360E-03 1.5538E+01
 7.0000E+07 5.1477E-03 1.6171E+01
 8.0000E+07 4.4870E-03 1.6695E+01
 9.0000E+07 3.9764E-03 1.7132E+01
 1.0000E+08 3.5700E-03 1.7505E+01
 1.2500E+08 2.8436E-03 1.8249E+01
 1.5000E+08 2.3630E-03 1.8807E+01
 1.7500E+08 2.0214E-03 1.9240E+01
 2.0000E+08 1.7660E-03 1.9587E+01
 2.5000E+08 1.4097E-03 2.0116E+01
 3.0000E+08 1.1730E-03 2.0502E+01
 3.5000E+08 1.0044E-03 2.0796E+01
 4.0000E+08 8.7810E-04 2.1027E+01
 4.5000E+08 7.8004E-04 2.1212E+01
 5.0000E+08 7.0170E-04 2.1367E+01
 6.0000E+08 5.8440E-04 2.1615E+01
 7.0000E+08 5.0067E-04 2.1800E+01
 8.0000E+08 4.3790E-04 2.1945E+01
 9.0000E+08 3.8911E-04 2.2064E+01
 1.0000E+09 3.5010E-04 2.2162E+01
 1.5000E+09 2.3320E-04 2.2472E+01
 2.0000E+09 1.7490E-04 2.2638E+01
 3.0000E+09 1.1650E-04 2.2825E+01
 4.0000E+09 8.7380E-05 2.2928E+01
 5.0000E+09 6.9900E-05 2.2991E+01
 6.0000E+09 5.8240E-05 2.3032E+01
 8.0000E+09 4.3680E-05 2.3085E+01
 1.0000E+10 3.4940E-05 2.3126E+01
 1.5000E+10 2.3290E-05 2.3168E+01
 2.0000E+10 1.7470E-05 2.3199E+01
 3.0000E+10 1.1650E-05 2.3230E+01
 4.0000E+10 8.7340E-06 2.3241E+01
 5.0000E+10 6.9870E-06 2.3251E+01
 6.0000E+10 5.8220E-06 2.3261E+01
 8.0000E+10 4.3670E-06 2.3262E+01
 1.0000E+11 3.4930E-06 2.3272E+01
