 66
 1.0000E+03 6.7020E+05
 1.2500E+03 4.3647E+05
 1.2949E+03 4.0790E+05
 1.2949E+03 5.7030E+05
 1.3136E+03 8.4955E+05
 1.3325E+03 1.2640E+06
 1.3325E+03 1.4830E+06
 1.5000E+03 1.4950E+06
 1.6756E+03 1.1390E+06
 1.6756E+03 1.3180E+06
 1.7500E+03 1.1909E+06
 1.8418E+03 1.0560E+06
 1.8418E+03 1.1220E+06
 2.0000E+03 9.3290E+05
 2.0468E+03 8.8470E+05
 2.0468E+03 9.2410E+05
 2.5000E+03 5.7797E+05
 3.0000E+03 3.7680E+05
 3.5000E+03 2.5784E+05
 4.0000E+03 1.8560E+05
 4.5000E+03 1.3800E+05
 5.0000E+03 1.0590E+05
 6.0000E+03 6.6440E+04
 7.0000E+03 4.4551E+04
 7.7901E+03 3.3770E+04
 7.7901E+03 9.1460E+04
 8.0000E+03 8.6960E+04
 8.5806E+03 7.1540E+04
 8.5806E+03 9.7930E+04
 9.0000E+03 8.7078E+04
 9.0458E+03 8.6000E+04
 9.0458E+03 9.9400E+04
 1.0000E+04 7.7290E+04
 1.2500E+04 4.3112E+04
 1.5000E+04 2.6760E+04
 1.7500E+04 1.7700E+04
 2.0000E+04 1.2370E+04
 2.5000E+04 6.7258E+03
 3.0000E+04 4.0880E+03
 3.5000E+04 2.6658E+03
 4.0000E+04 1.8410E+03
 4.5000E+04 1.3248E+03
 5.0000E+04 9.8680E+02
 5.3788E+04 8.0390E+02
 5.3788E+04 4.3820E+03
 6.0000E+04 3.2740E+03
 7.0000E+04 2.1833E+03
 8.0000E+04 1.5350E+03
 9.0000E+04 1.1175E+03
 1.0000E+05 8.3800E+02
 1.2500E+05 4.5376E+02
 1.5000E+05 2.7420E+02
 1.7500E+05 1.7893E+02
 2.0000E+05 1.2370E+02
 2.5000E+05 6.7096E+01
 3.0000E+05 4.1030E+01
 3.5000E+05 2.7289E+01
 4.0000E+05 1.9310E+01
 4.5000E+05 1.4329E+01
 5.0000E+05 1.1040E+01
 6.0000E+05 7.1360E+00
 7.0000E+05 5.0104E+00
 8.0000E+05 3.7330E+00
 9.0000E+05 2.9070E+00
 1.0000E+06 2.3400E+00
 1.0220E+06 2.2390E+00 1.0000E-35
 1.2500E+06 1.5090E+00 7.2090E-02
 1.5000E+06 1.0780E+00 3.3380E-01
 1.7500E+06 8.2070E-01 6.8492E-01
 2.0000E+06 6.5360E-01 1.0650E+00
 2.0440E+06 6.3030E-01 1.1330E+00
 2.5000E+06 4.5524E-01 1.8232E+00
 3.0000E+06 3.4410E-01 2.5297E+00
 3.5000E+06 2.7416E-01 3.1803E+00
 4.0000E+06 2.2660E-01 3.7798E+00
 4.5000E+06 1.9241E-01 4.3334E+00
 5.0000E+06 1.6680E-01 4.8456E+00
 6.0000E+06 1.3120E-01 5.7651E+00
 7.0000E+06 1.0770E-01 6.5785E+00
 8.0000E+06 9.1210E-02 7.3096E+00
 9.0000E+06 7.8980E-02 7.9751E+00
 1.0000E+07 6.9590E-02 8.5852E+00
 1.1000E+07 6.2150E-02 9.1497E+00
 1.2000E+07 5.6130E-02 9.6736E+00
 1.3000E+07 5.1150E-02 1.0163E+01
 1.4000E+07 4.6980E-02 1.0621E+01
 1.5000E+07 4.3420E-02 1.1039E+01
 1.6000E+07 4.0370E-02 1.1436E+01
 1.8000E+07 3.5370E-02 1.2149E+01
 2.0000E+07 3.1470E-02 1.2781E+01
 2.2000E+07 2.8330E-02 1.3362E+01
 2.4000E+07 2.5770E-02 1.3882E+01
 2.6000E+07 2.3620E-02 1.4362E+01
 2.8000E+07 2.1810E-02 1.4800E+01
 3.0000E+07 2.0250E-02 1.5198E+01
 3.5000E+07 1.7174E-02 1.6088E+01
 4.0000E+07 1.4910E-02 1.6851E+01
 4.5000E+07 1.3174E-02 1.7505E+01
 5.0000E+07 1.1800E-02 1.8076E+01
 6.0000E+07 9.7620E-03 1.9036E+01
 7.0000E+07 8.3228E-03 1.9803E+01
 8.0000E+07 7.2530E-03 2.0435E+01
 9.0000E+07 6.4270E-03 2.0974E+01
 1.0000E+08 5.7700E-03 2.1437E+01
 1.2500E+08 4.5952E-03 2.2343E+01
 1.5000E+08 3.8180E-03 2.3012E+01
 1.7500E+08 3.2658E-03 2.3528E+01
 2.0000E+08 2.8530E-03 2.3943E+01
 2.5000E+08 2.2766E-03 2.4578E+01
 3.0000E+08 1.8940E-03 2.5040E+01
 3.5000E+08 1.6218E-03 2.5391E+01
 4.0000E+08 1.4180E-03 2.5666E+01
 4.5000E+08 1.2596E-03 2.5890E+01
 5.0000E+08 1.1330E-03 2.6077E+01
 6.0000E+08 9.4360E-04 2.6375E+01
 7.0000E+08 8.0837E-04 2.6596E+01
 8.0000E+08 7.0700E-04 2.6766E+01
 9.0000E+08 6.2825E-04 2.6901E+01
 1.0000E+09 5.6530E-04 2.7013E+01
 1.5000E+09 3.7660E-04 2.7384E+01
 2.0000E+09 2.8230E-04 2.7580E+01
 3.0000E+09 1.8810E-04 2.7797E+01
 4.0000E+09 1.4110E-04 2.7921E+01
 5.0000E+09 1.1290E-04 2.7993E+01
 6.0000E+09 9.4040E-05 2.8045E+01
 8.0000E+09 7.0520E-05 2.8107E+01
 1.0000E+10 5.6410E-05 2.8148E+01
 1.5000E+10 3.7610E-05 2.8210E+01
 2.0000E+10 2.8200E-05 2.8242E+01
 3.0000E+10 1.8800E-05 2.8273E+01
 4.0000E+10 1.4100E-05 2.8293E+01
 5.0000E+10 1.1280E-05 2.8304E+01
 6.0000E+10 9.4000E-06 2.8314E+01
 8.0000E+10 7.0500E-06 2.8314E+01
 1.0000E+11 5.6400E-06 2.8325E+01
