 73
 1.0000E+03 1.0510E+06
 1.2500E+03 6.7297E+05
 1.5000E+03 4.6740E+05
 1.7351E+03 3.4370E+05
 1.7351E+03 4.1850E+05
 1.7500E+03 5.1232E+05
 1.7932E+03 9.1160E+05
 1.7932E+03 1.0130E+06
 2.0000E+03 1.1300E+06
 2.1940E+03 8.9390E+05
 2.1940E+03 1.0380E+06
 2.3273E+03 8.9932E+05
 2.4687E+03 7.7960E+05
 2.4687E+03 8.2860E+05
 2.5000E+03 8.0468E+05
 2.7080E+03 6.6810E+05
 2.7080E+03 6.9700E+05
 3.0000E+03 5.4950E+05
 3.5000E+03 3.7889E+05
 4.0000E+03 2.7460E+05
 4.5000E+03 2.0500E+05
 5.0000E+03 1.5790E+05
 6.0000E+03 9.9630E+04
 7.0000E+03 6.7090E+04
 8.0000E+03 4.7630E+04
 9.0000E+03 3.5061E+04
 9.8811E+03 2.7500E+04
 9.8811E+03 7.1890E+04
 1.0000E+04 7.0150E+04
 1.1136E+04 5.2600E+04
 1.1136E+04 7.2390E+04
 1.1406E+04 6.8297E+04
 1.1681E+04 6.4440E+04
 1.1681E+04 7.4500E+04
 1.2500E+04 6.2694E+04
 1.5000E+04 3.9400E+04
 1.7500E+04 2.6207E+04
 2.0000E+04 1.8410E+04
 2.5000E+04 1.0106E+04
 3.0000E+04 6.1910E+03
 3.5000E+04 4.0613E+03
 4.0000E+04 2.8190E+03
 4.5000E+04 2.0368E+03
 5.0000E+04 1.5230E+03
 6.0000E+04 9.1790E+02
 6.7416E+04 6.6340E+02
 6.7416E+04 3.4120E+03
 7.0000E+04 3.0886E+03
 8.0000E+04 2.1710E+03
 9.0000E+04 1.5941E+03
 1.0000E+05 1.2080E+03
 1.2500E+05 6.6397E+02
 1.5000E+05 4.0450E+02
 1.7500E+05 2.6594E+02
 2.0000E+05 1.8510E+02
 2.5000E+05 1.0143E+02
 3.0000E+05 6.2500E+01
 3.5000E+05 4.1822E+01
 4.0000E+05 2.9750E+01
 4.5000E+05 2.2178E+01
 5.0000E+05 1.7150E+01
 6.0000E+05 1.1140E+01
 7.0000E+05 7.8531E+00
 8.0000E+05 5.8660E+00
 9.0000E+05 4.5726E+00
 1.0000E+06 3.6840E+00
 1.0220E+06 3.5260E+00 1.0000E-35
 1.2500E+06 2.3780E+00 9.4940E-02
 1.5000E+06 1.6960E+00 4.4350E-01
 1.7500E+06 1.2904E+00 9.0025E-01
 2.0000E+06 1.0270E+00 1.3800E+00
 2.0440E+06 9.9020E-01 1.4650E+00
 2.5000E+06 7.1403E-01 2.3133E+00
 3.0000E+06 5.3890E-01 3.1639E+00
 3.5000E+06 4.2872E-01 3.9432E+00
 4.0000E+06 3.5390E-01 4.6580E+00
 4.5000E+06 3.0021E-01 5.3130E+00
 5.0000E+06 2.6000E-01 5.9168E+00
 6.0000E+06 2.0410E-01 7.0015E+00
 7.0000E+06 1.6740E-01 7.9602E+00
 8.0000E+06 1.4160E-01 8.8224E+00
 9.0000E+06 1.2250E-01 9.6071E+00
 1.0000E+07 1.0790E-01 1.0324E+01
 1.1000E+07 9.6270E-02 1.0995E+01
 1.2000E+07 8.6890E-02 1.1614E+01
 1.3000E+07 7.9150E-02 1.2194E+01
 1.4000E+07 7.2660E-02 1.2743E+01
 1.5000E+07 6.7140E-02 1.3241E+01
 1.6000E+07 6.2390E-02 1.3709E+01
 1.8000E+07 5.4640E-02 1.4563E+01
 2.0000E+07 4.8590E-02 1.5317E+01
 2.2000E+07 4.3740E-02 1.5999E+01
 2.4000E+07 3.9760E-02 1.6620E+01
 2.6000E+07 3.6440E-02 1.7190E+01
 2.8000E+07 3.3630E-02 1.7719E+01
 3.0000E+07 3.1220E-02 1.8198E+01
 3.5000E+07 2.6476E-02 1.9264E+01
 4.0000E+07 2.2980E-02 2.0174E+01
 4.5000E+07 2.0294E-02 2.0953E+01
 5.0000E+07 1.8170E-02 2.1631E+01
 6.0000E+07 1.5030E-02 2.2773E+01
 7.0000E+07 1.2810E-02 2.3684E+01
 8.0000E+07 1.1160E-02 2.4435E+01
 9.0000E+07 9.8887E-03 2.5072E+01
 1.0000E+08 8.8780E-03 2.5618E+01
 1.2500E+08 7.0692E-03 2.6685E+01
 1.5000E+08 5.8720E-03 2.7476E+01
 1.7500E+08 5.0219E-03 2.8093E+01
 2.0000E+08 4.3870E-03 2.8589E+01
 2.5000E+08 3.5014E-03 2.9331E+01
 3.0000E+08 2.9130E-03 2.9867E+01
 3.5000E+08 2.4938E-03 3.0279E+01
 4.0000E+08 2.1800E-03 3.0604E+01
 4.5000E+08 1.9364E-03 3.0866E+01
 5.0000E+08 1.7420E-03 3.1086E+01
 6.0000E+08 1.4510E-03 3.1434E+01
 7.0000E+08 1.2430E-03 3.1694E+01
 8.0000E+08 1.0870E-03 3.1896E+01
 9.0000E+08 9.6583E-04 3.2059E+01
 1.0000E+09 8.6900E-04 3.2193E+01
 1.5000E+09 5.7890E-04 3.2615E+01
 2.0000E+09 4.3400E-04 3.2851E+01
 3.0000E+09 2.8920E-04 3.3108E+01
 4.0000E+09 2.1690E-04 3.3242E+01
 5.0000E+09 1.7350E-04 3.3325E+01
 6.0000E+09 1.4450E-04 3.3387E+01
 8.0000E+09 1.0840E-04 3.3459E+01
 1.0000E+10 8.6710E-05 3.3510E+01
 1.5000E+10 5.7810E-05 3.3582E+01
 2.0000E+10 4.3350E-05 3.3614E+01
 3.0000E+10 2.8900E-05 3.3655E+01
 4.0000E+10 2.1670E-05 3.3676E+01
 5.0000E+10 1.7340E-05 3.3686E+01
 6.0000E+10 1.4450E-05 3.3696E+01
 8.0000E+10 1.0840E-05 3.3707E+01
 1.0000E+11 8.6700E-06 3.3717E+01
