"x_cm","y_cm","z_cm","dose_MeV_per_g","rel_sigma_percent"
"15.25","15.25","0.1","0.8065","0.0015"
"15.25","15.25","0.3","0.8433","0.0016"
"15.25","15.25","0.5","0.8602","0.0016"
"15.25","15.25","0.7","0.8716","0.0016"
"15.25","15.25","0.9","0.8805","0.0016"
"15.25","15.25","1.1","0.8876","0.0016"
"15.25","15.25","1.3","0.8929","0.0016"
"15.25","15.25","1.5","0.8957","0.0016"
"15.25","15.25","1.7","0.8983","0.0017"
"15.25","15.25","1.9","0.9051","0.0017"
"15.25","15.25","2.1","0.7632","0.0014"
"15.25","15.25","2.3","0.7737","0.0014"
"15.25","15.25","2.5","0.7738","0.0015"
"15.25","15.25","2.7","0.7593","0.0015"
"15.25","15.25","2.9","0.7211","0.0014"
"15.25","15.25","3.1","0.7785","0.0016"
"15.25","15.25","3.3","0.6932","0.0015"
"15.25","15.25","3.5","0.6137","0.0014"
"15.25","15.25","3.7","0.539","0.0013"
"15.25","15.25","3.9","0.4721","0.0013"
"15.25","15.25","4.1","0.4132","0.0012"
"15.25","15.25","4.3","0.3622","0.0011"
"15.25","15.25","4.5","0.3184","0.001"
"15.25","15.25","4.7","0.2795","0.00098"
"15.25","15.25","4.9","0.2455","0.00092"
"15.25","15.25","5.1","0.2164","0.00087"
"15.25","15.25","5.3","0.1908","0.00082"
"15.25","15.25","5.5","0.1688","0.00078"
"15.25","15.25","5.7","0.1489","0.00073"
"15.25","15.25","5.9","0.1317","0.00069"
"15.25","15.25","6.1","0.1166","0.00065"
"15.25","15.25","6.3","0.1034","0.00062"
"15.25","15.25","6.5","0.0914","0.00059"
"15.25","15.25","6.7","0.08051","0.00056"
"15.25","15.25","6.9","0.07042","0.00052"
"15.25","15.25","7.1","0.0615","0.00049"
"15.25","15.25","7.3","0.05336","0.00046"
"15.25","15.25","7.5","0.04552","0.00043"
"15.25","15.25","7.7","0.03839","0.0004"
"15.25","15.25","7.9","0.03189","0.00037"
"15.25","15.25","8.1","0.02592","0.00033"
"15.25","15.25","8.3","0.02025","0.00029"
"15.25","15.25","8.5","0.0155","0.00026"
"15.25","15.25","8.7","0.01166","0.00022"
"15.25","15.25","8.9","0.008395","0.00019"
"15.25","15.25","9.1","0.006061","0.00016"
"15.25","15.25","9.3","0.004479","0.00013"
"15.25","15.25","9.5","0.00354","0.00012"
"15.25","15.25","9.7","0.002901","0.0001"
"15.25","15.25","9.9","0.002684","0.0001"
"15.25","15.25","10.1","0.002502","9.7e-05"
"15.25","15.25","10.3","0.002488","9.7e-05"
"15.25","15.25","10.5","0.002454","9.6e-05"
"15.25","15.25","10.7","0.002299","9.3e-05"
"15.25","15.25","10.9","0.002193","9.1e-05"
"15.25","15.25","11.1","0.002083","8.8e-05"
"15.25","15.25","11.3","0.002064","8.8e-05"
"15.25","15.25","11.5","0.002023","8.7e-05"
"15.25","15.25","11.7","0.001991","8.6e-05"
"15.25","15.25","11.9","0.00203","8.8e-05"
"15.25","15.25","12.1","0.00192","8.4e-05"
"15.25","15.25","12.3","0.001887","8.4e-05"
"15.25","15.25","12.5","0.001841","8.3e-05"
"15.25","15.25","12.7","0.001798","8.3e-05"
"15.25","15.25","12.9","0.001694","7.8e-05"
"15.25","15.25","13.1","0.001758","8.2e-05"
"15.25","15.25","13.3","0.001661","7.8e-05"
"15.25","15.25","13.5","0.001592","7.7e-05"
"15.25","15.25","13.7","0.001569","7.6e-05"
"15.25","15.25","13.9","0.001541","7.6e-05"
"15.25","15.25","14.1","0.001477","7.4e-05"
"15.25","15.25","14.3","0.001538","7.7e-05"
"15.25","15.25","14.5","0.001449","7.5e-05"
"15.25","15.25","14.7","0.001414","7.2e-05"
"15.25","15.25","14.9","0.00143","7.4e-05"
"15.25","15.25","15.1","0.001389","7.3e-05"
"15.25","15.25","15.3","0.001392","7.3e-05"
"15.25","15.25","15.5","0.001311","7.1e-05"
"15.25","15.25","15.7","0.00132","7.1e-05"
"15.25","15.25","15.9","0.001272","6.9e-05"
"15.25","15.25","16.1","0.001245","6.9e-05"
"15.25","15.25","16.3","0.001217","6.8e-05"
"15.25","15.25","16.5","0.001185","6.7e-05"
"15.25","15.25","16.7","0.001167","6.7e-05"
"15.25","15.25","16.9","0.001152","6.7e-05"
"15.25","15.25","17.1","0.001133","6.5e-05"
