"x_cm","y_cm","z_cm","dose_MeV_per_g","rel_sigma_percent"
"15.25","15.25","0.1","0.003118","4.3e-05"
"15.25","15.25","0.3","0.008696","8.1e-05"
"15.25","15.25","0.5","0.01407","0.0001"
"15.25","15.25","0.7","0.01908","0.00012"
"15.25","15.25","0.9","0.02367","0.00014"
"15.25","15.25","1.1","0.02765","0.00015"
"15.25","15.25","1.3","0.03093","0.00016"
"15.25","15.25","1.5","0.03369","0.00016"
"15.25","15.25","1.7","0.03579","0.00017"
"15.25","15.25","1.9","0.0373","0.00017"
"15.25","15.25","2.1","0.03826","0.00018"
"15.25","15.25","2.3","0.03878","0.00018"
"15.25","15.25","2.5","0.03897","0.00018"
"15.25","15.25","2.7","0.03905","0.00018"
"15.25","15.25","2.9","0.03883","0.00018"
"15.25","15.25","3.1","0.03873","0.00018"
"15.25","15.25","3.3","0.03855","0.00018"
"15.25","15.25","3.5","0.03843","0.00018"
"15.25","15.25","3.7","0.03827","0.00018"
"15.25","15.25","3.9","0.03816","0.00018"
"15.25","15.25","4.1","0.038","0.00018"
"15.25","15.25","4.3","0.03772","0.00018"
"15.25","15.25","4.5","0.03755","0.00018"
"15.25","15.25","4.7","0.03721","0.00017"
"15.25","15.25","4.9","0.03638","0.00017"
"15.25","15.25","5.1","0.03392","0.00017"
"15.25","15.25","5.3","0.0312","0.00016"
"15.25","15.25","5.5","0.02906","0.00015"
"15.25","15.25","5.7","0.02721","0.00015"
"15.25","15.25","5.9","0.02582","0.00014"
"15.25","15.25","6.1","0.02465","0.00014"
"15.25","15.25","6.3","0.0236","0.00014"
"15.25","15.25","6.5","0.02283","0.00013"
"15.25","15.25","6.7","0.02211","0.00013"
"15.25","15.25","6.9","0.02158","0.00013"
"15.25","15.25","7.1","0.02098","0.00013"
"15.25","15.25","7.3","0.02058","0.00013"
"15.25","15.25","7.5","0.02032","0.00013"
"15.25","15.25","7.7","0.02001","0.00013"
"15.25","15.25","7.9","0.01981","0.00012"
"15.25","15.25","8.1","0.01968","0.00012"
"15.25","15.25","8.3","0.01954","0.00012"
"15.25","15.25","8.5","0.01937","0.00012"
"15.25","15.25","8.7","0.01924","0.00012"
"15.25","15.25","8.9","0.01915","0.00012"
"15.25","15.25","9.1","0.01908","0.00012"
"15.25","15.25","9.3","0.01907","0.00012"
"15.25","15.25","9.5","0.01897","0.00012"
"15.25","15.25","9.7","0.01903","0.00012"
"15.25","15.25","9.9","0.01929","0.00012"
